well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,R,Y,B,Water,measured_R,measured_G,measured_B,output
1,0.1,0.2,0.6,1.1,50.0,100.0,300.0,550.0,161,74,73,91.44397191723465
2,1.5,0.4,0.1,0.0,750.0,200.0,50.0,0.0,174,95,101,57.86190456595773
3,0.4,0.4,0.1,1.1,200.0,200.0,50.0,550.0,108,77,164,70.12132343303284
4,0.2,0.4,1.0,0.4,100.0,200.0,500.0,200.0,93,146,164,85.71464285639881
5,0.2,1.0,0.1,0.7000000000000001,100.0,500.0,50.0,350.0,149,71,145,45.044422518220834
6,0.5,1.5,0.0,0.0,250.0,750.0,0.0,0.0,134,64,73,101.86756107809786
7,0.0,1.5,0.0,0.5,0.0,750.0,0.0,250.0,91,87,99,100.44401425669923
8,0.9,1.0,0.0,0.1,450.0,500.0,0.0,50.0,144,137,73,92.28217596047462
9,0.0,0.9,0.1,1.0,0.0,450.0,50.0,500.0,151,85,161,30.870698080866262
10,0.0,1.0,0.4,0.6,0.0,500.0,200.0,300.0,163,149,139,44.41846462902562
11,0.4,0.8,0.0,0.8,200.0,400.0,0.0,400.0,133,88,127,52.05766033928148
12,1.9000000000000001,0.0,0.0,0.1,950.0,0.0,0.0,50.0,155,95,70,89.38679992034618
13,0.0,0.9,0.0,1.1,0.0,450.0,0.0,550.0,177,80,159,29.899832775452108
