Retraction time: 0.1s, Volume dispensed: 0.03g, Actuator power: 65520
Retraction time: 0.1s, Volume dispensed: 0.03g, Actuator power: 65520
Retraction time: 0.1s, Volume dispensed: 0.03g, Actuator power: 65520
Retraction time: 0.1s, Volume dispensed: 0.03g, Actuator power: 65520
Retraction time: 0.2s, Volume dispensed: 0.08g, Actuator power: 65520
Retraction time: 0.2s, Volume dispensed: 0.08g, Actuator power: 65520
Retraction time: 0.2s, Volume dispensed: 0.08g, Actuator power: 65520
Retraction time: 0.2s, Volume dispensed: 0.08g, Actuator power: 65520
Retraction time: 0.3s, Volume dispensed: 0.13g, Actuator power: 65520
Retraction time: 0.3s, Volume dispensed: 0.13g, Actuator power: 65520
Retraction time: 0.3s, Volume dispensed: 0.13g, Actuator power: 65520
Retraction time: 0.3s, Volume dispensed: 0.13g, Actuator power: 65520
Retraction time: 0.4s, Volume dispensed: 0.16g, Actuator power: 65520
Retraction time: 0.4s, Volume dispensed: 0.16g, Actuator power: 65520
Retraction time: 0.4s, Volume dispensed: 0.18g, Actuator power: 65520
Retraction time: 0.4s, Volume dispensed: 0.17g, Actuator power: 65520
Retraction time: 0.5s, Volume dispensed: 0.22g, Actuator power: 65520
Retraction time: 0.5s, Volume dispensed: 0.21g, Actuator power: 65520
Retraction time: 0.5s, Volume dispensed: 0.22g, Actuator power: 65520
Retraction time: 0.5s, Volume dispensed: 0.22g, Actuator power: 65520
Retraction time: 0.6s, Volume dispensed: 0.25g, Actuator power: 65520
Retraction time: 0.6s, Volume dispensed: 0.26g, Actuator power: 65520
Retraction time: 0.6s, Volume dispensed: 0.24g, Actuator power: 65520
Retraction time: 0.6s, Volume dispensed: 0.25g, Actuator power: 65520
Retraction time: 0.7s, Volume dispensed: 0.29g, Actuator power: 65520
Retraction time: 0.7s, Volume dispensed: 0.29g, Actuator power: 65520
Retraction time: 0.7s, Volume dispensed: 0.29g, Actuator power: 65520
Retraction time: 0.7s, Volume dispensed: 0.29g, Actuator power: 65520
Retraction time: 0.8s, Volume dispensed: 0.33g, Actuator power: 65520
Retraction time: 0.8s, Volume dispensed: 0.34g, Actuator power: 65520
Retraction time: 0.8s, Volume dispensed: 0.33g, Actuator power: 65520
Retraction time: 0.8s, Volume dispensed: 0.34g, Actuator power: 65520
Retraction time: 0.9s, Volume dispensed: 0.38g, Actuator power: 65520
Retraction time: 0.9s, Volume dispensed: 0.38g, Actuator power: 65520
Retraction time: 0.9s, Volume dispensed: 0.38g, Actuator power: 65520
Retraction time: 0.9s, Volume dispensed: 0.38g, Actuator power: 65520
Retraction time: 1.0s, Volume dispensed: 0.43g, Actuator power: 65520
Retraction time: 1.0s, Volume dispensed: 0.44g, Actuator power: 65520
Retraction time: 1.0s, Volume dispensed: 0.44g, Actuator power: 65520
Retraction time: 1.0s, Volume dispensed: 0.43g, Actuator power: 65520
Retraction time: 1.1s, Volume dispensed: 0.48g, Actuator power: 65520
Retraction time: 1.1s, Volume dispensed: 0.48g, Actuator power: 65520
Retraction time: 1.1s, Volume dispensed: 0.48g, Actuator power: 65520
Retraction time: 1.1s, Volume dispensed: 0.48g, Actuator power: 65520
Retraction time: 1.2s, Volume dispensed: 0.53g, Actuator power: 65520
Retraction time: 1.2s, Volume dispensed: 0.53g, Actuator power: 65520
Retraction time: 1.2s, Volume dispensed: 0.52g, Actuator power: 65520
Retraction time: 1.2s, Volume dispensed: 0.52g, Actuator power: 65520
Retraction time: 1.3s, Volume dispensed: 0.56g, Actuator power: 65520
Retraction time: 1.3s, Volume dispensed: 0.56g, Actuator power: 65520
Retraction time: 1.3s, Volume dispensed: 0.56g, Actuator power: 65520
Retraction time: 1.3s, Volume dispensed: 0.56g, Actuator power: 65520
Retraction time: 1.4s, Volume dispensed: 0.63g, Actuator power: 65520
