calibration_type,time_index,plate_index,replicate,well_index,target_time_s,target_volume_ml,measured_volume_ml,measured_mass_g,air_time_s,buffer_time_s,speed,timestamp
meta,,0,,,,,,42.287,,,,
meta,,1,,,,,,42.280,,,,
time,0,0,1,0,0.05,,42.31,42.31,0.7000738734301896,0.25,32768,2026-01-27 12:05:38
time,0,0,2,1,0.05,,42.333,42.333,0.7000738734301896,0.25,32768,2026-01-27 12:06:30
time,0,0,3,2,0.05,,42.358,42.358,0.7000738734301896,0.25,32768,2026-01-27 12:07:13
time,0,0,4,3,0.05,,42.383,42.383,0.7000738734301896,0.25,32768,2026-01-27 12:08:01
time,1,0,1,4,0.16,,42.439,42.439,0.7000738734301896,0.25,32768,2026-01-27 12:08:33
time,1,0,2,5,0.16,,42.509,42.509,0.7000738734301896,0.25,32768,2026-01-27 12:09:11
time,1,0,3,6,0.16,,42.579,42.579,0.7000738734301896,0.25,32768,2026-01-27 12:09:46
time,1,0,4,7,0.16,,42.646,42.646,0.7000738734301896,0.25,32768,2026-01-27 12:10:22
time,2,0,1,8,0.27,,42.751,42.751,0.7000738734301896,0.25,32768,2026-01-27 12:10:59
time,2,0,2,9,0.27,,42.86,42.86,0.7000738734301896,0.25,32768,2026-01-27 12:11:37
time,2,0,3,10,0.27,,42.972,42.972,0.7000738734301896,0.25,32768,2026-01-27 12:12:18
time,2,0,4,11,0.27,,43.08,43.08,0.7000738734301896,0.25,32768,2026-01-27 12:12:52
time,3,0,1,12,0.38,,43.229,43.229,0.7000738734301896,0.25,32768,2026-01-27 12:13:26
time,3,0,2,13,0.38,,43.381,43.381,0.7000738734301896,0.25,32768,2026-01-27 12:14:08
time,3,0,3,14,0.38,,43.526,43.526,0.7000738734301896,0.25,32768,2026-01-27 12:14:46
time,3,0,4,15,0.38,,43.672,43.672,0.7000738734301896,0.25,32768,2026-01-27 12:15:34
time,4,0,1,16,0.49,,43.825,43.825,0.7000738734301896,0.25,32768,2026-01-27 12:16:12
time,4,0,2,17,0.49,,44.047,44.047,0.7000738734301896,0.25,32768,2026-01-27 12:16:59
time,4,0,3,18,0.49,,44.211,44.211,0.7000738734301896,0.25,32768,2026-01-27 12:17:36
time,4,0,4,19,0.49,,44.419,44.419,0.7000738734301896,0.25,32768,2026-01-27 12:18:28
time,5,0,1,20,0.6,,44.638,44.638,0.7000738734301896,0.25,32768,2026-01-27 12:19:31
time,5,0,2,21,0.6,,44.881,44.881,0.7000738734301896,0.25,32768,2026-01-27 12:20:28
time,5,0,3,22,0.6,,45.102,45.102,0.7000738734301896,0.25,32768,2026-01-27 12:21:05
time,5,0,4,23,0.6,,45.322,45.322,0.7000738734301896,0.25,32768,2026-01-27 12:23:31
time,6,1,1,0,0.71,,42.583,42.583,0.7000738734301896,0.25,32768,2026-01-27 12:24:06
time,6,1,2,1,0.71,,42.854,42.854,0.7000738734301896,0.25,32768,2026-01-27 12:24:54
time,6,1,3,2,0.71,,43.129,43.129,0.7000738734301896,0.25,32768,2026-01-27 12:25:30
time,6,1,4,3,0.71,,43.401,43.401,0.7000738734301896,0.25,32768,2026-01-27 12:26:08
time,7,1,1,4,0.82,,43.721,43.721,0.7000738734301896,0.25,32768,2026-01-27 12:26:51
time,7,1,2,5,0.82,,44.058,44.058,0.7000738734301896,0.25,32768,2026-01-27 12:27:31
time,7,1,3,6,0.82,,44.363,44.363,0.7000738734301896,0.25,32768,2026-01-27 12:28:08
time,7,1,4,7,0.82,,44.669,44.669,0.7000738734301896,0.25,32768,2026-01-27 12:29:00
time,8,1,1,8,0.93,,45.027,45.027,0.7000738734301896,0.25,32768,2026-01-27 12:29:37
time,8,1,2,9,0.93,,45.378,45.378,0.7000738734301896,0.25,32768,2026-01-27 12:30:18
time,8,1,3,10,0.93,,45.776,45.776,0.7000738734301896,0.25,32768,2026-01-27 12:31:05
time,8,1,4,11,0.93,,46.118,46.118,0.7000738734301896,0.25,32768,2026-01-27 12:31:50
time,9,1,1,12,1.04,,46.524,46.524,0.7000738734301896,0.20992612656981047,32768,2026-01-27 12:32:36
time,9,1,2,13,1.04,,46.915,46.915,0.7000738734301896,0.20992612656981047,32768,2026-01-27 12:33:14
time,9,1,3,14,1.04,,47.346,47.346,0.7000738734301896,0.20992612656981047,32768,2026-01-27 12:33:49
time,9,1,4,15,1.04,,47.729,47.729,0.7000738734301896,0.20992612656981047,32768,2026-01-27 12:34:29
time,10,1,1,16,1.15,,48.198,48.198,0.7000738734301896,0.09992612656981059,32768,2026-01-27 12:35:17
time,10,1,2,17,1.15,,48.63,48.63,0.7000738734301896,0.09992612656981059,32768,2026-01-27 12:35:58
time,10,1,3,18,1.15,,49.072,49.072,0.7000738734301896,0.09992612656981059,32768,2026-01-27 12:36:35
time,10,1,4,19,1.15,,49.516,49.516,0.7000738734301896,0.09992612656981059,32768,2026-01-27 12:37:46
time,11,1,1,20,1.25,,49.975,49.975,0.7000738734301896,0.0,32768,2026-01-27 12:46:03
time,11,1,2,21,1.25,,50.437,50.437,0.7000738734301896,0.0,32768,2026-01-27 12:46:35
time,11,1,3,22,1.25,,50.953,50.953,0.7000738734301896,0.0,32768,2026-01-27 12:47:14
time,11,1,4,23,1.25,,51.409,51.409,0.7000738734301896,0.0,32768,2026-01-27 12:48:04
