time_s,N,mean_g,sd_g,cv_%,se_g,ci95_g
0.05,4,0.024,0.0011547005383792527,4.811252243246885,0.0005773502691896263,0.0011316065276116675
0.16,4,0.06575,0.006652067347825037,10.117212696311844,0.0033260336739125186,0.006519026000868536
0.27,4,0.1085,0.0028867513459481316,2.6606003188462046,0.0014433756729740658,0.0028290163190291687
0.38,4,0.148,0.003162277660168382,2.1366740947083662,0.001581138830084191,0.0030990321069650144
0.49,4,0.18675,0.033420303210274234,17.895744690909897,0.016710151605137117,0.03275189714606875
0.6,4,0.22575,0.011528949070347504,5.1069541839856045,0.005764474535173752,0.011298370088940553
0.71,4,0.28025,0.015261607604268505,5.445711901612312,0.0076308038021342525,0.014956375452183134
0.82,4,0.317,0.014988884770611423,4.7283548172275776,0.007494442385305711,0.014689107075199194
0.93,4,0.36225,0.02471672847823245,6.82311345154795,0.012358364239116225,0.024222393908667803
1.04,4,0.40275,0.021108844907605274,5.241178127276294,0.010554422453802637,0.02068666800945317
1.15,4,0.44675,0.015734781006843817,3.522055065885578,0.007867390503421908,0.01542008538670694
1.25,4,0.47325,0.028605069480775607,6.044388691130608,0.014302534740387804,0.028032968091160095
