calibration_type,time_index,plate_index,replicate,well_index,target_time_s,target_volume_ml,measured_volume_ml,measured_mass_g,baseline_mass_g,after_mass_g,dispensed_mass_g,dispensed_volume_ml,air_time_s,buffer_time_s,speed,timestamp
time,0,0,1,0,0.05,,0.025,42.311,42.286,42.311,0.025,0.025,0.7000738734301896,0.25,32768,2026-01-28 13:15:53
time,0,0,2,1,0.05,,0.023,42.334,42.311,42.334,0.023,0.023,0.7000738734301896,0.25,32768,2026-01-28 13:16:45
time,0,0,3,2,0.05,,0.023,42.357,42.334,42.357,0.023,0.023,0.7000738734301896,0.25,32768,2026-01-28 13:17:26
time,0,0,4,3,0.05,,0.029,42.387,42.358,42.387,0.029,0.029,0.7000738734301896,0.25,32768,2026-01-28 13:18:36
time,1,0,1,4,0.25,,0.108,42.495,42.387,42.495,0.108,0.108,0.7000738734301896,0.25,32768,2026-01-28 13:19:28
time,1,0,2,5,0.25,,0.099,42.594,42.495,42.594,0.099,0.099,0.7000738734301896,0.25,32768,2026-01-28 13:20:10
time,1,0,3,6,0.25,,0.094,42.688,42.594,42.688,0.094,0.094,0.7000738734301896,0.25,32768,2026-01-28 13:20:59
time,1,0,4,7,0.25,,0.094,42.782,42.688,42.782,0.094,0.094,0.7000738734301896,0.25,32768,2026-01-28 13:21:49
time,2,0,1,8,0.5,,0.171,42.953,42.782,42.953,0.171,0.171,0.7000738734301896,0.25,32768,2026-01-28 13:22:31
time,2,0,2,9,0.5,,0.169,43.122,42.953,43.122,0.169,0.169,0.7000738734301896,0.25,32768,2026-01-28 13:23:27
time,2,0,3,10,0.5,,0.232,43.354,43.122,43.354,0.232,0.232,0.7000738734301896,0.25,32768,2026-01-28 13:24:20
time,2,0,4,11,0.5,,0.166,43.52,43.354,43.52,0.166,0.166,0.7000738734301896,0.25,32768,2026-01-28 13:25:04
time,3,0,1,12,0.75,,0.289,43.809,43.52,43.809,0.289,0.289,0.7000738734301896,0.25,32768,2026-01-28 13:25:53
time,3,0,2,13,0.75,,0.286,44.095,43.809,44.095,0.286,0.286,0.7000738734301896,0.25,32768,2026-01-28 13:26:43
time,3,0,3,14,0.75,,0.276,44.371,44.095,44.371,0.276,0.276,0.7000738734301896,0.25,32768,2026-01-28 13:27:31
time,3,0,4,15,0.75,,0.274,44.645,44.371,44.645,0.274,0.274,0.7000738734301896,0.25,32768,2026-01-28 13:28:22
time,4,0,1,16,1.0,,0.458,45.103,44.645,45.103,0.458,0.458,0.7000738734301896,0.25,32768,2026-01-28 13:29:15
time,4,0,2,17,1.0,,0.308,45.411,45.103,45.411,0.308,0.308,0.7000738734301896,0.25,32768,2026-01-28 13:30:00
time,4,0,3,18,1.0,,0.371,45.782,45.411,45.782,0.371,0.371,0.7000738734301896,0.25,32768,2026-01-28 13:30:48
time,4,0,4,19,1.0,,0.384,46.166,45.782,46.166,0.384,0.384,0.7000738734301896,0.25,32768,2026-01-28 13:31:39
time,5,0,1,20,1.25,,0.471,46.637,46.166,46.637,0.471,0.471,0.7000738734301896,0.2499261265698105,32768,2026-01-28 13:32:55
time,5,0,2,21,1.25,,0.485,47.122,46.637,47.122,0.485,0.485,0.7000738734301896,0.2499261265698105,32768,2026-01-28 13:33:55
time,5,0,3,22,1.25,,0.473,47.595,47.122,47.595,0.473,0.473,0.7000738734301896,0.2499261265698105,32768,2026-01-28 13:35:37
time,5,0,4,23,1.25,,0.48,48.075,47.595,48.075,0.48,0.48,0.7000738734301896,0.2499261265698105,32768,2026-01-28 13:36:34
