calibration_type,plate_index,time_index,replicate,well_index,target_time_s,target_volume_ml,dispensed_mass_g,dispensed_volume_ml,measured_mass_g,air_time_s,buffer_time_s,speed,timestamp
time,0,0,1,0,0.05,,0.025,0.025,42.311,0.7000738734301896,0.25,32768,2026-01-28 13:15:53
time,0,0,2,1,0.05,,0.023,0.023,42.334,0.7000738734301896,0.25,32768,2026-01-28 13:16:45
time,0,0,3,2,0.05,,0.023,0.023,42.357,0.7000738734301896,0.25,32768,2026-01-28 13:17:26
time,0,0,4,3,0.05,,0.029,0.029,42.387,0.7000738734301896,0.25,32768,2026-01-28 13:18:36
time,0,1,1,4,0.25,,0.108,0.108,42.495,0.7000738734301896,0.25,32768,2026-01-28 13:19:28
time,0,1,2,5,0.25,,0.099,0.099,42.594,0.7000738734301896,0.25,32768,2026-01-28 13:20:10
time,0,1,3,6,0.25,,0.094,0.094,42.688,0.7000738734301896,0.25,32768,2026-01-28 13:20:59
time,0,1,4,7,0.25,,0.094,0.094,42.782,0.7000738734301896,0.25,32768,2026-01-28 13:21:49
time,0,2,1,8,0.5,,0.171,0.171,42.953,0.7000738734301896,0.25,32768,2026-01-28 13:22:31
time,0,2,2,9,0.5,,0.169,0.169,43.122,0.7000738734301896,0.25,32768,2026-01-28 13:23:27
time,0,2,3,10,0.5,,0.232,0.232,43.354,0.7000738734301896,0.25,32768,2026-01-28 13:24:20
time,0,2,4,11,0.5,,0.166,0.166,43.52,0.7000738734301896,0.25,32768,2026-01-28 13:25:04
time,0,3,1,12,0.75,,0.289,0.289,43.809,0.7000738734301896,0.25,32768,2026-01-28 13:25:53
time,0,3,2,13,0.75,,0.286,0.286,44.095,0.7000738734301896,0.25,32768,2026-01-28 13:26:43
time,0,3,3,14,0.75,,0.276,0.276,44.371,0.7000738734301896,0.25,32768,2026-01-28 13:27:31
time,0,3,4,15,0.75,,0.274,0.274,44.645,0.7000738734301896,0.25,32768,2026-01-28 13:28:22
time,0,4,1,16,1.0,,0.458,0.458,45.103,0.7000738734301896,0.25,32768,2026-01-28 13:29:15
time,0,4,2,17,1.0,,0.308,0.308,45.411,0.7000738734301896,0.25,32768,2026-01-28 13:30:00
time,0,4,3,18,1.0,,0.371,0.371,45.782,0.7000738734301896,0.25,32768,2026-01-28 13:30:48
time,0,4,4,19,1.0,,0.384,0.384,46.166,0.7000738734301896,0.25,32768,2026-01-28 13:31:39
time,0,5,1,20,1.25,,0.471,0.471,46.637,0.7000738734301896,0.2499261265698105,32768,2026-01-28 13:32:55
time,0,5,2,21,1.25,,0.485,0.485,47.122,0.7000738734301896,0.2499261265698105,32768,2026-01-28 13:33:55
time,0,5,3,22,1.25,,0.473,0.473,47.595,0.7000738734301896,0.2499261265698105,32768,2026-01-28 13:35:37
time,0,5,4,23,1.25,,0.48,0.48,48.075,0.7000738734301896,0.2499261265698105,32768,2026-01-28 13:36:34
