calibration_type,time_index,plate_index,replicate,well_index,target_time_s,target_volume_ml,measured_volume_ml,measured_mass_g,baseline_mass_g,after_mass_g,dispensed_mass_g,dispensed_volume_ml,air_time_s,buffer_time_s,speed,timestamp
time,0,0,1,0,0.25,,0.115,42.539,42.424,42.539,0.115,0.115,0.7000738734301896,0.25,32768,2026-01-28 14:08:55
time,0,0,2,1,0.25,,0.105,42.644,42.539,42.644,0.105,0.105,0.7000738734301896,0.25,32768,2026-01-28 14:09:39
time,0,0,3,2,0.25,,0.096,42.74,42.644,42.74,0.096,0.096,0.7000738734301896,0.25,32768,2026-01-28 14:10:33
time,0,0,4,3,0.25,,0.088,42.828,42.74,42.828,0.088,0.088,0.7000738734301896,0.25,32768,2026-01-28 14:13:01
time,1,0,1,4,0.75,,0.264,43.092,42.828,43.092,0.264,0.264,0.7000738734301896,0.25,32768,2026-01-28 14:13:51
time,1,0,2,5,0.75,,0.288,43.38,43.092,43.38,0.288,0.288,0.7000738734301896,0.25,32768,2026-01-28 14:14:35
time,1,0,3,6,0.75,,0.284,43.664,43.38,43.664,0.284,0.284,0.7000738734301896,0.25,32768,2026-01-28 14:15:17
time,1,0,4,7,0.75,,0.289,43.953,43.664,43.953,0.289,0.289,0.7000738734301896,0.25,32768,2026-01-28 14:16:09
time,2,0,1,8,1.25,,0.476,44.429,43.953,44.429,0.476,0.476,0.7000738734301896,0.2499261265698105,32768,2026-01-28 14:16:53
time,2,0,2,9,1.25,,0.48,44.909,44.429,44.909,0.48,0.48,0.7000738734301896,0.2499261265698105,32768,2026-01-28 14:17:38
time,2,0,3,10,1.25,,0.483,45.392,44.909,45.392,0.483,0.483,0.7000738734301896,0.2499261265698105,32768,2026-01-28 14:18:25
time,2,0,4,11,1.25,,0.486,45.878,45.392,45.878,0.486,0.486,0.7000738734301896,0.2499261265698105,32768,2026-01-28 14:19:09
