calibration_type,plate_index,time_index,replicate,well_index,target_time_s,target_volume_ml,dispensed_mass_g,dispensed_volume_ml,measured_mass_g,air_time_s,buffer_time_s,speed,timestamp
time,0,0,1,0,0.25,,0.115,0.115,42.539,0.7000738734301896,0.25,32768,2026-01-28 14:08:55
time,0,0,2,1,0.25,,0.105,0.105,42.644,0.7000738734301896,0.25,32768,2026-01-28 14:09:39
time,0,0,3,2,0.25,,0.096,0.096,42.74,0.7000738734301896,0.25,32768,2026-01-28 14:10:33
time,0,0,4,3,0.25,,0.088,0.088,42.828,0.7000738734301896,0.25,32768,2026-01-28 14:13:01
time,0,1,1,4,0.75,,0.264,0.264,43.092,0.7000738734301896,0.25,32768,2026-01-28 14:13:51
time,0,1,2,5,0.75,,0.288,0.288,43.38,0.7000738734301896,0.25,32768,2026-01-28 14:14:35
time,0,1,3,6,0.75,,0.284,0.284,43.664,0.7000738734301896,0.25,32768,2026-01-28 14:15:17
time,0,1,4,7,0.75,,0.289,0.289,43.953,0.7000738734301896,0.25,32768,2026-01-28 14:16:09
time,0,2,1,8,1.25,,0.476,0.476,44.429,0.7000738734301896,0.2499261265698105,32768,2026-01-28 14:16:53
time,0,2,2,9,1.25,,0.48,0.48,44.909,0.7000738734301896,0.2499261265698105,32768,2026-01-28 14:17:38
time,0,2,3,10,1.25,,0.483,0.483,45.392,0.7000738734301896,0.2499261265698105,32768,2026-01-28 14:18:25
time,0,2,4,11,1.25,,0.486,0.486,45.878,0.7000738734301896,0.2499261265698105,32768,2026-01-28 14:19:09
