calibration_type,time_index,plate_index,replicate,well_index,target_time_s,target_volume_ml,measured_volume_ml,measured_mass_g,baseline_mass_g,after_mass_g,dispensed_mass_g,dispensed_volume_ml,air_time_s,buffer_time_s,speed,timestamp
time,0,0,1,0,0.05,,0.024,42.517,42.493,42.517,0.024,0.024,0.7000738734301896,0.25,32768,2026-01-28 13:48:24
time,0,0,2,1,0.05,,0.021,42.538,42.517,42.538,0.021,0.021,0.7000738734301896,0.25,32768,2026-01-28 13:49:06
time,0,0,3,2,0.05,,0.019,42.557,42.538,42.557,0.019,0.019,0.7000738734301896,0.25,32768,2026-01-28 13:49:48
time,0,0,4,3,0.05,,0.02,42.577,42.557,42.577,0.02,0.02,0.7000738734301896,0.25,32768,2026-01-28 13:50:51
time,1,0,1,4,0.5,,0.161,42.738,42.577,42.738,0.161,0.161,0.7000738734301896,0.25,32768,2026-01-28 13:51:26
time,1,0,2,5,0.5,,0.166,42.904,42.738,42.904,0.166,0.166,0.7000738734301896,0.25,32768,2026-01-28 13:52:17
time,1,0,3,6,0.5,,0.203,43.107,42.904,43.107,0.203,0.203,0.7000738734301896,0.25,32768,2026-01-28 13:52:56
time,1,0,4,7,0.5,,0.176,43.283,43.107,43.283,0.176,0.176,0.7000738734301896,0.25,32768,2026-01-28 13:53:43
time,2,0,1,8,1.0,,0.413,43.696,43.283,43.696,0.413,0.413,0.7000738734301896,0.25,32768,2026-01-28 13:54:23
time,2,0,2,9,1.0,,0.372,44.068,43.696,44.068,0.372,0.372,0.7000738734301896,0.25,32768,2026-01-28 13:55:04
time,2,0,3,10,1.0,,0.383,44.451,44.068,44.451,0.383,0.383,0.7000738734301896,0.25,32768,2026-01-28 13:55:49
time,2,0,4,11,1.0,,0.367,44.818,44.451,44.818,0.367,0.367,0.7000738734301896,0.25,32768,2026-01-28 13:57:25
