calibration_type,plate_index,time_index,replicate,well_index,target_time_s,target_volume_ml,dispensed_mass_g,dispensed_volume_ml,measured_mass_g,air_time_s,buffer_time_s,speed,timestamp
time,0,0,1,0,0.05,,0.024,0.024,42.517,0.7000738734301896,0.25,32768,2026-01-28 13:48:24
time,0,0,2,1,0.05,,0.021,0.021,42.538,0.7000738734301896,0.25,32768,2026-01-28 13:49:06
time,0,0,3,2,0.05,,0.019,0.019,42.557,0.7000738734301896,0.25,32768,2026-01-28 13:49:48
time,0,0,4,3,0.05,,0.02,0.02,42.577,0.7000738734301896,0.25,32768,2026-01-28 13:50:51
time,0,1,1,4,0.5,,0.161,0.161,42.738,0.7000738734301896,0.25,32768,2026-01-28 13:51:26
time,0,1,2,5,0.5,,0.166,0.166,42.904,0.7000738734301896,0.25,32768,2026-01-28 13:52:17
time,0,1,3,6,0.5,,0.203,0.203,43.107,0.7000738734301896,0.25,32768,2026-01-28 13:52:56
time,0,1,4,7,0.5,,0.176,0.176,43.283,0.7000738734301896,0.25,32768,2026-01-28 13:53:43
time,0,2,1,8,1.0,,0.413,0.413,43.696,0.7000738734301896,0.25,32768,2026-01-28 13:54:23
time,0,2,2,9,1.0,,0.372,0.372,44.068,0.7000738734301896,0.25,32768,2026-01-28 13:55:04
time,0,2,3,10,1.0,,0.383,0.383,44.451,0.7000738734301896,0.25,32768,2026-01-28 13:55:49
time,0,2,4,11,1.0,,0.367,0.367,44.818,0.7000738734301896,0.25,32768,2026-01-28 13:57:25
