well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_H,measured_S,measured_V,output
1,0.05,0.1,0.3,0.55,181.41,99.87,82.89,6.5145373201229635
2,0.75,0.2,0.05,0.0,338.88,78.5,86.16,5.907603589698354
3,0.2,0.2,0.05,0.55,37.73,18.54,80.25,13.225095762679173
4,0.1,0.2,0.5,0.2,186.01,99.92,81.74,6.338807786460172
5,0.1,0.5,0.05,0.35,65.86,52.75,83.44,7.67407396132445
6,0.0,0.1,0.45,0.45,189.99,99.98,92.35,8.118760182593562
7,0.9,0.05,0.05,0.0,323.51,71.78,94.42,7.729910442434256
8,0.65,0.35,0.0,0.0,357.09,60.2,99.89,9.524630259314435
9,0.7,0.15,0.15,0.0,307.54,40.33,59.19,8.03035684121114
10,0.05,0.4,0.4,0.15,166.18,99.87,79.31,5.957355384507329
11,0.25,0.15,0.6,0.0,195.21,99.93,85.3,6.91387724921624
12,0.8,0.0,0.0,0.2,323.98,69.15,99.87,8.911612728564299
13,0.0,0.95,0.05,0.0,70.77,85.19,89.58,6.630079634745297
14,0.15,0.0,0.85,0.0,202.0,99.87,94.46,8.481383095577945
15,0.1,0.65,0.25,0.0,138.88,58.18,93.75,8.612385065666938
16,0.0,0.7,0.05,0.25,76.06,51.96,94.85,9.494319003240399
17,0.0,0.45,0.55,0.0,152.8,100.0,77.28,5.674970747805244
Target,,,,,165.8388671875,80.33769226074219,56.825382232666016,
