well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.8,0.05,0.15,0.0,27.16,39.15,-43.72,74.63291468566294
2,0.15,0.4,0.45,0.0,58.33,-51.07,24.89,46.052217159108935
3,0.0,0.5,0.5,0.0,69.07,-62.6,38.47,66.83595252079267
4,0.65,0.35,0.0,0.0,64.18,54.32,36.15,93.20383362961317
5,0.0,0.8,0.2,0.0,80.94,-79.87,74.94,107.44229704202165
6,0.3,0.15,0.55,0.0,49.19,-5.36,-40.54,41.78169945187146
7,0.35,0.3,0.35,0.0,57.69,-36.37,-4.48,24.440540178227263
8,0.0,0.1,0.9,0.0,65.56,-11.6,-45.19,50.78877039140653
9,0.45,0.2,0.35,0.0,39.64,-9.97,-27.95,26.783264950328878
10,0.55,0.0,0.45,0.0,35.42,36.92,-74.29,92.06311552223558
11,0.4,0.2,0.4,0.0,51.38,-16.09,-29.01,28.987246378976756
12,0.4,0.25,0.35,0.0,50.16,-24.91,-15.79,17.11491266433544
13,0.0,0.25,0.75,0.0,65.78,-33.89,-15.17,32.30704262545332
14,0.45,0.25,0.3,0.0,41.19,-22.43,-12.24,8.407115504775854
15,0.5,0.25,0.25,0.0,51.76,-24.93,-16.34,18.73519060516563
16,0.45,0.3,0.25,0.0,57.52,-36.76,-2.33,24.670912610458995
17,0.1,0.3,0.6,0.0,66.39,-37.87,-9.29,33.068336902468445
18,0.15,0.1,0.75,0.0,62.45,-9.88,-44.95,49.35673483852858
19,0.25,0.0,0.75,0.0,64.86,-3.47,-54.38,60.210659582909436
20,0.25,0.25,0.5,0.0,51.47,-24.96,-16.78,18.750756641097546
21,0.05,0.95,0.0,0.0,84.92,-16.83,81.32,99.74290908433733
22,0.25,0.75,0.0,0.0,78.14,2.11,73.05,92.79551085563338
23,0.4,0.6,0.0,0.0,77.45,11.62,62.36,87.0608852087653
Target,,,,,36.46808278867102,-24.29805555555555,-5.541111111111107,
