well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_H,measured_S,measured_V,output
1,0.8,0.05,0.15,0.0,274.89,74.0,52.74,4.673997720202772
2,0.15,0.4,0.45,0.0,163.45,99.92,64.76,4.964853208338759
3,0.0,0.5,0.5,0.0,155.86,99.98,76.4,7.249134291609317
4,0.65,0.35,0.0,0.0,1.48,58.28,99.8,13.823478766929512
5,0.0,0.8,0.2,0.0,135.2,99.84,92.02,10.338592050571082
6,0.7,0.0,0.3,0.0,223.11,99.75,74.2,6.807111964586747
7,0.95,0.0,0.05,0.0,315.97,78.34,84.76,9.364539211287786
8,0.25,0.2,0.55,0.0,195.4,99.84,77.74,7.50796897929633
9,0.3,0.35,0.35,0.0,170.3,99.85,60.42,4.1235248453622475
10,0.8,0.0,0.2,0.0,239.92,73.17,66.18,6.584234222639469
11,0.05,0.0,0.95,0.0,200.4,99.91,99.99,11.924989594499566
12,0.6,0.15,0.25,0.0,206.57,80.52,68.87,6.247929663312347
13,0.7,0.1,0.2,0.0,226.32,64.98,60.76,7.054250559113634
14,0.3,0.3,0.4,0.0,179.82,99.85,57.22,3.514932339690979
Target,,,,,187.46287536621094,93.95511627197266,40.667320251464844,
