well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_H,measured_S,measured_V,output
1,0.8,0.05,0.15,0.0,273.3,70.27,55.94,9.889119707979628
2,0.15,0.4,0.45,0.0,166.86,99.87,66.87,6.734261171004199
3,0.0,0.5,0.5,0.0,163.66,99.81,77.92,4.598026493970618
4,0.65,0.35,0.0,0.0,354.93,63.61,99.78,5.912469367999937
5,0.0,0.8,0.2,0.0,136.05,99.83,93.12,1.9584563082433972
6,0.05,0.95,0.0,0.0,55.32,76.6,96.74,3.3813774324638004
7,0.25,0.75,0.0,0.0,44.58,66.06,99.82,5.429041937617397
8,0.0,0.7,0.3,0.0,185.65,91.33,98.25,0.6786057539292917
9,0.0,0.65,0.35,0.0,143.54,98.49,82.45,3.6664488588011346
10,0.05,0.0,0.95,0.0,203.34,99.71,99.59,1.3743066836668227
11,0.05,0.65,0.3,0.0,147.25,99.24,84.61,3.3155699395926135
Target,,,,,330.7361755371094,93.1742935180664,99.75511932373047,
