well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_H,measured_S,measured_V,output
1,0.8,0.05,0.15,0.0,5.97,51.21,22.65,13.727081882314193
2,0.15,0.4,0.45,0.0,232.26,17.44,69.09,5.251117248422046
3,0.0,0.5,0.5,0.0,139.22,93.67,13.75,19.187407722754973
4,0.65,0.35,0.0,0.0,122.78,11.35,92.47,4.646275502933322
5,0.0,0.8,0.2,0.0,315.84,25.79,66.0,4.965246359135259
6,0.25,0.3,0.45,0.0,294.2,55.52,52.97,8.398347296894851
7,0.5,0.45,0.05,0.0,87.07,9.31,89.72,5.010237287144782
8,0.0,0.95,0.05,0.0,324.15,63.31,33.9,12.488655411457952
9,0.75,0.2,0.05,0.0,125.72,72.6,89.71,7.653243725331153
10,0.4,0.6,0.0,0.0,319.35,77.99,64.2,10.07086547263246
11,0.9,0.1,0.0,0.0,30.29,16.16,89.86,3.657795733426851
12,0.0,0.55,0.45,0.0,218.31,0.92,10.15,17.155144725577657
13,0.45,0.35,0.2,0.0,238.86,0.51,16.08,16.10469679644625
14,0.0,0.6,0.4,0.0,197.54,69.19,65.2,8.458682610030326
15,0.05,0.65,0.3,0.0,80.74,71.22,23.72,15.020396418345172
16,0.15,0.5,0.35,0.0,117.14,74.65,64.96,9.401770949637651
17,0.55,0.45,0.0,0.0,305.72,65.76,56.83,9.029650509337293
18,0.8,0.2,0.0,0.0,33.72,36.77,26.52,12.538500174393684
19,0.6,0.35,0.05,0.0,87.84,97.3,39.31,16.060423230719795
20,0.95,0.05,0.0,0.0,321.14,63.11,79.48,6.099000143253517
21,0.9,0.05,0.05,0.0,180.95,57.69,49.25,9.244788176395488
22,0.0,0.7,0.3,0.0,70.29,72.25,28.08,14.376512903468937
23,0.65,0.3,0.05,0.0,8.75,64.55,17.71,15.517377940495178
Target,,,,,146.29271867870386,34.33518783503978,89.13727652824717,
