well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,49.06,19.91,-66.17,49.548536159192196
2,0.5,0.25,0.25,0.0,44.51,-9.58,-17.75,11.35807069095079
3,0.5,0.2,0.3,0.0,34.94,-1.73,-32.91,14.734908358343592
4,0.1,0.1,0.8,0.0,64.13,-9.45,-44.82,25.603869215923638
5,0.3,0.05,0.65,0.0,52.67,4.99,-51.21,29.490367437292907
6,0.25,0.25,0.5,0.0,55.89,-21.06,-21.74,16.104540388386734
7,0.65,0.3,0.05,0.0,61.64,39.22,14.14,69.22485330898654
8,0.0,0.95,0.05,0.0,82.73,-46.45,73.11,114.11629112701324
9,0.4,0.25,0.35,0.0,53.75,-17.94,-13.85,18.52175273375567
10,0.25,0.15,0.6,0.0,55.38,-7.58,-38.75,15.574316352127072
11,0.05,0.25,0.7,0.0,70.57,-27.36,-22.17,30.95042143346643
12,0.35,0.15,0.5,0.0,51.65,-3.57,-43.76,18.78383068818975
13,0.35,0.4,0.25,0.0,52.13,-36.01,8.77,45.09591122092064
14,0.0,0.05,0.95,0.0,67.52,-10.43,-44.36,27.956171668102545
15,0.8,0.0,0.2,0.0,51.03,28.71,-42.88,43.84595133907395
16,0.6,0.2,0.2,0.0,45.06,-2.39,-24.06,10.972075918673863
17,0.0,0.45,0.55,0.0,71.34,-47.73,3.41,54.96380561115166
18,0.55,0.2,0.25,0.0,49.91,-6.83,-25.76,8.333205949974765
19,0.0,0.15,0.85,0.0,78.72,-25.24,-28.66,36.71153615082751
20,0.95,0.05,0.0,0.0,58.06,78.44,-3.0,95.29813376778333
21,0.6,0.15,0.25,0.0,50.65,-5.19,-40.59,15.127627154447673
22,0.6,0.0,0.4,0.0,47.31,23.11,-68.98,53.62783699564196
23,0.6,0.1,0.3,0.0,67.15,-5.5,-36.53,24.991980967090694
Target,,,,,44.37407407407407,-12.272222222222226,-28.787222222222226,
