well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,58.17,1.37,-54.86,48.8202493856401
2,0.5,0.25,0.25,0.0,47.48,9.12,-3.46,32.17267731326265
3,0.5,0.2,0.3,0.0,47.19,3.8,-18.08,25.026858699303993
4,0.1,0.1,0.8,0.0,71.42,-19.4,-39.47,40.14643664174155
5,0.3,0.05,0.65,0.0,58.44,-0.9,-52.39,45.950248670488925
6,0.05,0.05,0.9,0.0,72.31,-17.25,-42.77,42.987001116842855
7,0.05,0.7,0.25,0.0,88.59,-67.29,62.55,103.2923360690798
8,0.0,0.9,0.1,0.0,91.33,-40.24,83.95,113.52581601752104
9,0.35,0.15,0.5,0.0,56.21,-15.64,-32.84,24.73211300032135
10,0.3,0.45,0.25,0.0,67.91,-30.56,36.1,59.421678238128216
11,0.4,0.2,0.4,0.0,58.91,-20.92,-22.77,20.851834203176494
12,0.0,0.45,0.55,0.0,76.19,-58.9,19.7,63.80355189954246
13,0.5,0.1,0.4,0.0,42.62,7.85,-47.08,42.482522351232944
14,0.25,0.35,0.4,0.0,66.94,-48.98,11.77,48.12025900635059
15,0.5,0.15,0.35,0.0,54.43,1.36,-36.84,33.85867123922517
16,0.15,0.75,0.1,0.0,84.34,-22.39,68.65,94.92078823736117
17,0.25,0.6,0.15,0.0,75.9,-17.8,54.51,78.46756093973003
18,0.15,0.8,0.05,0.0,86.28,-7.72,74.53,101.71968039513844
19,0.25,0.15,0.6,0.0,71.66,-20.3,-38.29,39.6321502340165
20,0.2,0.15,0.65,0.0,67.84,-19.62,-36.41,35.43890380004087
21,0.0,0.65,0.35,0.0,88.35,-76.49,48.92,98.36238604108743
22,0.45,0.35,0.2,0.0,64.16,-3.55,13.83,41.25866887997054
23,0.45,0.1,0.45,0.0,66.17,-11.3,-45.67,41.46265713684641
Target,,,,,39.58061002178649,-19.849444444444444,-15.019166666666663,
