well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.65,0.05,0.0,71.69,6.94,60.91,82.74472945555092
2,0.8,0.2,0.0,0.0,56.9,75.52,20.56,107.07867745315835
3,0.15,0.05,0.8,0.0,62.77,-9.14,-45.76,42.591101885929376
4,0.05,0.85,0.1,0.0,83.99,-38.72,73.69,92.98258861914685
5,0.1,0.45,0.45,0.0,68.66,-59.04,29.68,56.30379509898309
6,0.15,0.05,0.8,0.0,61.03,-9.02,-44.47,40.913013154235564
7,0.15,0.05,0.8,0.0,66.23,-8.96,-49.0,46.74246971607647
8,0.15,0.05,0.8,0.0,61.46,-10.42,-43.13,39.383665806709736
9,0.15,0.05,0.8,0.0,62.76,-12.07,-42.11,38.42203626413626
10,0.15,0.05,0.8,0.0,59.84,-8.7,-44.77,40.901338692091656
11,0.15,0.05,0.8,0.0,66.63,-9.35,-48.58,46.41763768296583
12,0.15,0.05,0.8,0.0,66.21,-11.86,-45.12,42.50613318214271
13,0.15,0.05,0.8,0.0,62.07,-12.67,-40.96,36.95657766533901
14,0.15,0.05,0.8,0.0,61.01,-13.31,-39.61,35.1600925097731
15,0.15,0.05,0.8,0.0,67.59,-9.91,-48.14,46.283367844497434
16,0.15,0.05,0.8,0.0,68.1,-12.4,-45.81,43.79656232701953
17,0.15,0.05,0.8,0.0,65.3,-13.64,-42.33,39.20505578324745
Target,,,,,46.38856209150327,-26.426388888888894,-10.454444444444448,
