well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,48.63,19.48,-67.1,72.55140476818853
2,0.5,0.25,0.25,0.0,29.57,0.12,-10.45,37.464557411466075
3,0.5,0.2,0.3,0.0,23.63,1.88,-24.29,44.1347536560612
4,0.1,0.1,0.8,0.0,63.39,-13.35,-41.26,33.62537319818684
5,0.3,0.05,0.65,0.0,40.35,15.67,-57.25,63.96475990494604
6,0.0,0.3,0.7,0.0,68.23,-43.25,-2.12,23.466511708419628
7,0.4,0.6,0.0,0.0,68.73,39.59,63.02,103.28876416659843
8,0.0,0.95,0.05,0.0,85.37,-37.38,83.13,101.67680015134584
9,0.0,0.2,0.8,0.0,67.2,-32.03,-18.94,15.351798982772477
10,0.2,0.3,0.5,0.0,54.97,-37.97,0.96,16.875625843637994
11,0.8,0.2,0.0,0.0,55.64,77.71,26.72,113.54274846005585
12,0.15,0.25,0.6,0.0,63.74,-36.63,-9.03,13.623587467583025
13,0.3,0.3,0.4,0.0,55.95,-36.5,-2.52,13.34821694371639
14,0.25,0.25,0.5,0.0,51.76,-29.02,-11.04,2.626317113884591
15,0.3,0.25,0.45,0.0,56.07,-28.78,-14.78,3.162278039977024
16,0.25,0.2,0.55,0.0,62.15,-26.98,-21.98,12.600130093312222
17,0.3,0.2,0.5,0.0,56.81,-28.67,-15.55,4.21092570067819
18,0.0,0.05,0.95,0.0,73.21,-18.72,-41.32,35.92242173116068
19,0.35,0.2,0.45,0.0,63.19,-29.07,-20.06,12.032629994662821
20,0.35,0.4,0.25,0.0,76.47,25.51,44.76,82.45304170114626
21,0.1,0.2,0.7,0.0,71.79,-29.47,-26.0,22.49056737499863
22,0.0,0.6,0.4,0.0,81.01,-70.0,39.64,72.40434492025567
23,0.75,0.0,0.25,0.0,44.71,45.83,-67.49,92.67597831387057
Target,,,,,53.450980392156865,-28.63444444444444,-13.00888888888889,
