well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,47.83,19.57,-66.4,52.116461165745434
2,0.5,0.25,0.25,0.0,25.66,14.97,-23.73,34.24707051244794
3,0.5,0.2,0.3,0.0,26.53,9.59,-32.96,29.914211698451133
4,0.1,0.1,0.8,0.0,62.37,-10.04,-44.65,26.031478567875627
5,0.3,0.05,0.65,0.0,38.54,19.74,-59.87,47.60035782339491
6,0.55,0.0,0.45,0.0,24.74,44.71,-72.26,76.7252274643358
7,0.05,0.4,0.55,0.0,71.38,-43.7,-4.37,46.17702949551314
8,0.45,0.0,0.55,0.0,32.16,36.9,-71.32,68.68160468997478
9,0.0,0.2,0.8,0.0,68.08,-29.65,-23.36,28.952509413991425
10,0.0,0.95,0.05,0.0,84.56,-43.21,75.1,113.27730934706463
11,0.0,0.05,0.95,0.0,69.22,-11.58,-47.86,33.056964266477756
12,0.25,0.2,0.55,0.0,54.32,-15.35,-31.75,11.611124921120766
13,0.8,0.2,0.0,0.0,53.74,81.08,36.64,114.36229447552252
14,0.0,0.15,0.85,0.0,63.39,-22.94,-28.58,21.479553397935838
15,0.3,0.25,0.45,0.0,52.16,-17.11,-28.17,8.906835681380299
16,0.3,0.2,0.5,0.0,50.68,-9.44,-36.8,12.974222832287554
17,0.3,0.55,0.15,0.0,58.45,-15.59,41.26,69.30156532554025
18,0.25,0.25,0.5,0.0,56.09,-24.13,-21.46,16.64906178375385
19,0.25,0.3,0.45,0.0,67.6,-31.76,-19.61,30.412117731906463
20,0.3,0.3,0.4,0.0,54.93,-26.79,-17.01,19.44061925271447
21,0.35,0.25,0.4,0.0,55.08,-18.4,-28.53,12.110024395370415
22,0.0,0.6,0.4,0.0,80.97,-59.48,15.48,72.20790126604507
23,0.4,0.25,0.35,0.0,62.58,-20.67,-30.09,20.076277385691476
Target,,,,,44.07298474945534,-13.769166666666663,-26.514166666666668,
