well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.65,0.05,0.0,69.48,5.95,58.74,85.54489897677854
2,0.8,0.2,0.0,0.0,54.58,80.24,27.3,113.01399841149862
3,0.15,0.05,0.8,0.0,59.63,-3.69,-50.11,36.921456040461806
4,0.05,0.85,0.1,0.0,81.36,-42.2,71.56,98.32426678689198
5,0.1,0.45,0.45,0.0,64.89,-54.99,25.2,57.265978379351715
6,0.1,0.0,0.9,0.0,60.11,-1.56,-52.64,40.21320391133098
7,0.35,0.5,0.15,0.0,58.11,-4.81,30.1,53.365642878497894
8,0.15,0.4,0.45,0.0,62.96,-47.94,11.9,42.44537207343627
9,0.25,0.1,0.65,0.0,54.7,-8.44,-40.66,25.59473420682297
10,0.1,0.1,0.8,0.0,61.02,-17.01,-34.87,19.289582954798117
11,0.2,0.1,0.7,0.0,61.26,-7.66,-46.32,32.339897829851715
12,0.05,0.2,0.75,0.0,70.87,-29.74,-25.05,22.31711725094472
13,0.35,0.1,0.55,0.0,45.4,1.18,-45.22,35.17463233172912
14,0.35,0.05,0.6,0.0,41.65,8.88,-51.04,45.210851767011974
15,0.05,0.2,0.75,0.0,71.06,-26.86,-29.39,23.187606694124444
16,0.0,0.05,0.95,0.0,72.48,-17.44,-42.58,32.16509715463765
17,0.0,0.1,0.9,0.0,72.52,-20.73,-38.4,28.98089959498427
18,0.05,0.2,0.75,0.0,70.76,-27.07,-28.96,22.780178179499693
19,0.05,0.2,0.75,0.0,75.93,-24.68,-35.9,30.266933851010506
20,0.05,0.2,0.75,0.0,74.28,-28.25,-29.71,26.480498590984073
21,0.05,0.2,0.75,0.0,76.67,-26.01,-34.92,30.52174464331304
22,0.05,0.2,0.75,0.0,76.78,-26.22,-34.6,30.478220967647175
23,0.05,0.25,0.7,0.0,81.21,-32.37,-29.63,33.79516843863797
Target,,,,,50.46895424836601,-22.469166666666666,-19.67472222222223,
