well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,37.01,75.6,-53.46,101.12194121083715
2,0.5,0.25,0.25,0.0,61.06,55.01,27.76,36.77979718984707
3,0.5,0.2,0.3,0.0,56.11,60.46,19.47,42.25036267027906
4,0.1,0.1,0.8,0.0,41.91,69.44,-74.77,116.13434457404097
5,0.3,0.05,0.65,0.0,37.54,74.5,-44.89,93.45850371547094
6,0.55,0.45,0.0,0.0,71.22,34.76,82.7,58.69853095720608
7,0.1,0.55,0.35,0.0,70.55,28.06,21.41,23.682890262679077
8,0.05,0.95,0.0,0.0,92.84,-13.2,92.39,82.64445110967819
9,0.0,0.55,0.45,0.0,70.45,21.3,3.91,33.17708051845537
10,0.2,0.5,0.3,0.0,72.39,29.4,29.47,24.284893371561036
11,0.0,0.7,0.3,0.0,76.95,10.03,36.19,29.395625690832663
12,0.15,0.55,0.3,0.0,71.83,26.3,28.4,22.772396004632554
13,0.15,0.5,0.35,0.0,66.48,29.19,21.78,20.584182620783263
14,0.95,0.0,0.05,0.0,50.15,78.53,62.66,67.02284495236367
15,0.15,0.45,0.4,0.0,62.41,33.33,10.09,26.987238422461015
16,0.2,0.4,0.4,0.0,61.04,36.55,8.6,29.21765725650011
17,0.15,0.4,0.45,0.0,65.63,41.18,-0.26,40.1063490929098
18,0.1,0.7,0.2,0.0,80.39,12.11,52.8,38.807552276176004
19,0.3,0.55,0.15,0.0,74.07,27.9,58.41,38.0652650768589
20,0.2,0.45,0.35,0.0,66.06,34.71,22.14,23.157019122375086
21,0.75,0.0,0.25,0.0,47.75,79.5,24.05,59.842138574253696
22,0.7,0.15,0.15,0.0,57.69,60.91,49.59,46.01062666353995
23,0.0,0.05,0.95,0.0,35.12,72.11,-96.45,137.57251755221583
Target,,,,,50.0,20.0,30.0,
