well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,52.34,11.31,-61.29,34.228859345794696
2,0.5,0.25,0.25,0.0,34.38,13.95,-23.87,27.082742975535748
3,0.5,0.2,0.3,0.0,32.38,14.81,-40.57,27.51208379184009
4,0.1,0.1,0.8,0.0,64.81,-11.11,-45.14,22.297878069799264
5,0.3,0.05,0.65,0.0,44.62,11.38,-55.83,29.38603576617782
6,0.1,0.05,0.85,0.0,62.23,-8.73,-45.92,20.378843457511746
7,0.25,0.1,0.65,0.0,58.19,-4.05,-48.32,19.456648096291037
8,0.4,0.15,0.45,0.0,41.8,1.18,-42.72,13.425080966839994
9,0.45,0.1,0.45,0.0,39.95,6.31,-47.07,20.406223787957195
10,0.25,0.1,0.65,0.0,59.27,-9.66,-42.59,16.1182862658269
11,0.33,0.14,0.52,0.0,52.13,-2.64,-45.78,14.542677087828121
12,0.4,0.15,0.45,0.0,46.54,1.27,-46.23,15.5220035160824
13,0.4,0.15,0.45,0.0,46.64,-1.64,-42.9,11.124480390247294
14,0.33,0.14,0.52,0.0,45.74,-1.33,-42.55,10.998532985671387
15,0.35,0.15,0.5,0.0,55.22,-4.27,-46.17,15.949503872662062
16,0.3,0.1,0.6,0.0,58.15,-5.93,-46.18,17.56436728759905
17,0.35,0.1,0.55,0.0,50.81,-0.35,-47.36,16.339840363796128
18,0.3,0.2,0.5,0.0,61.02,-19.17,-31.99,18.920589114539705
19,0.37,0.11,0.53,0.0,59.22,0.23,-54.13,25.689333805128076
20,0.2,0.1,0.7,0.0,64.77,-10.26,-45.9,22.56009617244491
21,0.3,0.15,0.55,0.0,64.39,-15.24,-39.54,20.702146172240102
22,0.38,0.14,0.48,0.0,57.38,-2.94,-49.15,19.847972753887205
23,0.4,0.15,0.45,0.0,66.8,-11.82,-45.48,24.278173705250197
Target,,,,,45.5818082788671,-8.45805555555556,-34.170277777777784,
