well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,55.56,4.12,-55.78,28.87578399111987
2,0.5,0.25,0.25,0.0,38.44,15.68,-23.92,29.797909481379918
3,0.5,0.2,0.3,0.0,37.28,12.37,-40.02,26.949902910663216
4,0.1,0.1,0.8,0.0,65.38,-10.73,-45.72,21.858130492368957
5,0.3,0.05,0.65,0.0,47.31,9.13,-55.14,30.419177495809507
6,0.1,0.1,0.8,0.0,64.04,-14.62,-39.85,17.999570728044223
7,0.3,0.05,0.65,0.0,51.33,10.56,-59.64,34.935968389066716
8,0.4,0.2,0.4,0.0,39.41,0.02,-39.76,15.85796477113267
9,0.4,0.2,0.4,0.0,41.29,-3.05,-37.66,11.720439557415574
10,0.35,0.15,0.5,0.0,43.86,0.77,-43.6,16.8254628218489
11,0.3,0.1,0.6,0.0,54.39,0.18,-50.58,22.296168215522187
12,0.4,0.2,0.4,0.0,46.84,-5.63,-38.22,8.050358951839891
13,0.45,0.2,0.35,0.0,36.97,2.1,-36.14,17.63691459071063
14,0.4,0.2,0.4,0.0,36.45,1.85,-39.73,18.835653885836265
15,0.4,0.2,0.4,0.0,51.58,-6.7,-40.28,9.67687509447798
16,0.25,0.1,0.65,0.0,59.28,-7.75,-45.01,17.209402678569777
17,0.3,0.1,0.6,0.0,55.58,-5.72,-44.82,15.475712193979183
18,0.4,0.2,0.4,0.0,50.52,-6.81,-39.74,8.83267972983805
19,0.35,0.2,0.45,0.0,59.8,-11.21,-41.04,14.590883671513058
20,0.3,0.15,0.55,0.0,59.44,-9.64,-42.7,15.424137460546739
21,0.4,0.2,0.4,0.0,59.93,-13.43,-37.24,13.053248592258388
22,0.4,0.2,0.4,0.0,58.66,-8.21,-41.2,14.097500874035026
23,0.35,0.15,0.5,0.0,71.03,-16.45,-42.82,25.80228870009202
Target,,,,,47.952396514161215,-11.217777777777783,-32.5325,
