well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_H,measured_S,measured_V,output
1,0.3,0.0,0.7,0.0,114.9,43.69,97.59,21.209672897579612
2,0.5,0.25,0.25,0.0,14.71,98.37,85.96,25.945663377588605
3,0.5,0.2,0.3,0.0,7.29,81.35,70.69,21.372646612999706
4,0.1,0.1,0.8,0.0,245.86,14.9,57.95,11.81060298450926
5,0.3,0.05,0.65,0.0,32.29,83.07,88.92,24.153004627012834
6,0.05,0.0,0.95,0.0,269.11,92.21,36.17,19.650906425590364
7,0.05,0.3,0.65,0.0,128.97,51.08,50.92,14.245158812009194
8,0.15,0.0,0.85,0.0,114.37,9.93,62.9,12.58297425100561
9,0.0,0.25,0.75,0.0,34.39,89.39,72.64,22.855271334712796
10,0.0,0.55,0.45,0.0,184.8,67.91,53.14,17.073961029130697
11,0.0,0.95,0.05,0.0,304.3,4.18,94.1,18.6956140066101
12,0.15,0.15,0.7,0.0,295.5,15.15,64.39,13.069671441031918
13,0.1,0.4,0.5,0.0,291.95,96.09,47.09,21.23403587777908
14,0.5,0.0,0.5,0.0,291.37,2.09,25.3,4.937992549642179
15,0.55,0.0,0.45,0.0,128.78,64.23,70.06,18.827653509355024
16,0.45,0.0,0.55,0.0,195.8,93.19,55.81,21.55625958581116
17,0.95,0.0,0.05,0.0,326.04,28.52,2.25,5.596263820763145
18,0.95,0.05,0.0,0.0,78.69,29.62,0.7,5.8064393331818716
19,0.5,0.05,0.45,0.0,213.0,77.65,35.69,16.93469478830718
20,0.9,0.0,0.1,0.0,296.58,51.58,4.12,10.224078710294778
21,0.9,0.1,0.0,0.0,32.49,85.01,34.12,18.157169696133934
22,0.1,0.2,0.7,0.0,260.47,62.43,45.99,15.333375191694559
23,0.9,0.05,0.05,0.0,128.75,15.35,17.72,4.516740799389514
Target,,,,,25.0,0.6,0.7,
