well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_H,measured_S,measured_V,output
1,0.3,0.0,0.7,0.0,114.9,43.69,97.59,6.417459000548952
2,0.5,0.25,0.25,0.0,14.71,98.37,85.96,8.312157702737133
3,0.5,0.2,0.3,0.0,7.29,81.35,70.69,4.272653356322901
4,0.1,0.1,0.8,0.0,245.86,14.9,57.95,9.348785894486118
5,0.3,0.05,0.65,0.0,32.29,83.07,88.92,5.967374372522913
6,0.5,0.15,0.35,0.0,269.11,92.21,36.17,9.3500649387152
7,0.35,0.2,0.45,0.0,128.97,51.08,50.92,4.226918899761296
8,0.65,0.1,0.25,0.0,114.37,9.93,62.9,10.119415544935462
9,0.95,0.0,0.05,0.0,34.39,89.39,72.64,5.902041995892597
10,0.0,0.95,0.05,0.0,184.8,67.91,53.14,3.7621192268745602
11,0.0,0.6,0.4,0.0,304.3,4.18,94.1,12.162272499108619
12,0.05,0.9,0.05,0.0,295.5,15.15,64.39,9.044961110338496
13,0.0,0.4,0.6,0.0,291.95,96.09,47.09,8.554273684212701
14,0.0,0.8,0.2,0.0,291.37,2.09,25.3,14.6353353709486
15,0.5,0.5,0.0,0.0,128.78,64.23,70.06,0.9139029818669862
16,0.95,0.05,0.0,0.0,195.8,93.19,55.81,7.241149164821359
17,0.65,0.35,0.0,0.0,326.04,28.52,2.25,14.942960428368808
18,0.25,0.5,0.25,0.0,78.69,29.62,0.7,15.134688818036834
19,0.55,0.45,0.0,0.0,213.0,77.65,35.69,7.737616452016388
20,0.45,0.55,0.0,0.0,296.58,51.58,4.12,13.28599465195014
21,0.45,0.5,0.05,0.0,32.49,85.01,34.12,8.746799619225406
22,0.4,0.2,0.4,0.0,260.47,62.43,45.99,4.844500684447135
23,0.25,0.2,0.55,0.0,128.75,15.35,17.72,13.755655171448364
Target,,,,,25.0,60.0,70.0,
