well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_H,measured_S,measured_V,output
1,0.3,0.0,0.7,0.0,188.24,51.2,84.85,11.604717217130347
2,0.5,0.25,0.25,0.0,42.17,70.43,92.8,15.018055626056597
3,0.5,0.2,0.3,0.0,41.95,60.46,90.87,13.570617823018775
4,0.1,0.1,0.8,0.0,168.26,56.54,91.95,13.359018982610378
5,0.3,0.05,0.65,0.0,169.8,38.83,85.66,10.871984590953911
6,0.5,0.0,0.5,0.0,206.0,12.39,73.1,8.380534304573075
7,0.25,0.2,0.55,0.0,100.0,74.26,75.82,13.058570196027956
8,0.0,0.95,0.05,0.0,61.94,99.93,93.86,19.311108162921578
9,0.7,0.0,0.3,0.0,8.53,58.22,78.92,11.33067786321929
10,0.95,0.0,0.05,0.0,6.22,78.91,99.94,17.183957394107665
11,0.6,0.0,0.4,0.0,11.37,45.88,63.88,7.4553896444323025
12,0.55,0.0,0.45,0.0,349.82,26.17,52.97,3.99110075967324
13,0.0,0.6,0.4,0.0,87.09,99.86,96.17,19.592031044630094
14,0.05,0.0,0.95,0.0,188.81,99.77,97.64,19.763593475499146
15,0.3,0.7,0.0,0.0,40.54,93.68,99.92,19.17842077528517
16,0.35,0.4,0.25,0.0,48.44,99.86,70.73,16.77558873626282
17,0.8,0.2,0.0,0.0,22.79,98.3,99.91,19.848242134832386
18,0.65,0.35,0.0,0.0,26.61,94.96,99.88,19.355400451327654
19,0.55,0.05,0.4,0.0,43.68,63.92,58.65,9.334965259595702
20,0.15,0.55,0.3,0.0,77.99,99.85,74.29,17.107550540790044
21,0.0,0.35,0.65,0.0,122.95,78.58,92.19,15.964335792030683
22,0.0,0.3,0.7,0.0,144.31,99.89,92.13,19.08340715195271
23,0.25,0.1,0.65,0.0,141.06,71.13,66.14,11.363236003274332
Target,,,,,248.17999267578125,24.9271240234375,33.124725341796875,
