well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_R,measured_G,measured_B,output
1,0.3,0.0,0.7,0.0,57.81,196.27,219.4,212.70003619722883
2,0.5,0.25,0.25,0.0,223.73,153.79,19.32,149.54749530373408
3,0.5,0.2,0.3,0.0,201.31,162.39,20.82,139.71879176730906
4,0.1,0.1,0.8,0.0,1.09,219.97,161.34,217.56276435785344
5,0.3,0.05,0.65,0.0,131.24,188.82,154.34,156.23366193248282
6,0.2,0.3,0.5,0.0,140.96,214.51,65.26,154.98639770064412
7,0.9,0.0,0.1,0.0,248.81,120.36,112.45,153.55681949652674
8,0.0,0.9,0.1,0.0,210.72,236.13,0.22,209.19377984576266
9,0.5,0.0,0.5,0.0,167.36,173.81,177.7,167.36380556291135
10,0.65,0.35,0.0,0.0,254.76,154.37,11.09,176.0642049482041
11,0.6,0.0,0.4,0.0,174.28,146.05,136.82,125.6356865444196
12,0.0,0.65,0.35,0.0,166.04,234.2,20.89,185.19132733823224
13,0.0,0.4,0.6,0.0,62.56,246.48,37.91,193.99447003024292
14,0.0,0.7,0.3,0.0,162.14,242.63,0.29,197.8107654810542
15,0.75,0.0,0.25,0.0,218.18,126.17,122.43,134.48837007093374
16,0.55,0.15,0.3,0.0,197.7,143.0,48.89,117.0148790723024
17,0.7,0.0,0.3,0.0,211.85,149.7,136.54,149.0987759017015
18,0.7,0.15,0.15,0.0,231.69,149.67,72.25,146.24818953532764
19,0.45,0.15,0.4,0.0,162.77,167.24,43.77,117.73098733886482
20,0.65,0.15,0.2,0.0,190.86,91.87,0.36,104.03868645592999
21,0.0,0.05,0.95,0.0,0.21,212.78,214.99,241.9350762743329
22,0.4,0.6,0.0,0.0,248.86,159.74,0.34,177.99541891689583
23,0.0,0.15,0.85,0.0,0.32,233.64,143.06,220.9878953981417
Target,,,,,115.08694444444444,61.7025,64.95555555555555,
