well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_S,measured_V,output
1,0.3,0.0,0.7,0.0,39.48,43.69,97.59,33.73504632796742
2,0.5,0.25,0.25,0.0,59.64,8.97,83.07,53.554053068801075
3,0.5,0.2,0.3,0.0,60.39,36.17,35.82,42.940423529362
4,0.1,0.1,0.8,0.0,40.01,9.55,89.39,54.96080102015944
5,0.3,0.05,0.65,0.0,40.87,53.14,84.53,18.480308381686722
6,0.35,0.1,0.55,0.0,46.88,47.09,80.94,17.203566192544077
7,0.2,0.2,0.6,0.0,50.97,54.39,93.19,23.87462045832317
8,0.45,0.0,0.55,0.0,39.5,59.17,77.65,13.02211200736102
9,0.4,0.0,0.6,0.0,39.55,4.12,9.02,83.36371421130066
10,0.55,0.0,0.45,0.0,46.41,35.76,15.35,59.892462741998145
11,0.05,0.95,0.0,0.0,96.95,20.37,54.56,63.34808378863744
12,0.3,0.15,0.55,0.0,51.09,72.22,50.09,23.384555362817764
13,0.45,0.1,0.45,0.0,50.18,51.93,6.53,63.981583790579265
14,0.35,0.2,0.45,0.0,54.57,4.07,77.22,56.576512737511884
15,0.35,0.05,0.6,0.0,37.87,93.09,10.14,69.46287941559319
16,0.3,0.1,0.6,0.0,44.82,90.6,49.62,37.132548402472814
17,0.2,0.1,0.7,0.0,37.07,93.39,53.45,39.44676944149923
18,0.4,0.05,0.55,0.0,44.17,73.58,16.73,55.28500166926605
19,0.2,0.15,0.65,0.0,44.39,56.35,48.93,22.10422890870906
20,0.35,0.0,0.65,0.0,40.16,43.93,81.42,22.03620867242999
21,0.25,0.1,0.65,0.0,46.01,17.93,37.27,53.45290774559904
22,0.25,0.15,0.6,0.0,47.95,96.78,71.25,36.85521314720298
23,0.15,0.2,0.65,0.0,49.69,82.95,55.71,27.03620298147691
Target,,,,,50.0,60.0,70.0,
