well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L,measured_A,measured_B,output
1,0.3,0.0,0.7,0.0,65.88,-27.38,196.55,199.60129131208026
2,0.5,0.25,0.25,0.0,63.53,17.53,0.28,15.947945025080086
3,0.5,0.2,0.3,0.0,62.47,9.02,10.83,23.93236227160289
4,0.1,0.1,0.8,0.0,75.43,-53.93,165.0,181.00341117418824
5,0.3,0.05,0.65,0.0,68.29,-37.61,151.78,161.5915642456356
6,0.65,0.25,0.1,0.0,65.56,38.78,11.16,8.43966137866789
7,0.35,0.35,0.3,0.0,68.37,-13.06,2.73,45.36200084913929
8,0.0,0.95,0.05,0.0,86.62,-20.86,0.25,57.026701923062745
9,0.8,0.2,0.0,0.0,65.27,47.48,27.4,26.329134914241095
10,0.65,0.35,0.0,0.0,68.69,38.07,11.49,8.391343758773226
11,0.65,0.2,0.15,0.0,65.01,32.94,16.9,10.98773051450485
12,0.55,0.45,0.0,0.0,63.03,50.42,0.35,19.430340508156476
13,0.6,0.3,0.1,0.0,58.85,32.4,0.61,9.272314714086981
14,0.3,0.7,0.0,0.0,72.58,11.96,0.19,21.90343983527998
15,0.6,0.25,0.15,0.0,59.18,32.47,0.64,8.990842149112597
16,0.0,0.75,0.25,0.0,76.2,-40.1,0.33,73.12499554904682
17,0.65,0.3,0.05,0.0,60.94,43.62,0.59,13.816393005598366
18,0.7,0.0,0.3,0.0,52.24,26.47,95.25,90.50638341801898
19,0.0,0.45,0.55,0.0,76.34,-59.49,13.83,92.49903396963528
20,0.25,0.65,0.1,0.0,69.86,2.1,0.29,30.778985076422277
21,0.6,0.35,0.05,0.0,62.61,30.41,0.26,7.094639164163628
22,0.6,0.4,0.0,0.0,63.79,33.58,0.18,6.552738775579809
23,0.4,0.6,0.0,0.0,69.2,19.13,0.63,14.360664802154618
Target,,,,,66.36906318082788,32.13499999999999,6.028333333333333,
