well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_R,measured_G,measured_B,output
1,0.3,0.0,0.7,0.0,59.34,182.08,206.46,258.1829092699987
2,0.5,0.25,0.25,0.0,209.98,136.84,0.2,32.65092846150242
3,0.5,0.2,0.3,0.0,197.79,133.03,5.19,42.045495484168804
4,0.1,0.1,0.8,0.0,13.78,208.89,151.18,260.9925113942123
5,0.3,0.05,0.65,0.0,77.14,177.65,138.93,198.28484995851545
6,0.35,0.35,0.3,0.0,189.99,170.12,0.35,44.19980971517892
7,0.65,0.25,0.1,0.0,248.99,119.1,7.27,43.97662000977982
8,0.05,0.95,0.0,0.0,237.23,215.6,0.18,59.53386432369166
9,0.4,0.6,0.0,0.0,254.76,168.42,7.57,27.461461263137284
10,0.0,0.75,0.25,0.0,185.84,236.75,0.19,91.29702920124083
11,0.6,0.4,0.0,0.0,254.53,135.7,14.02,33.163671408813116
12,0.25,0.75,0.0,0.0,247.09,179.24,7.37,27.867756824824106
13,0.45,0.5,0.05,0.0,248.52,163.46,9.68,19.64310657994581
14,0.5,0.5,0.0,0.0,254.83,154.54,13.71,24.92817566789895
15,0.45,0.45,0.1,0.0,238.38,160.27,11.36,8.968604744597393
16,0.5,0.4,0.1,0.0,217.2,134.37,0.22,30.619984887929604
17,0.4,0.5,0.1,0.0,230.01,168.61,0.35,17.44860099321348
18,0.45,0.4,0.15,0.0,224.3,153.13,0.54,15.865531785685368
19,0.8,0.2,0.0,0.0,254.72,117.46,27.5,49.350729586555346
20,0.75,0.0,0.25,0.0,167.07,91.09,77.11,111.46282726731293
21,0.4,0.45,0.15,0.0,207.66,149.18,0.38,28.013516884545954
22,0.95,0.05,0.0,0.0,248.24,90.34,42.05,75.49030746232376
23,0.25,0.65,0.1,0.0,192.18,178.76,0.51,45.367452299678234
Target,,,,,230.18583333333333,158.215,14.369444444444444,
