well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_H,measured_S,measured_V,output
1,0.3,0.0,0.7,0.0,190.42,99.81,99.94,13.891486300945282
2,0.5,0.25,0.25,0.0,38.46,99.78,80.81,12.167355305499658
3,0.5,0.2,0.3,0.0,39.53,96.31,77.58,12.805801229755087
4,0.1,0.1,0.8,0.0,163.84,95.97,81.66,9.08101079307941
5,0.3,0.05,0.65,0.0,154.66,54.52,69.85,41.308353680323194
6,0.25,0.0,0.75,0.0,188.84,76.7,82.4,15.866805192012569
7,0.0,0.15,0.85,0.0,159.69,99.81,94.23,10.15640490329859
8,0.7,0.1,0.2,0.0,24.47,87.75,84.04,6.130029438733096
9,0.45,0.1,0.45,0.0,65.48,52.31,62.28,47.145831729532496
10,0.9,0.1,0.0,0.0,20.71,87.99,99.92,11.105015329287188
11,0.75,0.0,0.25,0.0,9.25,54.61,81.63,37.170413924103265
12,0.75,0.15,0.1,0.0,21.9,94.63,93.03,5.257390109382214
13,0.0,0.1,0.9,0.0,167.48,99.82,91.03,9.029978860000133
14,0.75,0.1,0.15,0.0,24.06,83.48,92.54,8.213552761894682
15,0.7,0.15,0.15,0.0,27.09,88.01,89.93,3.064828057375247
16,0.85,0.15,0.0,0.0,21.98,94.77,99.53,10.970829592834098
17,0.75,0.2,0.05,0.0,27.98,96.75,97.73,10.25956004584459
18,0.65,0.15,0.2,0.0,28.99,88.45,85.16,4.809376415156251
19,0.1,0.35,0.55,0.0,100.67,87.97,82.68,7.220087512356876
20,0.05,0.95,0.0,0.0,56.02,99.8,84.61,9.940438640263528
21,0.2,0.4,0.4,0.0,75.28,97.48,72.41,18.029329542257997
22,0.0,0.3,0.7,0.0,139.66,95.07,89.6,4.125993635090031
23,0.15,0.85,0.0,0.0,48.06,93.31,93.59,4.940335203814388
Target,,,,,41.03111267089844,90.99596405029297,89.2327880859375,
