well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_R',measured_G',measured_B',output
1,0.3,0.0,0.7,0.0,0.24,0.73,-0.12,0.9393233276816818
2,0.5,0.25,0.25,0.0,0.83,0.62,0.55,0.04426276758664409
3,0.5,0.2,0.3,0.0,0.78,0.61,0.48,0.12703127473072412
4,0.1,0.1,0.8,0.0,0.03,0.85,0.08,0.9934330401476511
5,0.3,0.05,0.65,0.0,0.35,0.76,0.01,0.7819754057772219
6,0.5,0.3,0.2,0.0,0.89,0.61,0.57,0.03517493388635582
7,0.4,0.35,0.25,0.0,0.81,0.66,0.57,0.06432122838301048
8,0.65,0.25,0.1,0.0,0.94,0.47,0.56,0.17083379786107858
9,0.45,0.3,0.25,0.0,0.83,0.64,0.55,0.04754696156856245
10,0.0,0.95,0.05,0.0,0.92,0.93,0.69,0.3424746377264402
11,0.4,0.6,0.0,0.0,1.0,0.67,0.62,0.16002223422723064
12,0.0,0.6,0.4,0.0,0.48,0.9,0.62,0.4783285717902082
13,0.8,0.0,0.2,0.0,0.88,0.44,0.24,0.38265268717183915
14,0.35,0.5,0.15,0.0,0.88,0.69,0.6,0.08854840791227214
15,0.55,0.25,0.2,0.0,0.88,0.51,0.54,0.11008813286521543
16,0.45,0.35,0.2,0.0,0.77,0.58,0.53,0.10396068928965775
17,0.2,0.7,0.1,0.0,0.88,0.78,0.63,0.17737676865119156
18,0.3,0.4,0.3,0.0,0.73,0.7,0.57,0.15508187818213898
19,0.65,0.35,0.0,0.0,1.0,0.52,0.57,0.17389647479361828
20,0.35,0.3,0.35,0.0,0.53,0.58,0.49,0.3405897361286337
21,0.3,0.5,0.2,0.0,0.74,0.66,0.55,0.12290979278619407
22,0.3,0.7,0.0,0.0,0.93,0.68,0.59,0.10488910294384797
23,0.55,0.4,0.05,0.0,0.89,0.52,0.54,0.10835493612220126
Target,,,,,0.8535958605664489,0.6096797385620915,0.5840364583333333,
