well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_L',measured_A',measured_LAB_B',output
1,0.3,0.0,0.7,0.0,0.87,-0.16,-0.16,0.5909254160529808
2,0.5,0.25,0.25,0.0,0.86,0.0,0.61,0.2316098657171986
3,0.5,0.2,0.3,0.0,0.88,-0.03,0.48,0.10987108411085168
4,0.1,0.1,0.8,0.0,0.93,-0.28,-0.07,0.5259338968622664
5,0.3,0.05,0.65,0.0,0.93,-0.19,0.01,0.4274523099118492
6,0.5,0.15,0.35,0.0,0.9,-0.05,0.25,0.17698440363732607
7,0.35,0.2,0.45,0.0,0.9,-0.16,0.28,0.16682299518162705
8,0.7,0.1,0.2,0.0,0.83,0.12,0.28,0.27297438845314925
9,0.8,0.2,0.0,0.0,0.77,0.17,0.49,0.3168280121984961
10,0.0,0.95,0.05,0.0,0.97,-0.16,0.69,0.2872269723595475
11,0.0,0.65,0.35,0.0,0.95,-0.28,0.66,0.31454079197879675
12,0.2,0.8,0.0,0.0,0.97,-0.16,0.7,0.2933427669831324
13,0.0,0.5,0.5,0.0,0.92,-0.38,0.55,0.33077578445423583
14,0.4,0.6,0.0,0.0,0.92,-0.08,0.64,0.22648660987131922
15,0.5,0.5,0.0,0.0,0.88,-0.02,0.58,0.1832729465294384
16,0.3,0.7,0.0,0.0,0.93,-0.1,0.63,0.21232733391015915
17,0.0,0.35,0.65,0.0,0.91,-0.44,0.34,0.3680168087840644
18,0.35,0.3,0.35,0.0,0.9,-0.14,0.48,0.09886817534983264
19,0.6,0.1,0.3,0.0,0.86,0.05,0.17,0.29513745890416865
20,0.45,0.05,0.5,0.0,0.86,-0.06,0.0,0.42622870196477375
21,0.4,0.25,0.35,0.0,0.89,-0.09,0.43,0.06359838183504118
22,0.3,0.3,0.4,0.0,0.91,-0.19,0.41,0.11171896020422772
23,0.3,0.5,0.2,0.0,0.94,-0.1,0.61,0.1939960063935655
Target,,,,,0.9502461873638343,-0.08144965277777783,0.41667968750000006,
