well,R_volume_ml,Y_volume_ml,B_volume_ml,Water_volume_ml,measured_R',measured_G',measured_B',output
1,0.3,0.0,0.7,0.0,0.88,1.0,1.0,0.5259212164812799
2,0.5,0.25,0.25,0.0,1.0,1.0,0.71,0.2276444265214129
3,0.5,0.2,0.3,0.0,1.0,1.0,0.8,0.3136411694604132
4,0.1,0.1,0.8,0.0,0.75,1.0,1.0,0.5698052501003698
5,0.3,0.05,0.65,0.0,0.89,1.0,1.0,0.5221304799130334
6,0.5,0.25,0.25,0.0,1.0,0.99,0.7,0.21425723254873175
7,0.3,0.05,0.65,0.0,0.91,1.0,0.99,0.515287650667287
8,0.4,0.2,0.4,0.0,0.99,0.98,0.75,0.2632449920565668
9,0.5,0.25,0.25,0.0,0.0,0.0,0.0,1.4535180226509412
10,0.35,0.15,0.5,0.0,0.0,0.0,0.0,1.4535180226509412
11,0.3,0.1,0.6,0.0,0.0,0.0,0.0,1.4535180226509412
12,0.5,0.25,0.25,0.0,0.0,0.0,0.0,1.4535180226509412
13,0.45,0.2,0.35,0.0,0.0,0.0,0.0,1.4535180226509412
14,0.4,0.2,0.4,0.0,0.0,0.0,0.0,1.4535180226509412
15,0.5,0.25,0.25,0.0,0.0,0.0,0.0,1.4535180226509412
16,0.25,0.1,0.65,0.0,0.0,0.0,0.0,1.4535180226509412
17,0.3,0.1,0.6,0.0,0.0,0.0,0.0,1.4535180226509412
18,0.5,0.25,0.25,0.0,0.0,0.0,0.0,1.4535180226509412
19,0.35,0.2,0.45,0.0,0.0,0.0,0.0,1.4535180226509412
20,0.3,0.15,0.55,0.0,0.0,0.0,0.0,1.4535180226509412
21,0.5,0.25,0.25,0.0,0.0,0.0,0.0,1.4535180226509412
22,0.4,0.2,0.4,0.0,0.0,0.0,0.0,1.4535180226509412
23,0.35,0.15,0.5,0.0,0.0,0.0,0.0,1.4535180226509412
Target,,,,,0.9980675381263616,0.9358736383442265,0.4906285403050109,
