well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,124.82,93.432,201.643,48.468,66.817,46.135,62.427,34.04,6.787,86.22,13.204,48.602,133.359,143.007,52.523,39.084,42.861,37.122
1,1,6,139.866,61.294,108.545,91.338,99.765,60.029,50.067,29.7,-57.22,71.362,-4.653,72.941,127.832,109.848,54.329,18.292,54.399,26.894
2,1,6,88.249,55.79,113.364,74.545,167.738,54.591,38.807,19.447,23.873,66.237,-39.543,59.6,136.904,91.163,69.677,23.36,58.77,20.703
3,1,6,148.914,51.465,85.645,51.71,96.559,85.651,33.406,25.456,-0.186,71.923,-28.181,90.844,227.688,103.274,42.441,29.51,65.135,20.636
4,1,6,144.701,40.434,112.969,114.849,111.964,35.829,55.932,22.842,-58.288,47.703,7.492,83.935,92.587,124.935,50.157,27.454,47.109,30.291
5,1,6,82.403,58.782,166.001,81.772,118.626,100.123,46.379,40.656,21.982,109.04,-8.299,70.295,238.865,97.701,59.964,26.678,32.751,16.861
6,2,6,169.987,56.6,130.013,94.419,145.165,66.531,69.014,17.998,29.157,90.241,-14.952,52.347,179.524,62.038,37.914,24.879,51.037,28.064
7,2,6,142.157,93.587,163.012,61.188,80.477,80.185,47.795,19.286,-24.237,78.561,16.256,102.861,165.869,61.965,47.72,33.093,26.136,14.903
8,2,6,143.074,87.829,160.171,101.993,66.34,55.36,63.232,25.976,-40.205,71.527,-15.768,90.542,163.085,124.814,55.546,28.628,78.444,16.459
9,2,6,59.625,77.717,121.822,77.356,152.8,83.496,47.878,37.441,-14.235,76.123,0.661,77.584,132.841,91.535,22.697,14.704,56.78,30.902
10,2,6,92.648,80.126,84.741,56.298,181.442,50.674,55.196,27.789,-4.244,63.478,-45.897,93.966,126.494,91.263,59.716,29.689,49.759,39.373
11,2,6,156.422,58.875,170.83,51.324,119.606,61.777,63.102,17.961,5.2,94.889,-18.657,60.49,221.211,78.49,53.073,31.302,38.933,26.141
12,3,6,143.998,70.952,125.254,78.941,143.358,36.605,54.022,28.728,28.531,76.942,-3.089,101.249,193.62,102.464,52.149,24.522,51.228,26.595
13,3,6,127.249,79.043,58.783,62.008,117.42,70.42,54.722,25.757,-11.568,45.352,33.988,77.051,276.012,41.418,32.444,35.21,43.522,37.46
14,3,6,88.073,75.759,115.76,74.743,110.056,76.46,45.526,19.071,70.631,53.481,-18.676,54.05,153.007,112.48,41.238,30.638,49.487,19.455
15,3,6,108.703,69.585,105.293,56.063,106.502,69.515,48.488,23.1,-47.461,49.863,51.106,58.947,239.716,103.566,53.545,25.424,40.205,19.654
16,3,6,187.604,42.391,105.639,76.891,148.14,88.941,44.33,28.033,54.683,51.364,-21.12,81.891,195.326,84.906,43.853,30.652,56.321,27.517
17,3,6,157.17,74.943,153.121,57.117,167.109,68.984,36.482,12.829,-6.468,76.472,-7.286,83.158,203.984,98.989,44.321,15.835,44.739,32.904
18,4,6,30.725,25.618,116.252,74.911,188.998,60.123,58.806,20.178,1.273,70.941,-14.742,83.237,182.3,111.353,37.018,22.13,51.891,27.424
19,4,6,139.98,64.708,90.383,67.906,87.111,66.491,45.6,32.918,49.949,45.086,-40.028,87.061,233.024,74.957,47.734,30.717,69.915,28.966
20,4,6,192.126,87.571,159.741,81.035,135.904,77.937,36.359,31.378,41.968,82.702,24.972,40.318,201.823,93.613,55.437,23.032,47.302,27.885
21,4,6,161.974,71.005,61.469,38.937,157.719,90.219,31.144,30.765,-54.939,26.713,10.255,72.557,203.239,116.335,59.757,29.086,42.745,29.606
22,4,6,122.244,93.065,127.158,68.798,101.229,59.967,42.125,26.925,12.75,46.204,-18.223,67.9,192.553,110.055,47.112,27.795,55.714,35.04
23,4,6,132.993,96.212,193.344,67.435,139.505,70.414,54.984,32.256,14.875,55.435,-37.741,79.031,141.036,122.751,40.276,38.522,66.714,14.038
