well_index,group_id,replicate_id,measurement_id,timestamp,RGB_R,RGB_G,RGB_B,LAB_L,LAB_A,LAB_B,HSV_H,HSV_S,HSV_V
0,1,1,well_00_rep_01,2026-01-05T12:18:57.923425,227.336,157.336,9.029,53.327,-108.743,104.003,357.929,71.345,77.243
0,1,2,well_00_rep_02,2026-01-05T12:18:57.934347,51.373,249.761,33.56,74.433,58.159,-6.976,20.619,22.96,45.46
0,1,3,well_00_rep_03,2026-01-05T12:18:57.939085,196.771,131.128,50.407,40.415,-81.866,11.003,70.498,25.923,10.826
0,1,4,well_00_rep_04,2026-01-05T12:18:57.944141,76.423,212.328,139.518,11.304,116.253,-41.937,259.551,5.885,94.544
0,1,5,well_00_rep_05,2026-01-05T12:18:57.951695,195.567,249.8,88.568,98.675,14.289,10.15,89.918,95.113,0.399
0,1,6,well_00_rep_06,2026-01-05T12:18:57.956417,1.453,209.506,79.82,96.406,42.628,2.98,1.638,93.911,28.692
1,1,1,well_01_rep_01,2026-01-05T12:18:57.961153,226.448,50.833,38.687,95.363,-94.756,9.785,303.472,62.66,19.695
1,1,2,well_01_rep_02,2026-01-05T12:18:57.966724,150.737,57.092,175.258,52.707,-50.865,-48.827,32.689,25.566,61.927
1,1,3,well_01_rep_03,2026-01-05T12:18:57.972650,73.026,199.873,148.765,68.392,76.061,87.454,68.041,61.875,46.548
1,1,4,well_01_rep_04,2026-01-05T12:18:57.978170,165.475,249.336,124.973,39.283,-127.889,39.664,26.416,57.713,34.017
1,1,5,well_01_rep_05,2026-01-05T12:18:57.983755,159.01,49.586,26.954,35.759,-53.422,-122.431,208.896,77.285,95.205
1,1,6,well_01_rep_06,2026-01-05T12:18:57.985764,64.498,44.547,83.952,8.898,-92.451,6.44,127.475,40.877,69.003
2,1,1,well_02_rep_01,2026-01-05T12:18:57.994698,47.547,3.316,186.634,29.892,-51.625,-0.089,247.09,58.615,34.647
2,1,2,well_02_rep_02,2026-01-05T12:18:57.997699,5.098,193.966,136.925,49.179,-30.958,-86.266,44.568,52.295,77.867
2,1,3,well_02_rep_03,2026-01-05T12:18:58.003355,164.88,88.016,83.809,21.226,79.113,25.684,173.368,39.237,49.499
2,1,4,well_02_rep_04,2026-01-05T12:18:58.007380,91.622,78.762,175.129,26.694,3.39,17.024,221.556,96.059,51.897
2,1,5,well_02_rep_05,2026-01-05T12:18:58.012521,101.607,198.94,247.907,73.534,122.61,-98.881,104.4,77.174,89.839
2,1,6,well_02_rep_06,2026-01-05T12:18:58.017267,118.738,117.182,176.026,32.317,20.711,-94.729,30.44,94.68,48.873
3,1,1,well_03_rep_01,2026-01-05T12:18:58.022044,94.988,4.426,254.807,80.25,27.429,13.003,251.603,75.639,70.056
3,1,2,well_03_rep_02,2026-01-05T12:18:58.026065,213.324,80.356,96.17,11.097,-21.289,44.781,252.893,9.293,59.729
3,1,3,well_03_rep_03,2026-01-05T12:18:58.033247,123.701,82.308,44.988,30.862,116.628,-82.02,100.536,55.651,65.339
3,1,4,well_03_rep_04,2026-01-05T12:18:58.034826,133.052,143.595,22.538,13.172,-71.318,-113.599,293.099,73.68,28.183
3,1,5,well_03_rep_05,2026-01-05T12:18:58.034826,115.06,63.728,41.837,24.445,21.618,93.31,108.31,22.728,80.831
3,1,6,well_03_rep_06,2026-01-05T12:18:58.034826,213.359,139.455,119.016,40.612,-74.184,-124.558,359.686,17.654,86.672
4,1,1,well_04_rep_01,2026-01-05T12:18:58.050732,209.515,10.292,109.65,42.828,2.549,-53.229,336.145,80.064,75.356
4,1,2,well_04_rep_02,2026-01-05T12:18:58.050732,83.736,254.863,107.814,52.594,-17.665,94.799,84.349,76.698,51.116
4,1,3,well_04_rep_03,2026-01-05T12:18:58.050732,140.131,102.72,167.522,96.44,-36.781,108.436,92.476,13.508,21.112
4,1,4,well_04_rep_04,2026-01-05T12:18:58.062841,156.919,0.648,82.992,61.56,-100.22,-23.173,9.157,24.583,24.845
4,1,5,well_04_rep_05,2026-01-05T12:18:58.067149,142.16,56.971,68.233,28.584,-82.652,22.675,7.299,44.22,90.283
4,1,6,well_04_rep_06,2026-01-05T12:18:58.067149,135.743,252.32,135.576,53.589,-114.961,-104.558,26.097,61.871,19.94
5,1,1,well_05_rep_01,2026-01-05T12:18:58.075105,148.849,237.126,107.017,0.087,-113.636,60.139,346.038,15.21,46.981
5,1,2,well_05_rep_02,2026-01-05T12:18:58.079275,17.597,138.385,235.429,76.553,122.987,-83.451,310.709,59.516,13.907
5,1,3,well_05_rep_03,2026-01-05T12:18:58.085103,48.947,228.006,247.596,92.254,110.884,79.253,268.782,74.017,18.443
5,1,4,well_05_rep_04,2026-01-05T12:18:58.088319,35.968,181.941,64.033,2.238,115.127,-84.037,113.156,46.056,20.335
5,1,5,well_05_rep_05,2026-01-05T12:18:58.094348,155.619,195.099,11.388,76.533,-10.468,11.069,123.365,73.847,51.065
5,1,6,well_05_rep_06,2026-01-05T12:18:58.098437,87.44,15.448,46.293,30.607,-93.002,-32.768,271.138,91.137,45.776
