group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,num_wells,num_measurements
1,RGB,R,121.492,63.768,60.199,29.231,0.486,6,36
1,RGB,G,131.361,84.595,77.114,43.387,0.563,6,36
1,RGB,B,110.245,69.725,63.726,33.352,0.523,6,36
1,LAB,L,47.836,29.111,28.69,10.726,0.374,6,36
1,LAB,A,-10.509,79.984,75.414,37.705,0.5,6,36
1,LAB,B,-9.997,69.661,71.036,20.392,0.287,6,36
1,HSV,H,159.539,118.198,111.655,59.367,0.532,6,36
1,HSV,S,54.848,27.405,27.396,9.249,0.338,6,36
1,HSV,V,50.171,26.662,25.418,11.679,0.459,6,36
2,RGB,R,127.319,81.335,75.789,42.238,0.557,6,36
2,RGB,G,138.431,76.789,73.763,32.729,0.444,6,36
2,RGB,B,124.305,74.694,66.337,44.305,0.668,6,36
2,LAB,L,57.703,24.882,24.408,8.816,0.361,6,36
2,LAB,A,-8.094,77.229,79.137,24.119,0.305,6,36
2,LAB,B,-13.06,78.037,79.632,20.824,0.262,6,36
2,HSV,H,164.837,87.182,85.018,34.327,0.404,6,36
2,HSV,S,46.111,28.635,27.049,13.715,0.507,6,36
2,HSV,V,50.182,30.063,25.974,17.595,0.677,6,36
3,RGB,R,135.466,72.533,68.779,35.474,0.516,6,36
3,RGB,G,110.642,69.411,67.627,30.942,0.458,6,36
3,RGB,B,132.098,68.875,68.487,24.357,0.356,6,36
3,LAB,L,47.262,22.72,22.92,6.792,0.296,6,36
3,LAB,A,14.724,69.399,58.912,44.543,0.756,6,36
3,LAB,B,5.82,77.008,76.058,29.736,0.391,6,36
3,HSV,H,210.277,95.176,90.637,42.446,0.468,6,36
3,HSV,S,44.592,26.652,27.047,7.703,0.285,6,36
3,HSV,V,47.584,26.517,27.264,5.87,0.215,6,36
4,RGB,R,130.007,87.308,73.03,54.601,0.748,6,36
4,RGB,G,124.725,76.549,66.504,47.314,0.711,6,36
4,RGB,B,135.078,74.707,70.858,37.113,0.524,6,36
4,LAB,L,44.836,28.948,29.07,10.634,0.366,6,36
4,LAB,A,10.979,63.415,54.514,37.247,0.683,6,36
4,LAB,B,-12.584,71.992,71.684,25.902,0.361,6,36
4,HSV,H,192.329,102.129,104.844,30.321,0.289,6,36
4,HSV,S,47.889,28.071,28.547,8.656,0.303,6,36
4,HSV,V,55.714,27.676,27.16,10.736,0.395,6,36
