group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,num_wells,num_measurements
1,RGB,R,108.399,72.567,66.775,39.111,0.586,6,36
1,RGB,G,116.301,80.859,86.602,9.694,0.112,6,36
1,RGB,B,112.784,71.152,59.871,45.118,0.754,6,36
1,LAB,L,50.533,29.243,29.638,10.397,0.351,6,36
1,LAB,A,-17.795,75.624,73.245,28.401,0.388,6,36
1,LAB,B,3.31,72.795,74.502,23.08,0.31,6,36
1,HSV,H,172.947,112.263,111.952,38.014,0.34,6,36
1,HSV,S,51.48,24.58,23.584,11.761,0.499,6,36
1,HSV,V,52.723,31.988,30.813,13.879,0.45,6,36
2,RGB,R,125.685,83.182,85.355,25.436,0.298,6,36
2,RGB,G,114.536,70.945,72.091,18.349,0.255,6,36
2,RGB,B,141.911,65.633,64.574,24.856,0.385,6,36
2,LAB,L,43.812,32.303,32.215,11.509,0.357,6,36
2,LAB,A,12.8,71.06,70.776,26.672,0.377,6,36
2,LAB,B,-14.249,57.909,56.093,26.547,0.473,6,36
2,HSV,H,170.245,117.148,117.984,42.873,0.363,6,36
2,HSV,S,44.293,26.917,24.424,14.571,0.597,6,36
2,HSV,V,51.555,32.469,31.063,14.747,0.475,6,36
3,RGB,R,111.905,66.103,68.199,17.972,0.264,6,36
3,RGB,G,118.709,79.12,75.617,36.906,0.488,6,36
3,RGB,B,143.936,83.17,88.463,12.102,0.137,6,36
3,LAB,L,55.659,33.873,29.645,20.926,0.706,6,36
3,LAB,A,-20.959,63.976,62.469,26.498,0.424,6,36
3,LAB,B,-16.133,73.676,74.572,25.476,0.342,6,36
3,HSV,H,183.951,96.105,92.196,33.776,0.366,6,36
3,HSV,S,50.259,32.376,29.083,18.369,0.632,6,36
3,HSV,V,53.316,28.802,28.277,11.644,0.412,6,36
4,RGB,R,127.628,77.036,67.717,44.344,0.655,6,36
4,RGB,G,135.555,66.289,57.253,38.65,0.675,6,36
4,RGB,B,126.578,76.461,81.027,10.226,0.126,6,36
4,LAB,L,49.877,29.3,26.635,13.518,0.508,6,36
4,LAB,A,-19.082,73.253,69.291,30.17,0.435,6,36
4,LAB,B,-14.138,72.017,68.939,29.331,0.425,6,36
4,HSV,H,177.383,99.74,105.492,14.065,0.133,6,36
4,HSV,S,47.782,24.657,23.532,11.248,0.478,6,36
4,HSV,V,56.926,25.089,23.905,11.631,0.487,6,36
