well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,128.646,68.164,48.775,56.438,104.931,78.118,63.339,30.745,-21.847,72.272,-2.049,61.447,246.097,111.807,35.469,18.8,31.6,21.61
1,1,6,127.769,96.327,186.328,73.971,123.449,51.78,58.982,11.405,11.638,92.886,-3.461,87.618,223.251,77.312,55.815,24.519,43.954,32.406
2,1,6,124.918,111.597,82.789,49.573,115.772,82.066,53.285,31.657,28.604,55.449,-7.281,84.947,185.212,108.112,42.905,22.373,27.728,14.448
3,1,6,112.375,65.144,96.166,69.548,189.796,96.333,57.408,27.851,-7.145,94.298,36.215,47.314,218.912,106.946,53.646,27.39,42.377,31.108
4,1,6,133.088,104.953,162.688,101.672,121.406,56.726,58.899,24.867,-45.935,41.353,-13.625,70.384,205.838,122.553,62.414,40.171,64.228,28.776
5,1,6,112.576,80.136,175.826,77.374,113.416,86.75,46.974,31.364,1.569,55.516,-14.801,90.705,277.05,92.491,57.855,25.738,44.949,26.433
6,2,6,149.115,79.311,122.065,75.826,76.597,81.007,37.096,21.258,50.576,34.202,35.886,85.32,224.618,46.903,47.372,37.137,36.033,35.04
7,2,6,77.548,52.825,153.724,63.098,158.748,51.881,39.351,33.946,25.54,93.791,-38.957,80.171,143.88,143.841,61.842,31.338,63.447,32.408
8,2,6,167.73,81.068,146.164,64.908,97.684,83.831,44.563,26.795,6.428,76.28,-34.744,66.623,211.9,121.32,44.366,34.739,62.95,21.144
9,2,6,105.488,63.825,87.521,89.284,134.129,67.108,60.153,18.931,-14.28,75.193,-9.64,63.262,166.873,94.908,50.806,40.106,56.343,23.21
10,2,6,90.487,77.285,140.439,92.549,103.138,87.577,55.115,39.194,20.563,45.538,15.902,56.083,179.874,133.297,78.932,19.838,32.211,16.513
11,2,6,126.764,79.691,123.487,54.825,150.21,72.425,44.341,35.963,11.954,114.464,-24.347,81.632,201.418,134.243,65.286,38.433,62.865,18.536
12,3,6,140.65,66.068,100.728,61.14,91.294,73.989,63.766,29.83,-33.459,52.696,33.983,67.736,152.176,83.067,27.419,27.124,54.836,30.89
13,3,6,84.697,43.092,138.603,93.988,176.921,61.884,44.669,30.731,15.623,92.254,31.926,65.723,208.807,65.446,56.748,31.297,66.687,30.956
14,3,6,119.407,82.874,144.112,95.817,152.553,61.933,48.348,27.064,67.015,64.918,-50.465,74.262,171.856,117.377,30.558,16.871,51.427,36.029
15,3,6,96.924,71.784,124.636,53.72,103.029,53.886,41.387,28.008,-26.709,96.887,69.552,34.732,175.241,92.347,45.854,30.072,46.675,47.848
16,3,6,162.189,75.68,142.926,66.066,131.284,79.924,73.648,16.833,-11.305,63.977,43.43,76.645,191.088,87.384,44.722,29.729,53.298,23.025
17,3,6,130.974,81.603,79.828,65.017,143.912,80.998,51.899,25.269,-21.52,39.371,-25.463,52.744,109.344,77.838,37.426,33.924,31.431,29.726
18,4,6,152.315,83.282,159.35,51.827,150.581,71.735,53.54,34.056,-18.597,98.967,50.712,47.388,213.3,114.452,64.279,34.293,49.167,23.749
19,4,6,65.033,50.597,133.747,83.317,71.499,42.301,48.31,33.575,5.31,88.218,-10.711,53.44,168.967,92.165,74.684,19.754,42.792,27.076
20,4,6,171.897,89.756,126.528,48.52,78.714,73.905,60.2,39.201,-6.649,28.379,-31.117,55.935,181.7,123.461,43.056,17.267,38.249,20.793
21,4,6,110.791,88.902,117.402,64.549,123.719,58.796,46.86,36.661,32.758,84.311,12.405,66.841,173.294,118.79,43.256,30.293,56.021,19.251
22,4,6,119.404,54.487,126.403,79.399,135.189,81.575,59.508,25.002,59.738,59.476,36.172,51.928,192.356,118.76,57.018,37.576,31.096,26.302
23,4,6,113.494,75.35,105.376,110.364,121.523,65.225,44.345,33.161,47.273,76.778,14.293,68.54,151.138,87.178,33.043,15.503,59.31,34.533
