well_index,group_id,replicate_id,measurement_id,timestamp,RGB_R,RGB_G,RGB_B,LAB_L,LAB_A,LAB_B,HSV_H,HSV_S,HSV_V
0,1,1,well_00_rep_01,2026-01-05T12:40:32.877614,149.496,169.078,226.472,28.467,12.22,32.275,146.795,68.606,80.735
0,1,2,well_00_rep_02,2026-01-05T12:40:32.877614,235.564,130.486,153.114,38.292,61.599,37.091,21.421,2.178,64.293
0,1,3,well_00_rep_03,2026-01-05T12:40:32.877614,130.998,201.314,13.645,13.052,32.491,-85.098,128.73,21.35,67.059
0,1,4,well_00_rep_04,2026-01-05T12:40:32.878809,134.185,219.394,64.766,14.208,25.399,-66.513,230.589,3.915,55.998
0,1,5,well_00_rep_05,2026-01-05T12:40:32.878809,142.059,205.445,141.727,93.669,100.519,-11.987,133.865,21.542,26.302
0,1,6,well_00_rep_06,2026-01-05T12:40:32.878809,166.038,118.866,133.074,16.618,-108.374,87.144,223.877,57.612,91.519
1,1,1,well_01_rep_01,2026-01-05T12:40:32.878809,217.492,175.076,105.789,35.655,10.395,35.747,195.33,75.662,30.197
1,1,2,well_01_rep_02,2026-01-05T12:40:32.878809,17.18,151.798,22.475,6.531,-72.655,102.74,262.422,58.075,26.575
1,1,3,well_01_rep_03,2026-01-05T12:40:32.878809,49.692,13.61,127.593,35.828,-36.143,-61.509,104.8,89.628,71.607
1,1,4,well_01_rep_04,2026-01-05T12:40:32.878809,136.616,158.746,220.466,21.281,-92.061,-112.674,318.375,51.106,43.898
1,1,5,well_01_rep_05,2026-01-05T12:40:32.878809,182.032,56.393,125.856,86.12,37.934,-120.732,323.517,64.013,46.767
1,1,6,well_01_rep_06,2026-01-05T12:40:32.878809,66.076,125.507,241.661,92.933,9.888,-3.846,162.369,74.672,80.317
2,1,1,well_02_rep_01,2026-01-05T12:40:32.879860,252.506,0.652,6.806,35.642,106.649,4.38,122.701,20.591,92.263
2,1,2,well_02_rep_02,2026-01-05T12:40:32.879860,199.341,50.834,244.457,45.813,32.193,7.436,87.601,38.726,53.583
2,1,3,well_02_rep_03,2026-01-05T12:40:32.879860,165.944,37.444,65.216,38.715,-69.45,28.476,20.337,34.098,74.63
2,1,4,well_02_rep_04,2026-01-05T12:40:32.879860,232.978,230.04,199.797,17.801,-123.848,90.632,287.308,75.966,84.063
2,1,5,well_02_rep_05,2026-01-05T12:40:32.879860,88.043,213.114,237.655,82.083,39.673,-127.994,13.438,43.941,83.806
2,1,6,well_02_rep_06,2026-01-05T12:40:32.879860,250.644,60.774,2.695,52.611,-34.998,-87.128,328.438,6.804,65.127
3,1,1,well_03_rep_01,2026-01-05T12:40:32.880614,243.574,44.605,6.409,88.838,-83.519,37.773,114.586,58.195,18.297
3,1,2,well_03_rep_02,2026-01-05T12:40:32.880614,110.754,62.001,217.838,36.102,46.059,-31.056,11.756,11.989,19.612
3,1,3,well_03_rep_03,2026-01-05T12:40:32.880614,191.39,216.984,57.639,5.079,-127.414,35.367,275.352,51.179,73.803
3,1,4,well_03_rep_04,2026-01-05T12:40:32.880614,178.773,165.179,155.301,68.403,95.901,-59.407,20.929,73.288,23.248
3,1,5,well_03_rep_05,2026-01-05T12:40:32.880614,95.665,129.667,9.61,41.476,-10.834,-21.354,324.53,85.978,22.909
3,1,6,well_03_rep_06,2026-01-05T12:40:32.880614,196.415,165.784,93.273,67.891,-39.809,14.927,229.447,5.159,84.916
4,1,1,well_04_rep_01,2026-01-05T12:40:32.880614,82.368,16.88,156.993,15.286,42.86,88.423,98.903,95.767,55.489
4,1,2,well_04_rep_02,2026-01-05T12:40:32.880614,158.248,60.925,220.24,16.994,-105.904,79.441,122.824,2.713,9.637
4,1,3,well_04_rep_03,2026-01-05T12:40:32.880614,227.655,196.924,160.676,48.619,-90.762,-119.433,258.09,73.371,53.614
4,1,4,well_04_rep_04,2026-01-05T12:40:32.880614,147.914,125.864,40.35,63.616,-62.533,-3.483,234.334,17.766,78.566
4,1,5,well_04_rep_05,2026-01-05T12:40:32.880614,221.385,99.825,204.042,84.991,-80.95,-2.113,138.032,72.465,86.45
4,1,6,well_04_rep_06,2026-01-05T12:40:32.880614,109.495,10.628,64.389,86.339,84.074,21.573,294.199,78.612,18.249
5,1,1,well_05_rep_01,2026-01-05T12:40:32.882619,116.399,17.625,28.618,82.575,46.665,96.181,162.007,82.735,84.541
5,1,2,well_05_rep_02,2026-01-05T12:40:32.882619,192.763,142.385,26.261,46.517,-95.609,-81.613,165.864,64.419,68.807
5,1,3,well_05_rep_03,2026-01-05T12:40:32.882619,45.839,223.182,81.729,45.181,41.917,108.765,287.252,30.944,81.168
5,1,4,well_05_rep_04,2026-01-05T12:40:32.882619,194.68,78.55,227.011,63.008,-112.002,109.079,147.317,47.5,20.395
5,1,5,well_05_rep_05,2026-01-05T12:40:32.882619,78.872,175.211,89.685,12.429,-78.952,123.477,82.884,92.866,4.704
5,1,6,well_05_rep_06,2026-01-05T12:40:32.882619,180.929,52.187,240.487,23.528,-113.179,13.303,197.595,97.612,18.34
6,2,1,well_06_rep_01,2026-01-05T12:40:32.928032,46.76,48.797,208.39,35.774,-13.02,-86.946,118.311,21.414,7.544
6,2,2,well_06_rep_02,2026-01-05T12:40:32.928032,244.418,59.263,117.272,48.528,-58.666,-82.006,102.152,49.565,55.937
6,2,3,well_06_rep_03,2026-01-05T12:40:32.928032,155.419,18.258,137.181,60.202,75.363,119.817,293.004,21.833,35.81
