well_index,group_id,replicate_id,measurement_id,timestamp,RGB_R,RGB_G,RGB_B,LAB_L,LAB_A,LAB_B,HSV_H,HSV_S,HSV_V
0,1,1,well_00_rep_01,2026-01-30T16:20:28.105934,195.943,173.867,130.936,71.796,2.191,25.147,39.173,33.366,76.59
0,1,2,well_00_rep_02,2026-01-30T16:20:36.101695,195.593,172.618,129.776,71.651,1.538,25.593,39.797,34.068,76.481
0,1,3,well_00_rep_03,2026-01-30T16:20:44.103050,195.699,172.942,130.064,71.609,1.668,25.475,39.992,33.658,76.48
0,1,4,well_00_rep_04,2026-01-30T16:20:52.104959,194.542,172.287,128.888,71.843,2.138,24.822,39.995,33.611,76.644
0,1,5,well_00_rep_05,2026-01-30T16:21:00.107425,195.909,173.139,129.962,71.721,1.773,25.383,40.014,34.417,76.196
0,1,6,well_00_rep_06,2026-01-30T16:21:08.109891,195.079,173.036,129.703,71.635,1.666,25.43,40.215,34.478,75.98
1,1,1,well_01_rep_01,2026-01-30T16:21:16.781802,175.444,164.444,119.332,67.169,-3.0,25.023,47.442,32.828,68.233
1,1,2,well_01_rep_02,2026-01-30T16:21:24.758596,175.188,163.971,119.048,66.782,-2.769,25.11,48.0,32.119,68.646
1,1,3,well_01_rep_03,2026-01-30T16:21:32.759842,173.987,162.669,117.563,67.613,-2.953,24.986,47.658,32.207,68.818
1,1,4,well_01_rep_04,2026-01-30T16:21:40.756502,174.091,163.11,117.926,67.505,-2.277,25.11,48.0,32.345,68.312
1,1,5,well_01_rep_05,2026-01-30T16:21:48.758907,175.569,164.569,119.546,67.369,-3.0,25.0,47.968,32.475,68.122
1,1,6,well_01_rep_06,2026-01-30T16:21:56.754399,174.609,163.193,118.301,67.191,-3.0,25.0,47.801,32.311,68.591
2,1,1,well_02_rep_01,2026-01-30T16:22:05.415420,176.334,157.099,107.933,66.479,-1.111,26.679,43.616,36.362,69.517
2,1,2,well_02_rep_02,2026-01-30T16:22:13.402683,177.361,160.644,113.026,66.474,-1.752,26.999,44.044,36.335,69.759
2,1,3,well_02_rep_03,2026-01-30T16:22:21.403391,177.476,161.154,113.061,66.428,-1.551,28.087,44.276,37.665,69.047
2,1,4,well_02_rep_04,2026-01-30T16:22:29.409453,177.384,160.155,113.123,65.785,0.057,27.095,45.389,35.173,69.176
2,1,5,well_02_rep_05,2026-01-30T16:22:37.406138,177.347,158.211,110.278,66.086,-0.469,27.672,44.955,35.954,69.501
2,1,6,well_02_rep_06,2026-01-30T16:22:45.410165,177.516,158.021,109.326,66.498,-1.264,26.323,45.941,35.667,68.698
3,1,1,well_03_rep_01,2026-01-30T16:22:54.061301,192.501,180.986,137.917,57.119,0.621,18.277,47.154,29.706,75.238
3,1,2,well_03_rep_02,2026-01-30T16:23:02.055698,191.879,179.299,134.913,73.231,-2.325,23.958,46.923,29.151,75.12
3,1,3,well_03_rep_03,2026-01-30T16:23:10.058149,156.548,139.118,105.625,73.308,-2.769,24.395,47.264,28.759,75.606
3,1,4,well_03_rep_04,2026-01-30T16:23:18.057538,191.716,179.745,136.042,57.045,-0.081,18.709,47.16,29.478,75.281
3,1,5,well_03_rep_05,2026-01-30T16:23:26.052317,191.544,179.697,135.769,73.751,-2.771,23.752,40.814,38.617,68.666
3,1,6,well_03_rep_06,2026-01-30T16:23:34.059987,176.113,156.872,118.002,73.136,-2.353,23.761,47.467,29.214,75.548
4,1,1,well_04_rep_01,2026-01-30T16:23:43.999723,181.671,170.256,123.232,69.585,-2.835,25.516,48.575,31.783,71.407
4,1,2,well_04_rep_02,2026-01-30T16:23:52.001031,181.411,170.041,123.281,69.587,-2.855,25.291,48.341,31.962,71.104
4,1,3,well_04_rep_03,2026-01-30T16:24:00.009462,181.613,170.469,122.748,70.03,-3.271,25.656,48.493,32.353,71.101
4,1,4,well_04_rep_04,2026-01-30T16:24:08.007057,181.947,170.799,124.369,69.614,-3.035,25.212,47.983,31.668,71.203
4,1,5,well_04_rep_05,2026-01-30T16:24:16.009651,181.606,170.439,122.055,69.693,-2.819,25.354,47.971,31.835,71.158
4,1,6,well_04_rep_06,2026-01-30T16:24:24.005253,181.337,170.119,123.469,69.594,-3.112,25.273,48.001,31.388,71.566
5,1,1,well_05_rep_01,2026-01-30T16:24:32.657648,165.883,165.781,115.869,66.821,-7.991,25.565,59.755,30.088,65.077
5,1,2,well_05_rep_02,2026-01-30T16:24:40.652738,165.849,165.76,115.331,66.815,-7.472,25.333,59.784,30.291,65.055
5,1,3,well_05_rep_03,2026-01-30T16:24:48.654988,165.611,165.361,115.64,66.904,-8.014,25.901,59.54,30.271,65.048
5,1,4,well_05_rep_04,2026-01-30T16:24:56.657415,166.159,166.424,117.092,66.692,-7.621,25.883,59.037,29.905,65.083
5,1,5,well_05_rep_05,2026-01-30T16:25:04.657762,165.189,165.774,115.556,66.962,-7.802,25.427,59.927,29.97,65.326
5,1,6,well_05_rep_06,2026-01-30T16:25:12.655492,165.831,166.133,117.072,67.489,-8.277,25.101,59.123,29.861,65.15
6,2,1,well_06_rep_01,2026-01-30T16:25:21.353535,212.842,105.055,127.972,57.956,44.58,7.068,347.986,50.756,83.204
6,2,2,well_06_rep_02,2026-01-30T16:25:29.357948,211.524,103.176,125.912,57.813,45.026,7.207,348.0,50.344,83.332
6,2,3,well_06_rep_03,2026-01-30T16:25:37.355242,212.976,104.888,127.908,58.18,44.857,7.037,348.008,51.197,83.233
6,2,4,well_06_rep_04,2026-01-30T16:25:45.357555,212.203,105.829,128.251,57.513,45.259,7.34,348.0,50.724,83.259
6,2,5,well_06_rep_05,2026-01-30T16:25:53.356277,212.451,103.59,126.762,57.853,44.998,7.199,348.0,49.773,83.091
6,2,6,well_06_rep_06,2026-01-30T16:26:01.353793,212.631,104.294,127.377,58.044,43.883,7.041,347.95,50.668,83.175
7,2,1,well_07_rep_01,2026-01-30T16:26:10.005872,196.553,110.462,125.9,69.217,36.271,5.001,347.818,46.368,81.399
7,2,2,well_07_rep_02,2026-01-30T16:26:18.006607,210.213,124.091,140.066,64.634,39.547,9.798,346.834,38.818,91.592
7,2,3,well_07_rep_03,2026-01-30T16:26:26.004648,233.382,142.452,163.426,69.178,36.849,4.283,355.281,52.194,71.517
7,2,4,well_07_rep_04,2026-01-30T16:26:34.007163,179.59,111.629,127.063,69.231,36.953,3.956,346.782,39.026,91.59
7,2,5,well_07_rep_05,2026-01-30T16:26:42.004338,232.878,142.916,161.977,58.982,38.525,10.702,347.912,38.601,91.478
7,2,6,well_07_rep_06,2026-01-30T16:26:50.003565,210.901,129.361,148.485,60.635,32.37,3.59,342.149,44.537,82.425
8,2,1,well_08_rep_01,2026-01-30T16:26:59.953864,220.371,118.709,139.536,61.876,41.997,6.691,348.0,46.157,86.67
8,2,2,well_08_rep_02,2026-01-30T16:27:07.955063,221.206,119.274,140.202,62.002,41.711,6.6,348.0,45.583,86.204
8,2,3,well_08_rep_03,2026-01-30T16:27:15.955175,220.905,119.209,139.974,62.01,42.01,6.662,348.0,45.932,86.524
8,2,4,well_08_rep_04,2026-01-30T16:27:23.953552,220.848,118.88,139.838,61.991,41.567,6.569,348.0,46.04,86.53
8,2,5,well_08_rep_05,2026-01-30T16:27:31.957646,221.225,118.669,139.779,62.153,41.651,6.516,348.0,46.248,86.849
8,2,6,well_08_rep_06,2026-01-30T16:27:39.954576,221.321,119.631,140.432,62.028,41.726,6.648,348.0,45.573,86.371
9,2,1,well_09_rep_01,2026-01-30T16:27:48.607800,212.675,111.417,122.956,58.554,41.757,12.026,352.611,48.516,83.545
9,2,2,well_09_rep_02,2026-01-30T16:27:56.606961,212.964,108.892,121.545,58.928,41.406,11.325,352.739,48.925,83.596
9,2,3,well_09_rep_03,2026-01-30T16:28:04.611521,212.884,111.632,123.181,58.467,42.123,11.714,352.187,48.546,83.541
9,2,4,well_09_rep_04,2026-01-30T16:28:12.608428,212.936,108.817,120.917,58.768,41.597,11.798,352.295,48.307,83.662
9,2,5,well_09_rep_05,2026-01-30T16:28:20.607065,212.59,108.503,121.878,58.965,40.958,12.045,352.237,48.892,83.222
9,2,6,well_09_rep_06,2026-01-30T16:28:28.604615,212.879,109.073,120.753,58.461,41.441,11.858,352.363,47.988,83.474
10,2,1,well_10_rep_01,2026-01-30T16:28:37.257418,195.727,108.883,124.485,56.55,34.841,6.248,349.569,43.597,76.512
10,2,2,well_10_rep_02,2026-01-30T16:28:45.259826,194.451,111.082,125.854,56.372,35.492,6.541,349.222,44.018,76.82
10,2,3,well_10_rep_03,2026-01-30T16:28:53.257439,195.527,110.613,125.778,56.667,34.79,6.43,349.636,43.071,76.598
10,2,4,well_10_rep_04,2026-01-30T16:29:01.255527,195.535,111.2,126.092,56.683,34.835,6.217,349.011,44.404,76.735
10,2,5,well_10_rep_05,2026-01-30T16:29:09.255093,195.619,110.565,125.85,56.626,34.985,6.387,349.656,43.306,76.716
10,2,6,well_10_rep_06,2026-01-30T16:29:17.258322,195.785,111.124,126.094,56.693,35.057,6.391,349.474,43.502,76.62
11,2,1,well_11_rep_01,2026-01-30T16:29:25.957352,242.801,140.682,169.003,70.153,41.701,2.482,343.243,41.411,94.865
11,2,2,well_11_rep_02,2026-01-30T16:29:33.953053,241.208,141.268,168.576,70.383,40.323,2.317,343.644,41.767,94.8
11,2,3,well_11_rep_03,2026-01-30T16:29:41.953012,223.932,127.501,153.934,70.223,41.385,2.233,338.306,38.956,91.384
11,2,4,well_11_rep_04,2026-01-30T16:29:49.957094,241.66,143.326,169.688,63.728,38.781,1.813,343.533,41.393,94.745
11,2,5,well_11_rep_05,2026-01-30T16:29:57.959761,242.562,141.107,168.758,61.496,38.202,3.159,343.533,41.636,94.914
11,2,6,well_11_rep_06,2026-01-30T16:30:05.952415,219.024,128.511,156.669,70.243,41.059,2.837,345.59,49.072,84.068
12,3,1,well_12_rep_01,2026-01-30T16:30:15.931442,219.585,203.452,94.446,81.222,-7.701,54.863,52.351,56.803,85.95
12,3,2,well_12_rep_02,2026-01-30T16:30:23.900944,219.819,203.211,93.769,81.521,-8.406,56.23,52.26,56.588,86.03
12,3,3,well_12_rep_03,2026-01-30T16:30:31.899881,219.968,203.089,94.968,81.291,-7.912,54.667,52.519,56.75,86.094
12,3,4,well_12_rep_04,2026-01-30T16:30:39.906486,219.589,203.876,95.104,81.307,-7.918,54.886,52.339,56.741,86.014
12,3,5,well_12_rep_05,2026-01-30T16:30:47.902549,219.451,203.337,94.498,81.203,-7.912,55.368,52.753,57.18,85.827
12,3,6,well_12_rep_06,2026-01-30T16:30:55.902555,219.282,203.409,93.457,81.103,-7.833,54.791,52.253,56.76,85.988
13,3,1,well_13_rep_01,2026-01-30T16:31:04.560668,201.598,192.831,78.605,76.915,-11.225,56.961,55.947,60.719,79.154
13,3,2,well_13_rep_02,2026-01-30T16:31:12.558070,202.245,192.475,79.055,76.744,-10.001,56.522,56.344,60.661,78.958
13,3,3,well_13_rep_03,2026-01-30T16:31:20.555361,201.299,192.987,78.764,76.782,-10.392,57.044,55.945,60.869,79.316
13,3,4,well_13_rep_04,2026-01-30T16:31:28.557985,200.716,193.171,78.751,76.858,-11.081,57.194,56.191,60.869,78.967
13,3,5,well_13_rep_05,2026-01-30T16:31:36.555089,201.74,193.466,79.524,76.889,-10.711,57.163,56.194,60.693,78.96
