well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,65.829,0.58,56.163,0.167,0.482,0.051,23.663,0.095,-2.323,0.569,32.172,0.1,51.729,0.477,99.302,0.03,25.685,0.141
1,1,6,85.794,0.567,0.333,0.048,0.204,0.012,15.37,0.149,36.303,0.159,23.73,0.215,239.993,185.895,99.899,0.021,33.709,0.183
2,1,6,82.806,1.61,0.33,0.019,0.334,0.063,14.445,0.153,35.248,0.195,22.262,0.218,359.967,0.028,99.864,0.013,32.062,0.247
3,1,6,75.671,0.334,0.537,0.061,0.455,0.026,12.945,0.1,33.082,0.154,19.952,0.155,0.072,0.031,99.76,0.015,29.761,0.139
4,1,6,86.981,0.341,0.358,0.018,0.193,0.021,15.702,0.082,36.665,0.113,24.22,0.137,299.992,146.963,99.889,0.03,34.168,0.19
5,1,6,87.926,1.883,1.315,0.286,0.301,0.018,15.752,0.046,36.219,0.072,24.232,0.088,0.73,0.069,99.76,0.029,34.118,0.103
6,2,6,185.371,0.291,0.249,0.026,0.213,0.034,38.541,0.111,62.968,0.143,52.675,0.121,0.0,0.0,99.96,0.007,72.738,0.114
7,2,6,143.31,1.044,0.287,0.028,0.355,0.037,29.056,0.323,52.079,0.402,42.113,0.353,180.001,197.178,99.893,0.021,56.308,0.195
8,2,6,158.02,1.232,0.318,0.015,0.264,0.032,32.537,0.091,56.097,0.1,46.291,0.135,239.999,185.902,99.933,0.009,62.348,0.124
9,2,6,150.249,0.474,0.298,0.016,0.378,0.023,30.785,0.064,54.142,0.094,44.188,0.082,119.999,185.901,99.881,0.02,59.046,0.19
10,2,6,151.276,0.246,0.294,0.033,0.284,0.047,30.842,0.083,54.228,0.119,44.319,0.12,60.0,146.969,99.912,0.006,59.276,0.121
11,2,6,156.576,0.304,0.321,0.026,0.245,0.043,32.078,0.076,55.61,0.099,45.839,0.064,239.999,185.902,99.931,0.014,61.534,0.157
12,3,6,153.884,0.204,45.012,0.289,0.376,0.025,35.602,0.065,43.485,0.189,47.553,0.067,17.498,0.102,99.738,0.024,60.25,0.152
13,3,6,151.348,0.533,50.837,0.293,0.322,0.032,35.985,0.04,40.183,0.155,47.528,0.041,19.972,0.206,99.757,0.026,59.324,0.232
14,3,6,165.336,1.447,53.251,0.666,0.407,0.026,39.086,0.057,44.523,0.147,50.672,0.051,19.074,0.099,99.755,0.019,65.081,0.131
15,3,6,137.068,1.478,31.227,0.57,0.448,0.043,30.454,0.073,43.474,0.21,42.761,0.095,13.359,0.061,99.674,0.037,54.104,0.142
16,3,6,142.944,3.979,26.17,1.802,0.514,0.02,30.949,0.597,46.79,1.445,43.53,0.772,10.846,0.821,99.616,0.043,55.843,1.308
17,3,6,144.656,2.288,27.139,0.908,0.482,0.026,31.502,0.044,47.371,0.143,44.19,0.071,10.95,0.114,99.678,0.039,57.025,0.098
18,4,6,10.774,0.143,6.315,0.166,0.297,0.039,1.868,0.009,0.586,0.072,2.765,0.017,33.026,1.698,97.261,0.466,4.229,0.124
19,4,6,15.971,0.785,16.232,0.288,0.468,0.036,4.565,0.098,-2.522,0.281,6.446,0.125,56.73,1.601,97.308,0.277,6.796,0.122
20,4,6,12.173,0.252,7.891,0.122,0.334,0.037,2.328,0.012,0.171,0.129,3.315,0.043,35.765,1.507,97.683,0.257,4.863,0.097
21,4,6,12.264,0.276,9.613,0.216,0.425,0.023,2.726,0.031,-0.561,0.161,3.771,0.039,45.668,1.869,96.768,0.283,4.886,0.09
22,4,6,17.604,0.251,18.202,0.291,0.43,0.028,5.219,0.079,-3.165,0.232,7.48,0.084,60.11,1.205,97.837,0.098,7.663,0.061
23,4,6,26.176,0.413,19.171,0.207,0.484,0.042,6.554,0.036,-0.15,0.289,9.447,0.056,43.021,1.02,98.089,0.178,10.215,0.116
