group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,num_wells,num_measurements
1,RGB,R,80.834,8.009,0.886,8.583,9.688,6,36
1,RGB,G,9.839,21.014,0.1,22.697,227.691,6,36
1,RGB,B,0.328,0.118,0.032,0.122,3.818,6,36
1,LAB,L,16.313,3.476,0.104,3.753,36.0,6,36
1,LAB,A,29.199,14.35,0.21,15.497,73.628,6,36
1,LAB,B,24.428,3.826,0.152,4.13,27.109,6,36
1,HSV,H,158.747,173.421,55.577,160.4,2.886,6,36
1,HSV,S,99.746,0.21,0.023,0.226,9.773,6,36
1,HSV,V,31.584,3.101,0.167,3.345,20.018,6,36
2,RGB,R,157.467,13.563,0.599,14.633,24.447,6,36
2,RGB,G,0.295,0.033,0.024,0.026,1.084,6,36
2,RGB,B,0.29,0.069,0.036,0.064,1.786,6,36
2,LAB,L,32.307,3.046,0.125,3.286,26.332,6,36
2,LAB,A,55.854,3.482,0.16,3.756,23.551,6,36
2,LAB,B,45.904,3.363,0.146,3.629,24.901,6,36
2,HSV,H,140.0,177.988,150.309,97.979,0.652,6,36
2,HSV,S,99.919,0.03,0.013,0.029,2.24,6,36
2,HSV,V,61.875,5.306,0.15,5.729,38.222,6,36
3,RGB,R,149.206,9.399,1.655,9.939,6.006,6,36
3,RGB,G,38.939,11.333,0.754,12.207,16.179,6,36
3,RGB,B,0.425,0.071,0.028,0.071,2.48,6,36
3,LAB,L,33.93,3.228,0.146,3.478,23.836,6,36
3,LAB,A,44.304,2.479,0.381,2.607,6.835,6,36
3,LAB,B,46.039,2.837,0.183,3.047,16.663,6,36
3,HSV,H,15.283,3.796,0.234,4.085,17.469,6,36
3,HSV,S,99.703,0.06,0.031,0.056,1.801,6,36
3,HSV,V,58.604,3.635,0.344,3.887,11.301,6,36
4,RGB,R,15.827,5.281,0.353,5.69,16.102,6,36
4,RGB,G,12.904,5.205,0.215,5.618,26.134,6,36
4,RGB,B,0.407,0.076,0.034,0.075,2.185,6,36
4,LAB,L,3.877,1.718,0.044,1.855,41.916,6,36
4,LAB,A,-0.94,1.435,0.194,1.535,7.92,6,36
4,LAB,B,5.537,2.472,0.061,2.67,43.927,6,36
4,HSV,H,45.72,10.203,1.483,10.916,7.36,6,36
4,HSV,S,97.491,0.511,0.26,0.474,1.823,6,36
4,HSV,V,6.442,2.1,0.102,2.265,22.292,6,36
