well_index,group_id,replicate_id,measurement_id,timestamp,RGB_R,RGB_G,RGB_B,LAB_L,LAB_A,LAB_B,HSV_H,HSV_S,HSV_V
0,1,1,well_00_rep_01,2026-02-06T16:13:39.880059,66.667,55.869,0.501,23.597,-2.145,32.14,52.088,99.295,25.612
0,1,2,well_00_rep_02,2026-02-06T16:13:49.481690,65.815,56.115,0.444,23.827,-2.612,32.317,51.741,99.276,25.697
0,1,3,well_00_rep_03,2026-02-06T16:13:59.081402,65.552,56.367,0.508,23.601,-1.523,32.071,52.357,99.336,25.495
0,1,4,well_00_rep_04,2026-02-06T16:14:08.681869,64.917,56.246,0.448,23.631,-2.659,32.129,51.748,99.336,25.649
0,1,5,well_00_rep_05,2026-02-06T16:14:18.264970,65.963,56.173,0.564,23.73,-1.912,32.277,51.442,99.307,25.742
0,1,6,well_00_rep_06,2026-02-06T16:14:27.865115,66.061,56.206,0.43,23.594,-3.086,32.101,51.0,99.264,25.917
1,1,1,well_01_rep_01,2026-02-06T16:14:38.169495,85.587,0.287,0.217,15.345,36.254,23.671,0.004,99.889,33.801
1,1,2,well_01_rep_02,2026-02-06T16:14:47.768626,86.567,0.412,0.181,15.215,36.136,23.496,359.993,99.897,33.917
1,1,3,well_01_rep_03,2026-02-06T16:14:57.369257,85.194,0.283,0.211,15.506,36.442,23.945,0.003,99.9,33.652
1,1,4,well_01_rep_04,2026-02-06T16:15:06.953808,86.151,0.351,0.207,15.234,36.141,23.547,359.991,99.878,33.864
1,1,5,well_01_rep_05,2026-02-06T16:15:16.552155,85.169,0.349,0.203,15.589,36.527,24.032,359.987,99.94,33.441
1,1,6,well_01_rep_06,2026-02-06T16:15:26.151891,86.094,0.315,0.206,15.331,36.317,23.687,359.981,99.891,33.581
2,1,1,well_02_rep_01,2026-02-06T16:15:36.456992,85.964,0.301,0.218,14.414,35.268,22.239,359.973,99.864,31.689
2,1,2,well_02_rep_02,2026-02-06T16:15:46.059210,82.118,0.327,0.342,14.327,35.092,22.121,359.912,99.87,32.174
2,1,3,well_02_rep_03,2026-02-06T16:15:55.657167,81.705,0.348,0.347,14.47,35.204,22.258,359.973,99.88,31.945
2,1,4,well_02_rep_04,2026-02-06T16:16:05.241121,81.677,0.316,0.402,14.483,35.294,22.341,359.982,99.856,32.123
2,1,5,well_02_rep_05,2026-02-06T16:16:14.841010,82.734,0.341,0.32,14.269,35.04,21.985,359.969,99.843,32.017
2,1,6,well_02_rep_06,2026-02-06T16:16:24.441213,82.636,0.345,0.374,14.708,35.593,22.629,359.992,99.873,32.427
3,1,1,well_03_rep_01,2026-02-06T16:16:34.744352,76.136,0.527,0.459,12.907,33.001,19.9,0.032,99.754,29.608
3,1,2,well_03_rep_02,2026-02-06T16:16:44.346400,75.699,0.441,0.41,13.079,33.309,20.151,0.084,99.748,29.686
3,1,3,well_03_rep_03,2026-02-06T16:16:53.928219,75.985,0.627,0.451,12.88,32.968,19.832,0.037,99.776,29.951
3,1,4,well_03_rep_04,2026-02-06T16:17:03.528668,75.466,0.555,0.454,13.021,33.21,20.074,0.11,99.776,29.643
3,1,5,well_03_rep_05,2026-02-06T16:17:13.129490,75.275,0.554,0.464,12.806,32.906,19.741,0.094,99.764,29.889
3,1,6,well_03_rep_06,2026-02-06T16:17:22.735377,75.466,0.519,0.492,12.975,33.096,20.015,0.073,99.739,29.786
4,1,1,well_04_rep_01,2026-02-06T16:17:34.201587,87.315,0.381,0.213,15.626,36.618,24.096,359.998,99.907,34.263
4,1,2,well_04_rep_02,2026-02-06T16:17:43.563674,86.407,0.338,0.177,15.704,36.614,24.211,359.991,99.925,34.163
4,1,3,well_04_rep_03,2026-02-06T16:17:53.160891,86.96,0.366,0.172,15.75,36.739,24.319,359.984,99.899,33.923
4,1,4,well_04_rep_04,2026-02-06T16:18:02.760730,86.839,0.369,0.204,15.583,36.483,24.021,359.987,99.892,33.958
4,1,5,well_04_rep_05,2026-02-06T16:18:12.363496,87.324,0.356,0.217,15.755,36.761,24.299,0.006,99.874,34.374
4,1,6,well_04_rep_06,2026-02-06T16:18:21.944509,87.039,0.335,0.174,15.796,36.773,24.372,359.988,99.839,34.325
5,1,1,well_05_rep_01,2026-02-06T16:18:32.259091,91.754,0.748,0.271,15.823,36.356,24.379,0.684,99.741,34.174
5,1,2,well_05_rep_02,2026-02-06T16:18:41.849341,86.941,1.398,0.319,15.714,36.183,24.139,0.655,99.783,34.157
5,1,3,well_05_rep_03,2026-02-06T16:18:51.449186,87.283,1.363,0.298,15.724,36.196,24.255,0.713,99.794,34.121
5,1,4,well_05_rep_04,2026-02-06T16:19:01.049242,86.974,1.464,0.296,15.773,36.186,24.221,0.807,99.719,33.915
