well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,212.799,8.5,225.415,0.368,227.846,9.567,88.954,0.337,-3.277,0.368,-1.734,2.157,171.663,2.01,3.982,0.168,88.31,0.168
1,1,6,229.078,3.271,232.084,0.13,223.885,0.504,91.682,0.178,-2.328,0.443,3.742,0.637,70.255,2.498,3.644,0.222,91.027,0.054
2,1,6,225.535,1.85,232.424,0.63,229.778,2.704,91.753,0.058,-3.184,0.308,-0.471,0.152,167.278,2.722,3.591,0.172,91.317,0.063
3,1,6,220.028,3.485,232.999,0.988,236.552,3.129,91.529,0.081,-3.336,1.276,-2.994,1.492,192.295,3.957,7.391,1.47,92.968,0.65
4,1,6,216.838,2.811,227.748,0.416,227.269,1.679,89.723,0.086,-3.205,0.199,-1.02,0.075,174.0,0.0,4.044,0.129,89.241,0.026
5,1,6,234.354,0.341,238.083,0.262,235.957,0.174,93.881,0.064,-1.731,0.334,0.531,0.215,128.482,8.575,1.829,0.354,93.375,0.115
6,2,6,238.617,2.106,219.119,1.007,220.829,0.652,89.041,0.013,6.542,0.078,1.046,0.08,354.83,0.474,7.577,0.28,93.244,0.197
7,2,6,238.93,0.891,219.106,0.187,221.025,0.123,89.126,0.049,6.981,0.128,1.417,0.21,351.996,5.779,8.224,0.358,93.521,0.773
8,2,6,231.807,1.568,205.813,0.836,210.494,0.508,85.003,0.035,10.224,0.241,0.835,0.107,348.923,0.987,11.618,0.139,91.17,0.1
9,2,6,248.661,0.32,215.605,0.168,218.677,0.429,89.02,0.02,12.335,0.158,3.012,0.036,354.41,0.56,13.464,0.18,97.603,0.101
10,2,6,247.338,0.241,217.68,0.13,219.004,0.161,89.417,0.051,10.682,0.129,3.422,0.057,357.554,0.688,12.166,0.138,96.984,0.136
11,2,6,240.975,1.493,218.776,0.337,226.1,3.342,89.374,0.037,8.79,0.137,-1.571,0.161,336.422,0.467,8.782,0.073,94.233,0.036
12,3,6,223.667,2.356,235.622,0.578,231.912,0.735,92.367,0.017,-3.865,0.076,0.665,0.161,159.486,1.672,4.611,0.023,92.314,0.034
13,3,6,238.982,0.103,248.817,0.121,240.6,0.423,97.012,0.017,-4.943,0.051,3.103,0.082,129.302,1.14,3.94,0.075,97.595,0.044
14,3,6,239.29,0.172,249.292,0.096,241.098,0.228,97.149,0.025,-4.97,0.031,3.048,0.043,131.018,0.612,3.937,0.055,97.71,0.03
15,3,6,240.222,0.295,246.705,0.65,239.335,0.37,96.592,0.209,-3.84,0.57,2.934,0.373,115.251,6.703,3.287,0.423,96.95,0.359
16,3,6,224.294,0.08,233.176,0.089,229.514,0.192,91.788,0.027,-4.032,0.101,0.636,0.304,151.423,2.54,3.841,0.054,91.428,0.039
17,3,6,249.252,2.427,243.291,0.69,231.102,0.836,96.113,0.079,0.643,0.372,6.492,0.496,34.956,2.275,7.24,0.301,98.098,0.182
18,4,6,222.695,0.146,244.137,0.062,245.245,0.172,94.851,0.02,-7.001,0.014,-3.209,0.069,182.506,0.281,9.367,0.194,96.221,0.06
19,4,6,220.366,1.163,242.942,0.066,249.514,1.274,94.48,0.028,-5.998,0.005,-5.635,0.18,194.602,1.254,12.109,0.163,98.12,0.239
20,4,6,198.634,0.925,227.527,0.158,226.549,2.341,88.433,0.024,-9.691,0.14,-2.049,0.118,176.412,0.647,12.555,0.195,89.275,0.067
21,4,6,213.819,0.183,235.262,0.192,233.748,0.196,91.631,0.041,-7.827,0.065,-1.333,0.068,175.986,1.054,9.154,0.152,92.241,0.07
22,4,6,214.637,0.205,235.257,0.185,234.92,0.491,91.778,0.127,-7.066,0.464,-2.164,0.432,178.601,1.688,9.056,0.148,92.478,0.158
23,4,6,212.833,2.05,235.498,0.26,240.806,1.898,91.901,0.023,-6.251,0.194,-5.135,0.076,191.869,1.011,12.34,0.155,94.752,0.104
