group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,num_wells,num_measurements
1,RGB,R,223.106,8.403,3.376,8.038,2.381,6,36
1,RGB,G,231.459,4.127,0.466,4.425,9.504,6,36
1,RGB,B,230.214,6.152,2.959,5.053,1.708,6,36
1,LAB,L,91.254,1.613,0.134,1.734,12.92,6,36
1,LAB,A,-2.844,0.83,0.488,0.66,1.353,6,36
1,LAB,B,-0.324,2.379,0.788,2.319,2.943,6,36
1,HSV,H,150.662,41.49,3.294,44.615,13.545,6,36
1,HSV,S,4.08,1.78,0.419,1.815,4.33,6,36
1,HSV,V,91.04,1.867,0.179,1.997,11.135,6,36
2,RGB,R,241.054,5.881,1.103,6.218,5.637,6,36
2,RGB,G,216.016,4.818,0.444,5.174,11.651,6,36
2,RGB,B,219.355,4.892,0.869,5.09,5.855,6,36
2,LAB,L,88.497,1.593,0.034,1.72,50.394,6,36
2,LAB,A,9.259,2.084,0.145,2.245,15.475,6,36
2,LAB,B,1.36,1.658,0.109,1.786,16.433,6,36
2,HSV,H,350.689,7.362,1.493,7.57,5.072,6,36
2,HSV,S,10.305,2.249,0.195,2.419,12.432,6,36
2,HSV,V,94.459,2.27,0.224,2.428,10.847,6,36
3,RGB,R,235.951,9.368,0.906,10.023,11.068,6,36
3,RGB,G,242.817,6.401,0.371,6.899,18.607,6,36
3,RGB,B,235.593,4.924,0.464,5.292,11.404,6,36
3,LAB,L,95.17,2.251,0.062,2.43,39.049,6,36
3,LAB,A,-3.501,1.957,0.2,2.095,10.458,6,36
3,LAB,B,2.813,2.006,0.243,2.147,8.83,6,36
3,HSV,H,120.239,41.528,2.49,44.742,17.967,6,36
3,HSV,S,4.476,1.328,0.155,1.418,9.132,6,36
3,HSV,V,95.683,2.771,0.115,2.988,26.077,6,36
4,RGB,R,213.831,7.848,0.778,8.413,10.808,6,36
4,RGB,G,236.771,5.618,0.154,6.066,39.409,6,36
4,RGB,B,238.464,7.85,1.062,8.37,7.882,6,36
4,LAB,L,92.179,2.152,0.044,2.324,53.071,6,36
4,LAB,A,-7.306,1.253,0.147,1.337,9.101,6,36
4,LAB,B,-3.254,1.643,0.157,1.763,11.215,6,36
4,HSV,H,183.329,7.529,0.989,8.06,8.148,6,36
4,HSV,S,10.763,1.609,0.168,1.73,10.296,6,36
4,HSV,V,93.848,2.932,0.116,3.164,27.22,6,36
