well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,215.341,2.129,210.815,1.257,205.219,3.385,84.733,0.045,0.476,0.293,4.148,0.076,39.704,4.689,5.043,0.144,84.304,0.149
1,1,6,227.988,2.773,222.618,1.066,219.241,4.899,88.907,0.445,1.029,0.63,2.317,2.174,190.805,180.19,4.053,3.282,89.706,1.33
2,1,6,228.082,0.372,222.756,0.263,221.617,0.77,89.153,0.03,1.375,0.341,0.922,0.292,68.591,140.925,2.842,0.428,89.26,0.291
3,1,6,211.423,1.8,228.631,0.305,229.196,0.741,89.709,0.048,-6.214,0.285,-2.118,0.065,179.822,1.98,8.116,0.399,89.851,0.176
4,1,6,207.543,2.681,217.738,0.259,217.908,1.164,86.226,0.012,-3.103,0.081,-1.08,0.071,177.232,2.486,4.35,0.104,85.499,0.094
5,1,6,225.447,2.686,229.583,0.945,225.669,1.571,90.975,0.021,-1.739,0.278,1.148,0.478,120.165,15.521,2.077,0.272,90.194,0.082
6,2,6,245.309,2.511,198.954,0.579,198.031,0.306,84.171,0.029,15.584,0.122,6.37,0.146,1.923,0.228,19.059,0.144,95.885,0.075
7,2,6,244.756,4.215,193.564,1.298,193.479,0.402,82.783,0.057,18.274,2.187,6.728,0.419,180.531,196.033,21.091,1.829,95.908,1.724
8,2,6,237.618,3.545,184.786,1.118,188.007,1.069,79.901,0.026,20.03,0.665,5.858,0.194,356.515,0.521,22.822,0.11,93.736,0.067
9,2,6,252.386,1.393,192.156,1.364,194.808,1.019,83.412,0.295,21.977,0.231,6.936,0.149,357.612,0.494,23.885,0.139,98.932,0.573
10,2,6,250.41,0.209,198.22,0.127,199.923,0.116,84.534,0.048,18.971,0.247,6.072,0.044,358.282,0.212,20.807,0.126,98.171,0.094
11,2,6,254.048,0.14,192.298,0.175,195.623,0.374,83.436,0.02,22.531,0.176,6.836,0.143,357.031,0.292,24.281,0.087,99.596,0.063
12,3,6,228.098,2.34,240.259,0.255,233.537,0.449,93.979,0.032,-4.908,0.257,2.555,0.471,142.498,3.343,4.743,0.057,94.135,0.027
13,3,6,240.176,0.129,250.328,0.13,239.12,0.249,97.356,0.021,-5.134,0.114,4.134,0.114,113.305,0.424,4.45,0.083,98.159,0.015
14,3,6,240.38,0.163,250.728,0.088,238.681,0.478,97.539,0.019,-5.378,0.178,4.377,0.174,112.476,0.806,4.618,0.164,98.307,0.021
15,3,6,247.932,2.081,248.277,0.444,237.526,0.347,97.481,0.082,-1.492,0.489,5.251,0.193,59.696,2.463,4.671,0.061,97.81,0.08
16,3,6,228.928,0.386,236.961,0.391,226.857,0.331,93.017,0.049,-4.536,0.21,3.894,0.087,105.478,2.921,4.386,0.133,92.879,0.14
17,3,6,250.774,2.696,244.417,1.12,234.145,0.956,96.664,0.06,1.066,0.289,5.787,0.375,35.687,4.912,7.216,0.366,98.793,0.379
18,4,6,171.385,0.045,244.387,0.043,253.261,0.193,92.053,0.025,-19.991,0.04,-11.987,0.018,186.018,0.02,32.296,0.041,99.322,0.075
19,4,6,179.438,0.692,246.928,0.293,253.342,0.417,93.252,0.054,-19.769,0.283,-9.593,0.18,185.175,0.342,29.242,0.116,99.304,0.122
20,4,6,157.015,0.24,230.48,0.093,239.363,0.046,87.241,0.025,-20.319,0.229,-11.862,0.11,185.963,0.099,34.369,0.067,93.883,0.023
21,4,6,175.49,0.192,239.043,0.2,245.83,0.378,90.713,0.055,-18.397,0.157,-9.496,0.288,186.439,0.261,28.603,0.081,96.417,0.115
22,4,6,205.41,2.472,238.992,0.448,241.365,0.449,92.256,0.02,-10.35,0.433,-4.979,0.049,185.482,1.337,14.225,0.144,94.599,0.078
23,4,6,187.085,4.177,239.739,0.887,244.718,1.159,91.506,0.127,-16.054,0.902,-7.107,0.208,184.096,0.245,23.457,0.632,95.567,0.204
