group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,measurement_cv_percent,process_cv_percent,num_wells,num_measurements
1,RGB,R,219.304,8.599,2.073,9.015,4.348,0.95,4.11,6,36
1,RGB,G,222.023,6.532,0.682,7.01,10.272,0.31,3.16,6,36
1,RGB,B,219.808,8.031,2.088,8.277,3.963,0.96,3.77,6,36
1,LAB,L,88.284,2.168,0.1,2.335,23.26,0.11,2.64,6,36
1,LAB,A,-1.362,2.744,0.318,2.943,9.251,20.7,-216.01,6,36
1,LAB,B,0.89,2.263,0.526,2.265,4.305,26.55,254.62,6,36
1,HSV,H,129.387,104.96,57.632,63.92,1.109,54.52,49.4,6,36
1,HSV,S,4.414,2.324,0.771,2.106,2.73,19.88,47.71,6,36
1,HSV,V,88.136,2.419,0.354,2.551,7.213,0.4,2.89,6,36
2,RGB,R,247.421,6.104,2.002,6.086,3.04,0.82,2.46,6,36
2,RGB,G,193.33,4.817,0.777,5.12,6.589,0.41,2.65,6,36
2,RGB,B,194.979,3.867,0.547,4.125,7.534,0.28,2.12,6,36
2,LAB,L,83.04,1.538,0.079,1.657,20.928,0.1,2.0,6,36
2,LAB,A,19.561,2.525,0.605,2.558,4.228,3.2,13.07,6,36
2,LAB,B,6.467,0.452,0.182,0.438,2.402,2.8,6.78,6,36
2,HSV,H,268.649,156.248,32.963,148.585,4.508,20.15,55.31,6,36
2,HSV,S,21.991,1.993,0.406,2.016,4.968,1.91,9.17,6,36
2,HSV,V,97.038,2.179,0.432,2.233,5.166,0.45,2.3,6,36
3,RGB,R,239.381,8.837,1.299,9.393,7.23,0.54,3.92,6,36
3,RGB,G,245.162,5.248,0.405,5.643,13.937,0.17,2.3,6,36
3,RGB,B,234.978,4.292,0.468,4.606,9.835,0.2,1.96,6,36
3,LAB,L,96.006,1.844,0.044,1.991,45.547,0.05,2.07,6,36
3,LAB,A,-3.397,2.431,0.256,2.61,10.182,-3.51,-76.85,6,36
3,LAB,B,4.333,1.074,0.236,1.127,4.78,6.27,26.02,6,36
3,HSV,H,94.857,36.597,2.478,39.422,15.908,4.02,41.56,6,36
3,HSV,S,5.014,1.02,0.144,1.087,7.539,2.68,21.68,6,36
3,HSV,V,96.68,2.329,0.11,2.51,22.729,0.11,2.6,6,36
4,RGB,R,179.304,15.135,1.303,16.224,12.451,0.69,9.05,6,36
4,RGB,G,239.928,5.25,0.327,5.654,17.278,0.14,2.36,6,36
4,RGB,B,246.313,5.475,0.44,5.886,13.365,0.18,2.39,6,36
4,LAB,L,91.17,1.945,0.051,2.1,41.022,0.06,2.3,6,36
4,LAB,A,-17.48,3.568,0.341,3.829,11.242,-2.24,-21.91,6,36
4,LAB,B,-9.171,2.533,0.142,2.731,19.212,-1.65,-29.78,6,36
4,HSV,H,185.529,0.938,0.384,0.829,2.16,0.21,0.45,6,36
4,HSV,S,27.032,6.754,0.18,7.29,40.47,0.78,26.97,6,36
4,HSV,V,96.515,2.161,0.103,2.331,22.688,0.11,2.41,6,36
