well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,228.848,5.345,175.669,2.411,166.701,1.658,76.358,0.084,17.198,1.98,13.001,0.506,10.164,0.992,26.961,0.468,89.097,0.432
1,1,6,223.494,2.46,218.712,0.682,211.985,1.129,87.62,0.307,0.804,0.604,4.272,0.096,37.817,11.861,5.208,0.555,87.663,1.086
2,1,6,225.848,1.886,216.428,0.355,212.069,1.984,87.137,0.047,2.114,0.302,2.831,0.191,15.843,2.55,5.404,0.166,88.286,0.101
3,1,6,225.111,0.266,223.108,0.114,218.168,0.411,89.0,0.029,-0.163,0.198,2.942,0.236,50.162,4.056,3.386,0.123,88.493,0.052
4,1,6,208.157,1.279,202.882,0.29,202.637,0.562,82.117,0.03,1.696,0.178,1.212,0.112,180.136,194.44,3.613,0.101,81.884,0.05
5,1,6,210.733,3.446,205.584,0.614,197.538,0.32,82.806,0.048,0.086,0.494,4.615,0.096,44.264,1.442,5.767,0.052,82.218,0.072
6,2,6,252.149,0.077,125.7,0.191,95.257,0.346,66.836,0.047,45.92,0.08,38.579,0.305,11.704,0.209,62.127,0.224,98.952,0.077
7,2,6,247.157,0.95,118.328,0.736,79.637,0.357,64.603,0.046,46.374,0.082,44.149,0.264,13.795,0.226,67.512,0.169,96.752,0.095
8,2,6,246.013,3.974,83.164,2.569,44.433,2.441,58.153,0.098,61.049,0.848,55.371,0.363,11.514,0.055,82.394,0.265,97.145,0.041
9,2,6,254.614,0.058,108.779,0.313,73.303,0.44,63.864,0.028,53.49,0.058,46.927,0.222,11.764,0.202,71.386,0.194,99.858,0.013
10,2,6,254.186,0.127,82.172,0.179,38.943,0.458,59.315,0.036,63.314,0.132,58.786,0.208,12.007,0.038,84.726,0.21,99.699,0.055
11,2,6,254.303,0.077,67.301,0.192,23.574,0.178,57.377,0.059,68.414,0.132,63.294,0.218,11.356,0.252,91.007,0.217,99.768,0.054
12,3,6,210.324,0.375,208.499,0.126,145.227,1.249,82.579,0.027,-9.358,0.206,31.629,0.151,58.592,0.434,30.732,0.187,82.488,0.079
13,3,6,225.457,0.084,228.069,0.118,174.953,0.518,89.34,0.032,-9.569,0.138,25.645,0.405,63.116,0.222,23.144,0.294,89.431,0.053
14,3,6,232.284,1.439,225.456,0.371,166.895,0.441,88.998,0.027,-6.097,0.266,29.276,0.196,52.654,0.494,28.3,0.325,91.379,0.159
15,3,6,229.972,0.667,216.974,0.234,152.573,0.438,86.455,0.053,-5.192,0.208,33.49,0.235,50.955,0.641,33.615,0.161,90.009,0.259
16,3,6,211.756,0.096,212.832,0.115,152.428,0.26,83.872,0.083,-10.112,0.106,30.352,0.296,61.842,0.129,28.564,0.162,83.514,0.056
17,3,6,241.245,1.784,213.113,0.245,154.553,0.562,86.465,0.014,1.957,0.054,32.163,0.177,40.234,0.339,35.977,0.163,94.798,0.264
18,4,6,112.264,3.346,203.529,0.14,208.011,2.087,76.762,0.075,-26.139,0.045,-10.008,0.017,182.027,0.052,45.17,0.104,81.238,0.062
19,4,6,152.485,0.143,208.494,0.131,209.555,0.104,80.145,0.026,-17.979,0.022,-6.021,0.022,181.998,0.005,27.234,0.056,82.132,0.022
20,4,6,91.14,0.697,183.788,0.227,192.385,0.511,69.656,0.04,-24.932,0.18,-13.287,0.096,185.295,0.232,52.858,0.37,75.554,0.086
21,4,6,137.012,2.788,193.945,0.393,191.27,1.108,74.704,0.037,-18.78,0.168,-4.011,0.015,176.013,0.057,28.86,0.113,76.063,0.043
22,4,6,147.559,3.583,192.939,1.119,192.476,0.329,75.045,0.042,-14.187,0.228,-4.576,0.286,180.222,0.982,22.818,0.268,75.746,0.08
23,4,6,130.307,3.537,194.369,0.312,197.64,1.442,74.607,0.046,-20.193,0.184,-8.664,0.139,183.553,0.167,35.125,0.163,77.76,0.089
