well_index,group_id,replicate_id,measurement_id,timestamp,RGB_R,RGB_G,RGB_B,LAB_L,LAB_A,LAB_B,HSV_H,HSV_S,HSV_V
0,1,1,well_00_rep_01,2026-02-10T16:50:35.417405,239.746,170.784,170.024,76.501,21.22,13.739,9.096,27.556,89.977
0,1,2,well_00_rep_02,2026-02-10T16:50:45.016371,226.672,177.176,165.715,76.33,16.291,13.261,9.51,26.403,88.925
0,1,3,well_00_rep_03,2026-02-10T16:50:54.616343,227.148,176.329,166.132,76.379,16.066,13.305,10.817,26.925,88.926
0,1,4,well_00_rep_04,2026-02-10T16:51:04.216893,226.416,176.735,166.593,76.367,16.589,12.563,11.807,27.495,88.907
0,1,5,well_00_rep_05,2026-02-10T16:51:13.817365,226.469,176.52,165.799,76.249,16.497,12.637,9.708,26.689,88.963
0,1,6,well_00_rep_06,2026-02-10T16:51:23.416072,226.639,176.472,165.943,76.322,16.525,12.499,10.048,26.699,88.884
1,1,1,well_01_rep_01,2026-02-10T16:51:33.705164,225.304,219.07,212.463,87.759,1.301,4.337,30.233,5.451,88.351
1,1,2,well_01_rep_02,2026-02-10T16:51:43.305149,224.717,219.445,213.067,87.491,0.245,4.256,56.764,4.41,86.06
1,1,3,well_01_rep_03,2026-02-10T16:51:52.905651,220.195,217.771,210.557,87.051,-0.152,4.156,48.725,4.686,86.492
1,1,4,well_01_rep_04,2026-02-10T16:52:02.505405,220.469,217.959,210.56,87.754,1.126,4.421,31.01,5.318,88.253
1,1,5,well_01_rep_05,2026-02-10T16:52:11.864620,225.24,219.131,212.811,87.861,1.117,4.192,29.079,5.908,88.504
1,1,6,well_01_rep_06,2026-02-10T16:52:21.464218,225.042,218.899,212.452,87.805,1.19,4.269,31.093,5.476,88.32
2,1,1,well_02_rep_01,2026-02-10T16:52:31.768952,229.68,215.739,208.056,87.186,1.703,3.153,17.022,5.471,88.3
2,1,2,well_02_rep_02,2026-02-10T16:52:41.352995,225.02,216.614,212.957,87.062,2.579,2.671,13.722,5.59,88.461
2,1,3,well_02_rep_03,2026-02-10T16:52:50.952451,225.285,216.522,212.793,87.172,1.949,2.849,14.308,5.405,88.235
2,1,4,well_02_rep_04,2026-02-10T16:53:00.552781,224.849,216.757,212.424,87.155,1.992,2.931,12.82,5.197,88.267
2,1,5,well_02_rep_05,2026-02-10T16:53:10.154380,225.294,216.448,212.952,87.149,2.254,2.653,18.691,5.547,88.298
2,1,6,well_02_rep_06,2026-02-10T16:53:19.753367,224.958,216.486,213.232,87.101,2.207,2.73,18.494,5.216,88.154
3,1,1,well_03_rep_01,2026-02-10T16:53:30.057215,225.095,223.052,218.262,88.965,0.046,2.766,48.376,3.311,88.48
3,1,2,well_03_rep_02,2026-02-10T16:53:39.639318,225.392,222.956,218.368,89.018,-0.284,3.32,48.671,3.281,88.459
3,1,3,well_03_rep_03,2026-02-10T16:53:49.240344,224.697,223.292,217.928,89.015,-0.373,2.991,46.995,3.314,88.45
3,1,4,well_03_rep_04,2026-02-10T16:53:58.841179,225.267,223.089,218.642,88.961,0.095,2.628,46.934,3.337,88.497
3,1,5,well_03_rep_05,2026-02-10T16:54:08.200219,224.91,223.17,217.472,89.031,-0.136,2.936,57.191,3.481,88.477
3,1,6,well_03_rep_06,2026-02-10T16:54:17.800393,225.305,223.09,218.335,89.007,-0.328,3.008,52.805,3.591,88.593
4,1,1,well_04_rep_01,2026-02-10T16:54:29.273284,205.568,203.331,203.378,82.089,1.655,1.101,357.548,3.528,81.872
4,1,2,well_04_rep_02,2026-02-10T16:54:38.872766,208.565,202.932,202.176,82.074,1.627,1.266,2.338,3.749,81.883
4,1,3,well_04_rep_03,2026-02-10T16:54:48.472141,208.885,202.932,202.496,82.134,1.678,1.259,356.343,3.61,81.98
4,1,4,well_04_rep_04,2026-02-10T16:54:58.058619,208.711,202.503,203.045,82.133,1.976,1.123,358.999,3.656,81.841
4,1,5,well_04_rep_05,2026-02-10T16:55:07.657317,208.8,202.963,201.873,82.119,1.444,1.388,1.047,3.469,81.852
4,1,6,well_04_rep_06,2026-02-10T16:55:17.257286,208.41,202.63,202.856,82.153,1.799,1.134,4.539,3.667,81.878
5,1,1,well_05_rep_01,2026-02-10T16:55:27.561595,217.758,204.345,197.212,82.794,1.027,4.694,45.365,5.831,82.256
5,1,2,well_05_rep_02,2026-02-10T16:55:37.161361,209.324,205.937,197.777,82.824,0.006,4.546,43.448,5.823,82.143
5,1,3,well_05_rep_03,2026-02-10T16:55:46.761284,209.494,205.886,197.742,82.774,-0.172,4.658,46.176,5.769,82.125
5,1,4,well_05_rep_04,2026-02-10T16:55:56.345423,209.31,205.879,197.834,82.895,0.111,4.461,43.102,5.748,82.311
5,1,5,well_05_rep_05,2026-02-10T16:56:05.945662,209.036,205.783,197.072,82.769,-0.404,4.712,44.968,5.736,82.213
5,1,6,well_05_rep_06,2026-02-10T16:56:15.545679,209.474,205.676,197.59,82.78,-0.051,4.62,42.527,5.697,82.257
