group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,measurement_cv_percent,process_cv_percent,num_wells,num_measurements
1,RGB,R,220.365,8.478,2.447,8.674,3.545,1.11,3.94,6,36
1,RGB,G,207.064,15.992,0.744,17.24,23.158,0.39,8.33,6,36
1,RGB,B,201.516,17.244,1.01,18.587,18.394,0.51,9.22,6,36
1,LAB,L,84.173,4.367,0.091,4.715,51.976,0.11,5.6,6,36
1,LAB,A,3.623,6.265,0.626,6.709,10.717,93.78,185.2,6,36
1,LAB,B,4.812,3.886,0.206,4.19,20.32,5.37,87.07,6,36
1,HSV,H,56.398,93.75,35.89,62.649,1.746,29.42,111.08,6,36
1,HSV,S,8.39,8.477,0.244,9.151,37.476,3.8,109.07,6,36
1,HSV,V,86.273,3.091,0.299,3.304,11.057,0.34,3.83,6,36
2,RGB,R,251.404,3.885,0.877,3.85,4.389,0.36,1.53,6,36
2,RGB,G,97.574,21.573,0.697,23.275,33.415,0.78,23.85,6,36
2,RGB,B,59.191,25.59,0.703,27.62,39.265,1.47,46.66,6,36
2,LAB,L,61.691,3.62,0.052,3.91,74.481,0.09,6.34,6,36
2,LAB,A,56.427,8.618,0.222,9.301,41.917,0.37,16.48,6,36
2,LAB,B,51.184,8.772,0.263,9.471,35.954,0.54,18.5,6,36
2,HSV,H,12.023,0.847,0.163,0.896,5.481,1.36,7.45,6,36
2,HSV,S,76.525,10.364,0.213,11.192,52.519,0.28,14.63,6,36
2,HSV,V,98.696,1.294,0.056,1.397,25.018,0.06,1.42,6,36
3,RGB,R,225.173,11.243,0.741,12.104,16.336,0.32,5.38,6,36
3,RGB,G,217.49,7.142,0.202,7.711,38.219,0.09,3.55,6,36
3,RGB,B,157.772,10.175,0.578,10.97,18.981,0.37,6.95,6,36
3,LAB,L,86.285,2.495,0.04,2.695,68.17,0.05,3.12,6,36
3,LAB,A,-6.395,4.225,0.163,4.56,27.961,-1.72,-71.3,6,36
3,LAB,B,30.426,2.565,0.243,2.758,11.336,0.83,9.07,6,36
3,HSV,H,54.566,7.913,0.377,8.537,22.668,0.72,15.64,6,36
3,HSV,S,30.055,4.172,0.215,4.5,20.903,0.75,14.97,6,36
3,HSV,V,88.603,4.386,0.145,4.734,32.681,0.16,5.34,6,36
4,RGB,R,128.461,21.558,2.349,23.124,9.844,1.84,18.0,6,36
4,RGB,G,196.177,8.064,0.387,8.694,22.463,0.2,4.43,6,36
4,RGB,B,198.556,7.702,0.93,8.238,8.854,0.47,4.15,6,36
4,LAB,L,75.153,3.16,0.044,3.413,77.036,0.06,4.54,6,36
4,LAB,A,-20.368,4.155,0.138,4.485,32.502,-0.74,-22.02,6,36
4,LAB,B,-7.761,3.305,0.096,3.567,37.202,-1.58,-45.96,6,36
4,HSV,H,181.518,2.979,0.249,3.19,12.794,0.14,1.76,6,36
4,HSV,S,35.344,10.703,0.179,11.559,64.64,0.53,32.7,6,36
4,HSV,V,78.082,2.697,0.063,2.912,45.895,0.08,3.73,6,36
