well_index,group_id,replicate_id,measurement_id,timestamp,RGB_R,RGB_G,RGB_B,LAB_L,LAB_A,LAB_B,HSV_H,HSV_S,HSV_V
0,1,1,well_00_rep_01,2026-02-10T16:50:35.417405,239.746,170.784,170.024,76.501,21.22,13.739,9.096,27.556,89.977
0,1,2,well_00_rep_02,2026-02-10T16:50:45.016371,226.672,177.176,165.715,76.33,16.291,13.261,9.51,26.403,88.925
0,1,3,well_00_rep_03,2026-02-10T16:50:54.616343,227.148,176.329,166.132,76.379,16.066,13.305,10.817,26.925,88.926
0,1,4,well_00_rep_04,2026-02-10T16:51:04.216893,226.416,176.735,166.593,76.367,16.589,12.563,11.807,27.495,88.907
0,1,5,well_00_rep_05,2026-02-10T16:51:13.817365,226.469,176.52,165.799,76.249,16.497,12.637,9.708,26.689,88.963
0,1,6,well_00_rep_06,2026-02-10T16:51:23.416072,226.639,176.472,165.943,76.322,16.525,12.499,10.048,26.699,88.884
1,1,1,well_01_rep_01,2026-02-10T16:51:33.705164,225.304,219.07,212.463,87.759,1.301,4.337,30.233,5.451,88.351
1,1,2,well_01_rep_02,2026-02-10T16:51:43.305149,224.717,219.445,213.067,87.491,0.245,4.256,56.764,4.41,86.06
1,1,3,well_01_rep_03,2026-02-10T16:51:52.905651,220.195,217.771,210.557,87.051,-0.152,4.156,48.725,4.686,86.492
1,1,4,well_01_rep_04,2026-02-10T16:52:02.505405,220.469,217.959,210.56,87.754,1.126,4.421,31.01,5.318,88.253
1,1,5,well_01_rep_05,2026-02-10T16:52:11.864620,225.24,219.131,212.811,87.861,1.117,4.192,29.079,5.908,88.504
1,1,6,well_01_rep_06,2026-02-10T16:52:21.464218,225.042,218.899,212.452,87.805,1.19,4.269,31.093,5.476,88.32
2,1,1,well_02_rep_01,2026-02-10T16:52:31.768952,229.68,215.739,208.056,87.186,1.703,3.153,17.022,5.471,88.3
2,1,2,well_02_rep_02,2026-02-10T16:52:41.352995,225.02,216.614,212.957,87.062,2.579,2.671,13.722,5.59,88.461
2,1,3,well_02_rep_03,2026-02-10T16:52:50.952451,225.285,216.522,212.793,87.172,1.949,2.849,14.308,5.405,88.235
2,1,4,well_02_rep_04,2026-02-10T16:53:00.552781,224.849,216.757,212.424,87.155,1.992,2.931,12.82,5.197,88.267
2,1,5,well_02_rep_05,2026-02-10T16:53:10.154380,225.294,216.448,212.952,87.149,2.254,2.653,18.691,5.547,88.298
2,1,6,well_02_rep_06,2026-02-10T16:53:19.753367,224.958,216.486,213.232,87.101,2.207,2.73,18.494,5.216,88.154
3,1,1,well_03_rep_01,2026-02-10T16:53:30.057215,225.095,223.052,218.262,88.965,0.046,2.766,48.376,3.311,88.48
3,1,2,well_03_rep_02,2026-02-10T16:53:39.639318,225.392,222.956,218.368,89.018,-0.284,3.32,48.671,3.281,88.459
3,1,3,well_03_rep_03,2026-02-10T16:53:49.240344,224.697,223.292,217.928,89.015,-0.373,2.991,46.995,3.314,88.45
3,1,4,well_03_rep_04,2026-02-10T16:53:58.841179,225.267,223.089,218.642,88.961,0.095,2.628,46.934,3.337,88.497
3,1,5,well_03_rep_05,2026-02-10T16:54:08.200219,224.91,223.17,217.472,89.031,-0.136,2.936,57.191,3.481,88.477
3,1,6,well_03_rep_06,2026-02-10T16:54:17.800393,225.305,223.09,218.335,89.007,-0.328,3.008,52.805,3.591,88.593
4,1,1,well_04_rep_01,2026-02-10T16:54:29.273284,205.568,203.331,203.378,82.089,1.655,1.101,357.548,3.528,81.872
4,1,2,well_04_rep_02,2026-02-10T16:54:38.872766,208.565,202.932,202.176,82.074,1.627,1.266,2.338,3.749,81.883
4,1,3,well_04_rep_03,2026-02-10T16:54:48.472141,208.885,202.932,202.496,82.134,1.678,1.259,356.343,3.61,81.98
4,1,4,well_04_rep_04,2026-02-10T16:54:58.058619,208.711,202.503,203.045,82.133,1.976,1.123,358.999,3.656,81.841
4,1,5,well_04_rep_05,2026-02-10T16:55:07.657317,208.8,202.963,201.873,82.119,1.444,1.388,1.047,3.469,81.852
4,1,6,well_04_rep_06,2026-02-10T16:55:17.257286,208.41,202.63,202.856,82.153,1.799,1.134,4.539,3.667,81.878
5,1,1,well_05_rep_01,2026-02-10T16:55:27.561595,217.758,204.345,197.212,82.794,1.027,4.694,45.365,5.831,82.256
5,1,2,well_05_rep_02,2026-02-10T16:55:37.161361,209.324,205.937,197.777,82.824,0.006,4.546,43.448,5.823,82.143
5,1,3,well_05_rep_03,2026-02-10T16:55:46.761284,209.494,205.886,197.742,82.774,-0.172,4.658,46.176,5.769,82.125
5,1,4,well_05_rep_04,2026-02-10T16:55:56.345423,209.31,205.879,197.834,82.895,0.111,4.461,43.102,5.748,82.311
5,1,5,well_05_rep_05,2026-02-10T16:56:05.945662,209.036,205.783,197.072,82.769,-0.404,4.712,44.968,5.736,82.213
5,1,6,well_05_rep_06,2026-02-10T16:56:15.545679,209.474,205.676,197.59,82.78,-0.051,4.62,42.527,5.697,82.257
6,2,1,well_06_rep_01,2026-02-10T16:56:25.849519,252.153,125.469,95.825,66.805,45.984,38.828,11.831,62.329,99.021
6,2,2,well_06_rep_02,2026-02-10T16:56:35.209794,252.21,125.827,95.258,66.857,45.948,38.815,11.662,61.932,98.914
6,2,3,well_06_rep_03,2026-02-10T16:56:44.808980,252.073,126.003,95.31,66.832,45.95,38.844,11.324,61.868,98.925
6,2,4,well_06_rep_04,2026-02-10T16:56:54.409302,252.266,125.665,94.77,66.765,45.994,38.253,11.926,62.448,98.949
6,2,5,well_06_rep_05,2026-02-10T16:57:04.010413,252.114,125.566,95.309,66.901,45.849,38.164,11.695,62.1,99.057
6,2,6,well_06_rep_06,2026-02-10T16:57:13.592631,252.077,125.667,95.071,66.857,45.796,38.568,11.784,62.086,98.844
7,2,1,well_07_rep_01,2026-02-10T16:57:23.896870,249.091,116.964,79.321,64.577,46.37,44.137,13.504,67.31,96.772
7,2,2,well_07_rep_02,2026-02-10T16:57:33.496917,246.689,118.062,80.007,64.634,46.277,44.139,13.652,67.468,96.561
7,2,3,well_07_rep_03,2026-02-10T16:57:43.096851,246.682,118.594,79.481,64.646,46.419,43.693,13.916,67.599,96.812
7,2,4,well_07_rep_04,2026-02-10T16:57:52.698112,246.85,118.88,79.328,64.53,46.5,44.15,13.926,67.537,96.786
7,2,5,well_07_rep_05,2026-02-10T16:58:02.283021,246.816,118.919,79.529,64.588,46.384,44.275,13.661,67.376,96.777
7,2,6,well_07_rep_06,2026-02-10T16:58:11.882141,246.816,118.55,80.156,64.643,46.293,44.502,14.113,67.783,96.804
8,2,1,well_08_rep_01,2026-02-10T16:58:23.353540,237.904,88.404,49.363,57.982,59.338,54.887,11.549,82.291,97.094
8,2,2,well_08_rep_02,2026-02-10T16:58:32.952934,247.698,82.2,43.772,58.229,61.231,55.822,11.481,82.292,97.16
8,2,3,well_08_rep_03,2026-02-10T16:58:42.553450,247.816,82.241,43.264,58.24,61.254,55.683,11.587,82.849,97.133
8,2,4,well_08_rep_04,2026-02-10T16:58:52.154200,247.561,82.062,42.952,58.125,61.539,55.526,11.514,82.515,97.11
8,2,5,well_08_rep_05,2026-02-10T16:59:01.753929,247.616,81.995,43.924,58.218,61.433,55.096,11.525,82.347,97.169
8,2,6,well_08_rep_06,2026-02-10T16:59:11.339262,247.483,82.081,43.32,58.124,61.5,55.214,11.428,82.069,97.206
9,2,1,well_09_rep_01,2026-02-10T16:59:21.643761,254.692,108.393,73.605,63.838,53.588,46.668,11.831,71.455,99.846
9,2,2,well_09_rep_02,2026-02-10T16:59:31.241600,254.664,108.637,73.351,63.885,53.459,46.932,12.054,71.692,99.871
9,2,3,well_09_rep_03,2026-02-10T16:59:40.841780,254.603,109.034,73.185,63.901,53.501,46.739,11.787,71.278,99.853
9,2,4,well_09_rep_04,2026-02-10T16:59:50.441472,254.62,108.987,73.818,63.831,53.499,47.044,11.428,71.154,99.872
9,2,5,well_09_rep_05,2026-02-10T17:00:00.026115,254.536,109.135,72.531,63.879,53.411,47.286,11.757,71.26,99.863
9,2,6,well_09_rep_06,2026-02-10T17:00:09.626811,254.572,108.486,73.33,63.85,53.481,46.893,11.729,71.476,99.843
10,2,1,well_10_rep_01,2026-02-10T17:00:19.928994,254.309,81.957,38.229,59.264,63.301,58.502,11.974,84.376,99.62
10,2,2,well_10_rep_02,2026-02-10T17:00:29.528806,254.051,82.336,39.461,59.34,63.378,58.784,12.046,84.694,99.697
10,2,3,well_10_rep_03,2026-02-10T17:00:39.128642,254.106,82.242,39.221,59.301,63.515,59.027,11.958,84.743,99.702
10,2,4,well_10_rep_04,2026-02-10T17:00:48.729206,254.193,82.117,39.12,59.303,63.348,58.595,12.009,85.035,99.681
10,2,5,well_10_rep_05,2026-02-10T17:00:58.313202,254.093,82.388,39.064,59.369,63.159,58.986,12.001,84.741,99.703
10,2,6,well_10_rep_06,2026-02-10T17:01:07.914212,254.367,81.991,38.562,59.315,63.185,58.822,12.052,84.764,99.792
11,2,1,well_11_rep_01,2026-02-10T17:01:18.216852,254.419,67.1,23.746,57.291,68.649,63.16,11.546,91.205,99.707
11,2,2,well_11_rep_02,2026-02-10T17:01:27.816873,254.243,67.45,23.38,57.451,68.316,63.608,11.051,90.796,99.79
11,2,3,well_11_rep_03,2026-02-10T17:01:37.417168,254.216,67.552,23.331,57.399,68.331,63.257,11.069,90.696,99.795
11,2,4,well_11_rep_04,2026-02-10T17:01:47.016724,254.365,67.408,23.587,57.389,68.426,63.333,11.344,91.029,99.787
11,2,5,well_11_rep_05,2026-02-10T17:01:56.600654,254.303,67.146,23.68,57.41,68.302,63.428,11.464,91.093,99.833
11,2,6,well_11_rep_06,2026-02-10T17:02:06.201811,254.273,67.147,23.718,57.324,68.461,62.978,11.661,91.222,99.696
12,3,1,well_12_rep_01,2026-02-10T17:02:17.674544,209.67,208.651,142.833,82.593,-9.476,31.683,58.213,30.906,82.584
12,3,2,well_12_rep_02,2026-02-10T17:02:27.273981,210.186,208.616,145.129,82.556,-9.395,31.62,59.111,30.721,82.411
12,3,3,well_12_rep_03,2026-02-10T17:02:36.873232,210.591,208.396,145.993,82.624,-9.533,31.829,57.974,30.517,82.548
12,3,4,well_12_rep_04,2026-02-10T17:02:46.474074,210.746,208.359,145.289,82.586,-9.515,31.712,58.74,31.002,82.53
12,3,5,well_12_rep_05,2026-02-10T17:02:56.057081,210.342,208.407,146.265,82.556,-9.009,31.541,58.571,30.608,82.467
12,3,6,well_12_rep_06,2026-02-10T17:03:05.656764,210.407,208.563,145.852,82.56,-9.217,31.391,58.945,30.637,82.386
