group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,measurement_cv_percent,process_cv_percent,num_wells,num_measurements
1,RGB,R,203.063,9.987,1.267,10.615,8.375,0.62,5.23,6,36
1,RGB,G,144.656,27.319,0.656,29.493,44.926,0.44,20.39,6,36
1,RGB,B,50.953,47.107,1.667,50.792,30.471,3.64,99.68,6,36
1,LAB,L,64.49,8.186,0.058,8.842,152.708,0.09,13.71,6,36
1,LAB,A,14.414,8.434,0.418,9.084,21.741,8.62,63.02,6,36
1,LAB,B,53.603,11.533,0.531,12.413,23.355,1.44,23.16,6,36
1,HSV,H,37.604,2.514,0.186,2.7,14.498,0.48,7.18,6,36
1,HSV,S,75.834,21.498,0.398,23.214,58.313,0.72,30.61,6,36
1,HSV,V,79.485,3.809,0.1,4.113,41.032,0.13,5.17,6,36
2,RGB,R,247.051,4.794,1.345,4.832,3.591,0.55,1.96,6,36
2,RGB,G,63.542,8.679,1.148,9.234,8.044,1.88,14.53,6,36
2,RGB,B,14.651,5.741,0.358,6.188,17.265,4.21,42.24,6,36
2,LAB,L,55.64,1.296,0.088,1.394,15.808,0.16,2.51,6,36
2,LAB,A,66.998,3.078,0.471,3.178,6.742,0.71,4.74,6,36
2,LAB,B,63.997,0.735,0.183,0.751,4.107,0.29,1.17,6,36
2,HSV,H,12.652,1.317,0.266,1.362,5.124,2.05,10.77,6,36
2,HSV,S,94.122,2.364,0.181,2.545,14.025,0.19,2.7,6,36
2,HSV,V,96.834,1.73,0.249,1.801,7.223,0.26,1.86,6,36
3,RGB,R,230.971,10.862,1.152,11.641,10.101,0.5,5.04,6,36
3,RGB,G,196.886,9.374,0.488,10.111,20.729,0.25,5.14,6,36
3,RGB,B,36.891,10.444,1.199,11.177,9.319,3.75,30.3,6,36
3,LAB,L,80.278,2.915,0.06,3.148,52.688,0.07,3.92,6,36
3,LAB,A,-2.131,5.306,0.275,5.723,20.816,-5.77,-268.49,6,36
3,LAB,B,75.644,1.439,0.095,1.551,16.384,0.12,2.05,6,36
3,HSV,H,49.377,3.05,0.16,3.288,20.526,0.31,6.66,6,36
3,HSV,S,84.151,4.208,0.21,4.54,21.571,0.25,5.39,6,36
3,HSV,V,90.793,4.242,0.116,4.58,39.636,0.13,5.04,6,36
4,RGB,R,103.55,11.818,2.726,12.368,4.538,2.53,11.94,6,36
4,RGB,G,183.042,11.318,0.685,12.2,17.816,0.38,6.67,6,36
4,RGB,B,158.257,17.515,1.288,18.867,14.643,0.82,11.92,6,36
4,LAB,L,68.995,4.112,0.077,4.441,57.744,0.11,6.44,6,36
4,LAB,A,-30.274,3.265,0.592,3.43,5.79,-2.08,-11.33,6,36
4,LAB,B,5.388,3.603,0.42,3.859,9.192,-27.35,71.63,6,36
4,HSV,H,160.757,5.72,0.643,6.123,9.518,0.4,3.81,6,36
4,HSV,S,43.333,5.417,0.633,5.742,9.067,1.61,13.25,6,36
4,HSV,V,71.742,4.396,0.146,4.744,32.401,0.2,6.61,6,36
