channel,channel_type,coef_v_R,coef_v_Y,coef_v_B
RGB_R,raw,0.38419843007156235,0.26805569964347153,-0.652254129715034
RGB_G,raw,-0.6344792343644116,0.36934853998117395,0.2651306943832377
RGB_B,raw,-0.3710057581687421,-0.22175158377594673,0.5927573419446889
LAB_L,raw,-0.5127993185515428,0.484841862152244,0.027957456399298964
LAB_A,raw,0.6322247842973595,-0.1557254217760803,-0.47649936252127933
LAB_B,raw,0.23337211831327823,0.40701101256128325,-0.6403831308745617
HSV_H,raw,-0.4420143313446136,-0.1785306832345103,0.620545014579124
HSV_S,raw,0.37444664974588093,0.19010490045524903,-0.56455155020113
HSV_V,raw,0.4074563204908565,0.17024587525468965,-0.5777021957455462
R',normalized,0.5432991639021977,0.034337686181431126,-0.5776368500836289
G',normalized,-0.6431738079978028,0.21046595214342062,0.43270785585438215
B',normalized,-0.3293948456223292,-0.30480620531245695,0.6342010509347862
L',normalized,-0.5128023358811631,0.4848376935794638,0.027964642301699403
C',normalized,0.4438335090194496,0.16148839818653143,-0.6053219072059811
h',normalized,-0.5078299070543032,-0.08892721954665223,0.5967571266009556
H',normalized,-0.4420142009140066,-0.1785308272477788,0.6205450281617855
S',normalized,0.3744445179336185,0.1901069995754247,-0.5645515175090433
V',normalized,0.4074502656878367,0.1702505561779773,-0.5777008218658141
