channel,channel_type,R2_v_R,R2_v_Y,R2_v_B,R2_aggregate
RGB_R,raw,0.33211897575626936,0.1616711807505401,0.957229761893212,0.9673466122666811
RGB_G,raw,0.9057687723892116,0.3069412739690057,0.15816214148430985,0.9139147918950181
RGB_B,raw,0.30970186333731686,0.11064097104106685,0.7905628494659985,0.8072704558962547
LAB_L,raw,0.5916670674905847,0.5289111704143248,0.001758643578717023,0.7482245876557512
LAB_A,raw,0.899343400229646,0.05456341572151069,0.5108661955871673,0.9765153410255494
LAB_B,raw,0.12254072761355994,0.3727304197788628,0.9227037471945884,0.9453165963913408
HSV_H,raw,0.43959750550655785,0.07171471092640769,0.8664212590177615,0.9184889836338179
HSV_S,raw,0.3154731603883074,0.08131471464847562,0.717116518877623,0.7426029292762706
HSV_V,raw,0.3735464694928815,0.06521323059277939,0.7509146106807563,0.7931162071776117
R',normalized,0.66414145836786,0.0026529225576624738,0.7507447437927074,0.9450260831454868
G',normalized,0.9307632314123867,0.09966581327618218,0.4212811991657174,0.9678068292361909
B',normalized,0.24412716972575543,0.20904035129320464,0.9049746892652715,0.9054281401894877
L',normalized,0.5916740302916483,0.5289020755097713,0.0017595477428895556,0.7482237690295395
C',normalized,0.4432234133891648,0.058676631184916395,0.824432875522844,0.8842219467312835
h',normalized,0.5802552326222599,0.017793113346671663,0.8012679033353151,0.9328774995361645
H',normalized,0.4395972460717067,0.07171482662499662,0.8664212969466993,0.9184889130956019
S',normalized,0.31546956827371464,0.0813165103970338,0.7171164358239677,0.7426016763298107
V',normalized,0.37353536777044916,0.06521681672754887,0.7509110390649827,0.793108815708654
