group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,num_wells,num_measurements
1,RGB,R,178.94,8.525,1.612,8.92,5.533,6,36
1,RGB,G,129.127,11.536,0.769,12.414,16.139,6,36
1,RGB,B,24.793,23.536,1.653,25.253,15.274,6,36
1,LAB,L,57.623,3.031,0.06,3.273,54.561,6,36
1,LAB,A,10.647,7.521,0.527,8.081,15.331,6,36
1,LAB,B,56.855,6.086,0.44,6.505,14.788,6,36
1,HSV,H,41.349,4.098,0.167,4.423,26.535,6,36
1,HSV,S,86.005,13.33,0.352,14.388,40.859,6,36
1,HSV,V,70.008,3.294,0.123,3.556,28.979,6,36
2,RGB,R,248.553,6.63,1.3,6.776,5.213,6,36
2,RGB,G,53.447,6.164,1.169,6.391,5.465,6,36
2,RGB,B,8.32,5.794,1.035,6.132,5.924,6,36
2,LAB,L,54.844,1.173,0.077,1.259,16.456,6,36
2,LAB,A,70.397,2.892,0.272,3.086,11.357,6,36
2,LAB,B,65.162,1.552,0.172,1.662,9.646,6,36
2,HSV,H,11.428,1.556,0.134,1.674,12.477,6,36
2,HSV,S,96.806,2.256,0.222,2.426,10.917,6,36
2,HSV,V,97.546,2.353,0.05,2.541,51.328,6,36
3,RGB,R,191.71,14.602,1.642,15.609,9.506,6,36
3,RGB,G,206.18,21.19,0.61,22.877,37.477,6,36
3,RGB,B,46.783,56.155,1.673,60.625,36.238,6,36
3,LAB,L,79.637,6.493,0.057,7.013,123.136,6,36
3,LAB,A,-21.818,9.22,0.366,9.949,27.211,6,36
3,LAB,B,67.324,15.118,0.144,16.328,113.323,6,36
3,HSV,H,67.137,11.124,0.367,12.005,32.701,6,36
3,HSV,S,79.57,22.979,0.232,24.818,106.908,6,36
3,HSV,V,81.835,7.772,0.118,8.393,70.956,6,36
4,RGB,R,121.872,76.759,1.492,82.892,55.563,6,36
4,RGB,G,237.542,6.414,0.298,6.918,23.25,6,36
4,RGB,B,245.267,6.342,0.637,6.812,10.693,6,36
4,LAB,L,88.829,3.689,0.041,3.984,97.048,6,36
4,LAB,A,-26.576,17.118,0.201,18.489,91.769,6,36
4,LAB,B,-12.198,7.248,0.182,7.826,42.985,6,36
4,HSV,H,186.202,4.201,0.544,4.47,8.212,6,36
4,HSV,S,49.832,32.283,0.211,34.869,165.416,6,36
4,HSV,V,96.137,2.471,0.115,2.666,23.235,6,36
