channel,channel_type,coef_v_R,coef_v_Y,coef_v_B
RGB_R,raw,0.6035890643840942,-0.13779220775527035,-0.4657968566288238
RGB_G,raw,-0.39441073225608525,0.3110181756517998,0.08339255660428538
RGB_B,raw,-0.17306968030530331,0.19824345198607454,-0.02517377168077124
LAB_L,raw,0.29853923196662857,0.016570509890248802,-0.3151097418568774
LAB_A,raw,0.5927503033267476,-0.2556688754619498,-0.33708142786479794
LAB_B,raw,0.34304785315664194,-0.012161968220462754,-0.3308858849361792
HSV_H,raw,0.14996538714574542,-0.19662997426528744,0.046664587119542
HSV_S,raw,0.29112014255426655,-0.18275837153739674,-0.10836177101686988
HSV_V,raw,0.5731092820725849,-0.20348425265269043,-0.36962502941989456
R',normalized,0.5021959733241093,-0.04503649390010506,-0.45715947942400426
G',normalized,-0.49758643416478865,0.04867376222073311,0.4489126719440557
B',normalized,-0.28098167401785556,-0.029795678109721918,0.3107773521275775
L',normalized,0.2985515368903399,0.016566992561358046,-0.315118529451698
C',normalized,0.49986142495106306,-0.20082831623880454,-0.29903310871225863
h',normalized,-0.4877121047114715,0.09165457667812893,0.39605752803334265
H',normalized,0.14996546216204154,-0.19662975724479576,0.04666429508275428
S',normalized,0.2911524280834729,-0.18280360025613285,-0.10834882782734015
V',normalized,0.5731096228974909,-0.20348024377447171,-0.36962937912301935
