channel,channel_type,R2_v_R,R2_v_Y,R2_v_B,R2_aggregate
RGB_R,raw,0.8197194569491479,0.042720058165660935,0.488175101201909,0.9004097442111454
RGB_G,raw,0.3500096078672579,0.21764768756799124,0.01564721661824764,0.38886967470233114
RGB_B,raw,0.06739450704220484,0.08842604907454898,0.0014258672564303465,0.10483094891545597
LAB_L,raw,0.20053276430225486,0.0006178090455514207,0.22341183617949267,0.28304160635153264
LAB_A,raw,0.7905440747113901,0.14707479122995026,0.25565375027558457,0.79551507747795
LAB_B,raw,0.264784116499607,0.00033280530973978095,0.24634230491249642,0.34097281781456246
HSV_H,raw,0.05060163901899006,0.0869925302540272,0.004899563304834209,0.09499582171856746
HSV_S,raw,0.19068960915183697,0.07515140032575252,0.026420115190303184,0.19484074977859578
HSV_V,raw,0.7390220606949451,0.09316314242465373,0.30740099034073,0.7597241289735526
R',normalized,0.5674517901516358,0.0045636430113319415,0.4702382766612596,0.6948358065494848
G',normalized,0.5570825837958662,0.005330554039620905,0.4534258208218903,0.6772259724382518
B',normalized,0.177639077551222,0.0019975104765407314,0.21731076583971354,0.2646315692449842
L',normalized,0.20054929540406385,0.0006175467956881509,0.22342429710855138,0.2830607595388691
C',normalized,0.5621882493467409,0.09074702835745485,0.2011968002387643,0.5694213852953065
h',normalized,0.5351919684347096,0.018901263208605745,0.3529385224017342,0.6046878360300331
H',normalized,0.050601689643318015,0.0869923382268315,0.004899501980033194,0.09499568656678858
S',normalized,0.19073190685252972,0.0751886015998584,0.0264138041060068,0.19488954170559647
V',normalized,0.739022939679834,0.0931594716146662,0.30740822529945444,0.7597270910626365
