channel,channel_type,norm_std,coef_v_R,coef_v_Y,coef_v_B,max_abs_coef
B',normalized,0.017045345578985717,-0.28098167401785556,-0.029795678109721918,0.3107773521275775,0.3107773521275775
C',normalized,0.19861004839097546,0.49986142495106306,-0.20082831623880454,-0.29903310871225863,0.49986142495106306
G',normalized,0.06791921699860583,-0.49758643416478865,0.04867376222073311,0.4489126719440557,0.49758643416478865
H',normalized,0.18296579614595498,0.14996546216204154,-0.19662975724479576,0.04666429508275428,0.19662975724479576
HSV_H,raw,0.09002395833333332,0.14996538714574542,-0.19662997426528744,0.046664587119542,0.19662997426528744
HSV_S,raw,0.0016104166666666667,0.29112014255426655,-0.18275837153739674,-0.10836177101686988,0.29112014255426655
HSV_V,raw,0.00141625,0.5731092820725849,-0.20348425265269043,-0.36962502941989456,0.5731092820725849
L',normalized,0.04454135548252243,0.2985515368903399,0.016566992561358046,-0.315118529451698,0.315118529451698
LAB_A,raw,0.0007434640522875817,0.5927503033267476,-0.2556688754619498,-0.33708142786479794,0.5927503033267476
LAB_B,raw,0.0007037581699346405,0.34304785315664194,-0.012161968220462754,-0.3308858849361792,0.34304785315664194
LAB_L,raw,0.00120875,0.29853923196662857,0.016570509890248802,-0.3151097418568774,0.3151097418568774
R',normalized,0.056708835790047527,0.5021959733241093,-0.04503649390010506,-0.45715947942400426,0.5021959733241093
RGB_B,raw,0.00020588235294117645,-0.17306968030530331,0.19824345198607454,-0.02517377168077124,0.19824345198607454
RGB_G,raw,0.0005968954248366013,-0.39441073225608525,0.3110181756517998,0.08339255660428538,0.39441073225608525
RGB_R,raw,0.001234313725490196,0.6035890643840942,-0.13779220775527035,-0.4657968566288238,0.6035890643840942
S',normalized,0.01096740834959748,0.2911524280834729,-0.18280360025613285,-0.10834882782734015,0.2911524280834729
V',normalized,0.05380697652036169,0.5731096228974909,-0.20348024377447171,-0.36962937912301935,0.5731096228974909
h',normalized,0.021599168081565954,-0.4877121047114715,0.09165457667812893,0.39605752803334265,0.4877121047114715
