well_index,group_id,num_replicates,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,LAB_L_mean,LAB_L_std,LAB_A_mean,LAB_A_std,LAB_B_mean,LAB_B_std,HSV_H_mean,HSV_H_std,HSV_S_mean,HSV_S_std,HSV_V_mean,HSV_V_std
0,1,6,27.972,0.033,0.0,0.0,0.0,0.0,2.337,0.032,10.0,0.0,3.96,0.083,0.0,0.0,100.0,0.0,10.971,0.013
1,1,6,59.784,0.497,0.299,0.108,0.289,0.03,8.676,0.307,28.241,0.374,13.285,0.459,0.222,0.104,99.884,0.033,23.526,0.131
2,1,6,57.188,2.637,0.606,0.06,0.21,0.042,8.065,0.732,27.265,0.876,12.495,1.091,0.425,0.103,99.866,0.026,22.105,1.013
3,1,6,47.859,0.35,0.318,0.031,0.495,0.046,5.869,0.158,23.077,0.296,8.733,0.287,359.735,0.11,99.457,0.064,18.805,0.198
4,1,6,31.049,0.345,0.693,0.202,0.354,0.187,3.004,0.133,10.415,0.174,4.962,0.025,0.899,0.239,99.834,0.12,12.189,0.092
5,1,6,55.224,0.272,5.446,0.206,0.689,0.049,8.409,0.111,24.048,0.19,12.63,0.182,5.311,0.207,98.908,0.084,21.568,0.155
6,2,6,92.511,0.339,0.279,0.086,0.114,0.017,17.016,0.126,38.474,0.133,26.019,0.324,239.997,185.9,99.935,0.017,36.18,0.204
7,2,6,89.697,0.232,0.629,0.06,0.045,0.01,16.446,0.037,37.416,0.055,25.173,0.081,180.0,197.178,99.964,0.016,35.246,0.087
8,2,6,66.689,0.208,0.793,0.056,1.466,0.052,10.603,0.059,29.883,0.129,15.713,0.06,0.092,0.024,99.662,0.034,26.004,0.09
9,2,6,99.476,0.234,0.498,0.017,0.585,0.066,18.874,0.078,40.15,0.105,28.668,0.119,0.041,0.013,99.772,0.01,39.037,0.095
10,2,6,89.603,0.272,0.2,0.037,0.033,0.004,16.313,0.103,37.537,0.117,24.867,0.12,180.0,197.176,99.983,0.008,35.066,0.106
11,2,6,85.706,0.287,0.374,0.027,0.078,0.017,15.405,0.034,36.55,0.024,23.786,0.031,239.998,185.9,99.942,0.013,33.655,0.097
12,3,6,14.855,0.357,6.452,0.278,1.043,0.089,2.295,0.049,1.695,0.189,2.991,0.042,23.344,1.166,97.475,0.169,5.886,0.064
13,3,6,39.434,0.313,47.72,0.336,0.856,0.047,18.141,0.124,-11.161,0.214,25.267,0.169,70.901,1.034,98.622,0.1,18.766,0.151
14,3,6,32.893,0.058,37.55,0.178,0.388,0.048,13.734,0.071,-8.299,0.064,19.791,0.077,67.375,0.425,98.966,0.189,14.795,0.096
15,3,6,32.632,0.103,31.993,0.224,0.344,0.054,11.552,0.119,-4.614,0.346,16.78,0.17,58.88,0.262,99.056,0.132,12.792,0.06
16,3,6,8.899,0.188,11.099,0.264,1.166,0.087,2.91,0.049,-1.817,0.141,3.48,0.105,71.657,0.91,94.604,0.593,4.365,0.061
17,3,6,34.43,0.483,53.606,0.258,0.53,0.056,19.922,0.054,-17.294,0.305,27.288,0.065,82.594,0.737,99.127,0.087,21.181,0.086
18,4,6,0.478,0.063,44.863,0.351,0.43,0.047,14.84,0.144,-25.436,0.172,20.774,0.202,119.98,0.058,99.483,0.051,17.614,0.108
19,4,6,0.357,0.046,43.681,0.359,0.252,0.031,14.352,0.2,-25.008,0.167,20.245,0.273,119.908,0.089,99.636,0.033,17.168,0.181
20,4,6,1.876,0.166,4.267,0.063,0.866,0.098,1.055,0.041,-1.692,0.177,1.684,0.076,96.741,4.905,93.267,1.379,1.727,0.049
21,4,6,0.461,0.037,13.353,0.224,0.49,0.063,2.858,0.079,-5.357,0.129,3.672,0.143,120.507,0.493,98.724,0.228,5.229,0.094
22,4,6,0.45,0.032,12.625,0.185,0.472,0.056,2.768,0.049,-5.08,0.166,3.558,0.096,120.378,0.177,98.636,0.421,4.96,0.133
23,4,6,0.01,0.002,9.727,0.043,0.61,0.064,1.976,0.012,-4.01,0.007,2.03,0.027,123.911,0.597,99.895,0.058,3.831,0.035
