group_id,well_index,color_space,channel,value
1,0,RGB,R',1.0
1,0,RGB,G',0.0
1,0,RGB,B',0.0
1,1,RGB,R',0.9960426490901437
1,1,RGB,G',0.0020134875656561205
1,1,RGB,B',0.0019438633442000809
1,2,RGB,R',0.9940219817090696
1,2,RGB,G',0.00443802215919121
1,2,RGB,B',0.0015399961317391624
1,3,RGB,R',0.9916700593156509
1,3,RGB,G',0.0032579096018074947
1,3,RGB,B',0.00507203108254158
1,4,RGB,R',0.9774008146227618
1,4,RGB,G',0.014958148499410977
1,4,RGB,B',0.0076410368778271195
1,5,RGB,R',0.9538689144733591
1,5,RGB,G',0.040952633371024554
1,5,RGB,B',0.005178452155616287
2,6,RGB,R',0.9988994174463512
2,6,RGB,G',0.0007822630873262146
2,6,RGB,B',0.000318319466322481
2,7,RGB,R',0.9979895975479698
2,7,RGB,G',0.0018761435695052947
2,7,RGB,B',0.0001342588825248952
2,8,RGB,R',0.9878165369328097
2,8,RGB,G',0.00427710629101157
2,8,RGB,B',0.007906356776178741
2,9,RGB,R',0.9973974773903532
2,9,RGB,G',0.0011973765767502363
2,9,RGB,B',0.0014051460328964656
2,10,RGB,R',0.9993014065748952
2,10,RGB,G',0.0005997923549827865
2,10,RGB,B',9.880107012195653e-05
2,11,RGB,R',0.9985147362706481
2,11,RGB,G',0.0012283355170606093
2,11,RGB,B',0.00025692821229127117
3,12,RGB,R',0.6747909469811127
3,12,RGB,G',0.27996358231466273
3,12,RGB,B',0.04524547070422449
3,13,RGB,R',0.4122460675015751
3,13,RGB,G',0.582574817923828
3,13,RGB,B',0.00517911457459679
3,14,RGB,R',0.44194463763639175
3,14,RGB,G',0.5546173495576968
3,14,RGB,B',0.0034380128059115973
3,15,RGB,R',0.5064677259732963
3,15,RGB,G',0.48998375004121175
3,15,RGB,B',0.003548523985491994
3,16,RGB,R',0.4198630201477783
3,16,RGB,G',0.5251260859846314
3,16,RGB,B',0.055010893867590414
3,17,RGB,R',0.3090315809350081
3,17,RGB,G',0.6879292180867956
3,17,RGB,B',0.003039200978196245
4,18,RGB,R',0.005496080299062429
4,18,RGB,G',0.9895584066080989
4,18,RGB,B',0.004945513092838722
4,19,RGB,R',0.004321275025634054
4,19,RGB,G',0.9926200945915655
4,19,RGB,B',0.003058630382800354
4,20,RGB,R',0.26760831312122507
4,20,RGB,G',0.6088600370951635
4,20,RGB,B',0.12353164978361153
4,21,RGB,R',0.031521586609237436
4,21,RGB,G',0.9350201915362881
4,21,RGB,B',0.033458221854474286
4,22,RGB,R',0.03275151001980426
4,22,RGB,G',0.9329206392337811
4,22,RGB,B',0.03432785074641461
4,23,RGB,R',0.0009825239590883464
4,23,RGB,G',0.9400499315454618
4,23,RGB,B',0.05896754449544978
1,0,LAB,L',0.023373333333333336
1,0,LAB,C',0.23258615880610675
1,0,LAB,h',0.060009904806000554
1,1,LAB,L',0.08676166666666667
1,1,LAB,C',0.6748948549820356
1,1,LAB,h',0.06998054780084335
1,2,LAB,L',0.08064666666666666
1,2,LAB,C',0.6485683750656898
1,2,LAB,h',0.06839138751062279
1,3,LAB,L',0.05869166666666668
1,3,LAB,C',0.5335682481225508
1,3,LAB,h',0.05757738303117416
1,4,LAB,L',0.03004333333333333
1,4,LAB,C',0.24947694755892963
1,4,LAB,h',0.07076235631740073
1,5,LAB,L',0.08409333333333334
1,5,LAB,C',0.5873788733656616
1,5,LAB,h',0.07696751449025609
2,6,LAB,L',0.17015833333333333
2,6,LAB,C',1.0
2,6,LAB,h',0.09463767223599275
2,7,LAB,L',0.16445833333333337
2,7,LAB,C',0.9751911929859493
2,7,LAB,h',0.09425565769084664
2,8,LAB,L',0.10603166666666666
2,8,LAB,C',0.730103759265094
2,8,LAB,h',0.07704561933915764
2,9,LAB,L',0.18874
2,9,LAB,C',1.0
2,9,LAB,h',0.09868608251142916
2,10,LAB,L',0.16313333333333332
2,10,LAB,C',0.9736901816221457
2,10,LAB,h',0.09312194067651092
2,11,LAB,L',0.15404833333333334
2,11,LAB,C',0.9430180804000663
2,11,LAB,h',0.09182017629480188
3,12,LAB,L',0.02295166666666667
3,12,LAB,C',0.07435214381512502
3,12,LAB,h',0.16792746706608597
