group_id,color_space,channel,group_mean,group_std,measurement_uncertainty,process_uncertainty,uncertainty_ratio,measurement_cv_percent,process_cv_percent,num_wells,num_measurements
1,RGB,R,46.513,12.808,0.689,13.789,20.012,1.32,29.65,6,36
1,RGB,G,1.227,1.931,0.101,2.082,20.536,17.79,169.66,6,36
1,RGB,B,0.339,0.233,0.059,0.237,4.011,20.0,69.84,6,36
1,LAB,L,6.06,2.625,0.246,2.815,11.461,3.74,46.45,6,36
1,LAB,A,20.508,7.609,0.318,8.208,25.779,1.38,40.02,6,36
1,LAB,B,9.344,3.842,0.354,4.119,11.62,3.25,44.08,6,36
1,HSV,H,61.099,135.461,0.127,146.315,1150.885,20.3,239.47,6,36
1,HSV,S,99.658,0.386,0.055,0.411,7.533,0.05,0.41,6,36
1,HSV,V,18.194,4.98,0.267,5.361,20.067,1.3,29.47,6,36
2,RGB,R,87.281,10.261,0.262,11.08,42.274,0.3,12.69,6,36
2,RGB,G,0.462,0.212,0.047,0.223,4.707,12.79,48.2,6,36
2,RGB,B,0.387,0.527,0.027,0.569,20.71,14.22,146.97,6,36
2,LAB,L,15.776,2.579,0.073,2.785,38.199,0.47,17.65,6,36
2,LAB,A,36.668,3.281,0.094,3.543,37.848,0.26,9.66,6,36
2,LAB,B,24.038,4.074,0.122,4.398,35.902,0.5,18.3,6,36
2,HSV,H,140.021,177.968,127.698,111.68,0.875,71.77,79.76,6,36
2,HSV,S,99.877,0.121,0.016,0.129,8.016,0.02,0.13,6,36
2,HSV,V,34.198,4.072,0.113,4.396,38.814,0.33,12.86,6,36
3,RGB,R,27.19,11.351,0.25,12.257,48.953,1.2,45.08,6,36
3,RGB,G,31.403,17.724,0.256,19.142,74.744,1.51,60.96,6,36
3,RGB,B,0.721,0.329,0.064,0.349,5.497,10.04,48.41,6,36
3,LAB,L,11.425,6.91,0.078,7.463,96.049,1.05,65.32,6,36
3,LAB,A,-6.915,6.325,0.21,6.828,32.535,-1.43,-98.74,6,36
3,LAB,B,15.933,9.748,0.105,10.528,100.518,1.13,66.08,6,36
3,HSV,H,62.459,19.116,0.756,20.631,27.304,1.61,33.03,6,36
3,HSV,S,97.975,1.65,0.212,1.761,8.322,0.22,1.8,6,36
3,HSV,V,12.964,6.261,0.086,6.762,78.243,0.8,52.15,6,36
4,RGB,R,0.605,0.603,0.058,0.647,11.184,11.21,106.86,6,36
4,RGB,G,21.419,16.658,0.204,17.991,88.017,1.11,84.0,6,36
4,RGB,B,0.52,0.199,0.06,0.205,3.421,11.66,39.49,6,36
4,LAB,L,6.308,5.977,0.087,6.454,73.78,1.89,102.32,6,36
4,LAB,A,-11.097,10.201,0.136,11.018,80.812,-2.95,-99.28,6,36
4,LAB,B,8.66,8.532,0.136,9.214,67.636,2.46,106.39,6,36
4,HSV,H,116.904,9.439,1.053,9.992,9.487,1.04,8.55,6,36
4,HSV,S,98.274,2.383,0.362,2.504,6.924,0.38,2.55,6,36
4,HSV,V,8.421,6.535,0.1,7.058,70.592,1.65,83.81,6,36
