channel,channel_type,coef_v_R,coef_v_Y,coef_v_B
RGB_R,raw,0.38054008369166614,0.2649382993081089,-0.6454783829997752
RGB_G,raw,-0.6466279787213244,0.39221709824715056,0.25441088047417393
RGB_B,raw,-0.3053068335197422,-0.3032098567829776,0.60851669030272
LAB_L,raw,-0.32483155227318256,0.6068496758598229,-0.2820181235866404
LAB_A,raw,0.5752635465033051,-0.024393317261518277,-0.5508702292417869
LAB_B,raw,0.1562926247211651,0.4717061727869621,-0.6279987975081273
HSV_H,raw,-0.5300941492456036,-0.04652541628898632,0.5766195655345899
HSV_S,raw,0.30864200074160686,0.3069975966392949,-0.6156395973809019
HSV_V,raw,0.39086799723045235,0.25445983097170244,-0.645327828202155
R',normalized,0.5354971978023112,-0.040427812811391906,-0.49506938499091946
G',normalized,-0.4876275497130662,-0.09800881003275896,0.5856363597458253
B',normalized,0.09153409546733925,0.21581697730914304,-0.3073510727764823
L',normalized,-0.32482885488352886,0.6068486450893831,-0.2820197902058541
C',normalized,0.5433881484952454,0.04849813165386546,-0.5918862801491109
h',normalized,-0.5232555560646214,-0.04978343204119673,0.5730389881058182
H',normalized,-0.5300952548202429,-0.046524472230087155,0.57661972705033
S',normalized,0.30864181858384737,0.3069974123319694,-0.615639230915817
V',normalized,0.3908676232971797,0.25446080069766214,-0.645328423994842
